df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.610,-0.164,1.010,0.078
4.620,-0.160,1.008,0.082
4.630,-0.160,1.004,0.078
4.640,-0.156,1.006,0.080
4.650,-0.158,1.002,0.082
4.660,-0.158,1.006,0.084
4.670,-0.156,1.006,0.080
4.680,-0.158,1.002,0.080
4.690,-0.160,1.004,0.078
4.700,-0.162,1.004,0.082
4.710,-0.160,1.008,0.080
4.720,-0.162,1.008,0.078
4.730,-0.162,1.006,0.082
4.740,-0.166,1.006,0.078
4.750,-0.164,1.002,0.078
4.760,-0.164,1.004,0.078
4.769,-0.162,1.002,0.076
4.779,-0.160,1.004,0.080
4.789,-0.160,1.006,0.078
4.799,-0.156,1.004,0.078
4.809,-0.156,1.004,0.078
4.819,-0.156,1.006,0.076
4.829,-0.154,1.004,0.074
4.839,-0.158,1.004,0.076
4.849,-0.158,1.004,0.076
4.859,-0.162,1.008,0.080
4.869,-0.164,1.010,0.078
4.879,-0.166,1.008,0.078
4.889,-0.160,1.002,0.078
4.899,-0.160,1.002,0.078
4.909,-0.160,1.002,0.076
4.919,-0.164,1.002,0.078
4.929,-0.162,1.004,0.078
4.938,-0.164,1.002,0.078
4.948,-0.160,1.002,0.080
4.958,-0.160,1.008,0.082
4.968,-0.162,1.006,0.082
4.978,-0.160,1.002,0.080
4.988,-0.160,1.010,0.082
4.998,-0.158,1.012,0.082
5.008,-0.162,1.006,0.080
5.018,-0.162,1.004,0.078
5.028,-0.164,1.008,0.076
5.038,-0.164,1.004,0.080
5.048,-0.164,1.008,0.080
5.058,-0.162,1.010,0.078
5.068,-0.158,1.006,0.074
5.078,-0.158,1.008,0.080
5.088,-0.160,1.002,0.078
5.098,-0.162,1.004,0.078
5.108,-0.162,1.000,0.078
5.117,-0.160,1.004,0.076
5.127,-0.160,1.002,0.076
5.137,-0.164,1.004,0.074
5.147,-0.160,1.004,0.076
5.157,-0.162,1.006,0.076
5.167,-0.164,1.006,0.080
5.177,-0.164,1.008,0.076
5.187,-0.162,1.006,0.072
5.197,-0.164,1.006,0.078
5.207,-0.162,1.006,0.076
5.217,-0.162,1.004,0.078
5.227,-0.162,1.004,0.074
5.237,-0.164,1.004,0.076
5.247,-0.162,1.006,0.070
5.257,-0.164,1.002,0.072
5.267,-0.160,1.006,0.078
5.277,-0.158,1.014,0.078
5.286,-0.156,1.010,0.080
5.296,-0.154,1.000,0.078
5.306,-0.156,0.998,0.076
5.316,-0.156,1.004,0.076
5.326,-0.158,1.006,0.074
5.336,-0.158,1.004,0.074
5.346,-0.158,1.008,0.076
5.356,-0.156,1.008,0.078
5.366,-0.154,1.008,0.074
5.376,-0.156,1.008,0.078
5.386,-0.160,1.006,0.078
5.396,-0.156,1.002,0.072
5.406,-0.160,1.006,0.076
5.416,-0.156,1.002,0.074
5.426,-0.158,1.002,0.076
5.436,-0.160,1.002,0.076
5.446,-0.158,1.002,0.074
5.455,-0.156,1.002,0.074
5.465,-0.160,1.004,0.072
5.475,-0.158,1.008,0.072
5.485,-0.158,1.006,0.072
5.495,-0.158,1.004,0.070
5.505,-0.156,1.004,0.070
5.515,-0.156,1.008,0.076
5.525,-0.158,1.006,0.070
5.535,-0.158,1.004,0.068
5.545,-0.156,1.006,0.068
5.555,-0.156,1.006,0.070
5.565,-0.154,1.006,0.072
5.575,-0.154,1.008,0.068
5.585,-0.152,1.010,0.072
5.595,-0.154,1.008,0.072
5.605,-0.152,1.006,0.072
5.615,-0.154,1.008,0.072
5.624,-0.154,1.004,0.072
5.634,-0.156,1.004,0.074
5.644,-0.154,1.002,0.074
5.654,-0.156,1.000,0.072
5.664,-0.156,1.002,0.072
5.674,-0.152,1.004,0.074
5.684,-0.154,1.002,0.070
5.694,-0.150,1.004,0.074
5.704,-0.152,1.006,0.070
5.714,-0.148,1.010,0.072
5.724,-0.150,1.006,0.072
5.734,-0.150,1.008,0.072
5.744,-0.150,1.010,0.070
5.754,-0.148,1.008,0.066
5.764,-0.150,1.006,0.066
5.774,-0.152,1.006,0.066
5.784,-0.150,1.008,0.070
5.793,-0.150,1.008,0.070
5.803,-0.150,1.008,0.066
5.813,-0.148,1.010,0.066
5.823,-0.148,1.004,0.066
5.833,-0.146,1.010,0.068
5.843,-0.146,1.006,0.072
5.853,-0.148,1.004,0.068
5.863,-0.146,1.000,0.066
5.873,-0.145,1.006,0.070
5.883,-0.148,1.008,0.074
5.893,-0.148,1.006,0.068
5.903,-0.154,1.006,0.070
5.913,-0.154,1.008,0.066
5.923,-0.156,1.012,0.072
5.933,-0.156,1.010,0.074
5.943,-0.152,1.006,0.070
5.953,-0.154,1.004,0.074
5.962,-0.152,1.000,0.068
5.972,-0.152,0.998,0.070
5.982,-0.152,1.002,0.068
5.992,-0.156,1.000,0.072
6.002,-0.158,1.002,0.066
6.012,-0.154,1.008,0.070
6.022,-0.152,1.010,0.068
6.032,-0.154,1.008,0.072
6.042,-0.150,1.006,0.066
6.052,-0.148,1.006,0.064
6.062,-0.150,1.006,0.064
6.072,-0.150,1.006,0.066
6.082,-0.154,1.006,0.066
6.092,-0.150,1.008,0.064
6.102,-0.150,1.010,0.064
6.112,-0.148,1.008,0.066
6.122,-0.152,1.012,0.064
6.131,-0.154,1.012,0.068
6.141,-0.154,1.006,0.066
6.151,-0.150,1.008,0.068
6.161,-0.148,1.010,0.068
6.171,-0.150,1.002,0.066
6.181,-0.152,1.000,0.066
6.191,-0.150,1.006,0.068
6.201,-0.150,1.004,0.064
6.211,-0.152,1.010,0.066
6.221,-0.152,1.006,0.068
6.231,-0.152,1.010,0.068
6.241,-0.152,1.010,0.070
6.251,-0.154,1.006,0.068
6.261,-0.148,1.002,0.066
6.271,-0.152,1.006,0.066
6.281,-0.146,1.000,0.068
6.291,-0.148,1.002,0.068
6.301,-0.150,0.998,0.066
6.310,-0.146,1.002,0.068
6.320,-0.150,1.004,0.070
6.330,-0.150,1.006,0.064
6.340,-0.150,1.004,0.068
6.350,-0.154,1.006,0.066
6.360,-0.152,1.006,0.064
6.370,-0.152,1.006,0.062
6.380,-0.152,1.008,0.062
6.390,-0.152,1.008,0.064
6.400,-0.152,1.008,0.066
6.410,-0.148,1.006,0.064
6.420,-0.152,1.010,0.061
6.430,-0.150,1.014,0.068
6.440,-0.146,1.010,0.068
6.450,-0.148,1.012,0.068
6.460,-0.150,1.008,0.066
6.470,-0.146,1.008,0.070
6.479,-0.148,1.006,0.066
6.489,-0.146,1.004,0.070
6.499,-0.154,1.006,0.068
6.509,-0.154,1.006,0.066
6.519,-0.152,1.004,0.068
6.529,-0.154,1.006,0.068
6.539,-0.154,1.008,0.068
6.549,-0.154,1.006,0.068
6.559,-0.160,1.004,0.068
6.569,-0.156,1.006,0.066
6.579,-0.160,1.004,0.066
6.589,-0.154,1.006,0.070
6.599,-0.154,1.006,0.068
6.609,-0.154,1.008,0.070
6.619,-0.154,1.006,0.066
6.629,-0.150,1.004,0.070
6.639,-0.150,1.006,0.068
6.648,-0.150,1.000,0.070
6.658,-0.152,0.998,0.074
6.668,-0.150,1.000,0.070
6.678,-0.154,1.010,0.074
6.688,-0.154,1.008,0.068
6.698,-0.158,1.004,0.066
6.708,-0.158,1.008,0.066
6.718,-0.160,1.010,0.072
6.728,-0.160,1.010,0.070
6.738,-0.156,1.010,0.070
6.748,-0.154,1.006,0.070
6.758,-0.154,1.006,0.068
6.768,-0.154,1.004,0.070
6.778,-0.158,1.006,0.068
6.788,-0.154,1.006,0.068
6.798,-0.156,1.004,0.066
6.808,-0.156,1.004,0.068
6.817,-0.156,1.004,0.066
6.827,-0.158,1.006,0.064
6.837,-0.154,1.004,0.066
6.847,-0.156,1.006,0.068
6.857,-0.154,1.010,0.066
6.867,-0.154,1.004,0.070
6.877,-0.154,1.010,0.068
6.887,-0.154,1.006,0.066
6.897,-0.156,1.006,0.068
6.907,-0.158,1.004,0.064
6.917,-0.160,1.004,0.066
6.927,-0.160,1.006,0.066
6.937,-0.158,1.006,0.068
6.947,-0.160,1.004,0.066
6.957,-0.156,1.012,0.072
6.967,-0.152,1.008,0.072
6.977,-0.152,1.000,0.072
6.986,-0.154,0.994,0.068
6.996,-0.148,1.002,0.070
7.006,-0.154,1.008,0.068
7.016,-0.154,1.010,0.070
7.026,-0.154,1.012,0.070
7.036,-0.154,1.012,0.072
7.046,-0.156,1.012,0.070
7.056,-0.154,1.010,0.066
7.066,-0.156,1.004,0.070
7.076,-0.156,1.002,0.066
7.086,-0.158,0.998,0.068
7.096,-0.158,1.002,0.070
7.106,-0.160,1.002,0.070
7.116,-0.160,1.004,0.072
7.126,-0.156,1.006,0.068
7.136,-0.160,1.008,0.072
7.146,-0.156,1.008,0.072
7.155,-0.160,1.008,0.072
7.165,-0.156,1.006,0.072
7.175,-0.156,1.004,0.072
7.185,-0.154,1.006,0.070
7.195,-0.154,1.004,0.068
7.205,-0.152,1.006,0.072
7.215,-0.156,1.006,0.068
7.225,-0.154,1.008,0.070
7.235,-0.156,1.004,0.070
7.245,-0.154,1.006,0.068
7.255,-0.152,1.004,0.068
7.265,-0.152,1.008,0.072
7.275,-0.152,1.010,0.068
7.285,-0.154,1.008,0.072
7.295,-0.156,1.012,0.070
7.305,-0.154,1.006,0.074
7.315,-0.158,1.008,0.068
7.325,-0.158,1.008,0.068
7.334,-0.160,1.006,0.068
7.344,-0.160,1.006,0.068
7.354,-0.162,1.000,0.068
7.364,-0.160,1.006,0.068
7.374,-0.160,1.008,0.068
7.384,-0.160,1.008,0.070
7.394,-0.158,1.006,0.074
7.404,-0.160,1.002,0.070
7.414,-0.158,1.008,0.070
7.424,-0.158,1.006,0.070
7.434,-0.158,1.002,0.072
7.444,-0.156,1.002,0.072
7.454,-0.160,1.006,0.072
7.464,-0.162,1.004,0.072
7.474,-0.164,1.002,0.068
7.484,-0.162,1.004,0.070
7.494,-0.164,1.006,0.072
7.503,-0.164,1.006,0.068
7.513,-0.164,1.004,0.064
7.523,-0.162,1.008,0.070
7.533,-0.160,1.006,0.070
7.543,-0.160,1.000,0.068
7.553,-0.158,1.006,0.072
7.563,-0.156,1.010,0.074
7.573,-0.160,1.004,0.072
7.583,-0.162,1.002,0.066
7.593,-0.162,1.006,0.072
7.603,-0.164,1.006,0.072
7.613,-0.164,1.008,0.072
7.623,-0.166,1.006,0.074
7.633,-0.158,1.006,0.072
7.643,-0.162,1.004,0.072
7.653,-0.160,1.002,0.072
7.663,-0.162,1.000,0.072
7.672,-0.164,1.000,0.070
7.682,-0.162,1.004,0.066
7.692,-0.164,1.002,0.070
7.702,-0.164,1.004,0.070
7.712,-0.164,1.006,0.070
7.722,-0.162,1.004,0.070
7.732,-0.162,1.004,0.070
7.742,-0.162,1.006,0.068
7.752,-0.160,1.006,0.072
7.762,-0.162,1.004,0.072
7.772,-0.160,1.004,0.068
7.782,-0.160,1.006,0.076
7.792,-0.162,1.004,0.070
7.802,-0.166,1.004,0.072
7.812,-0.162,1.006,0.072
7.822,-0.162,1.006,0.070
7.832,-0.162,1.002,0.068
7.841,-0.162,1.008,0.072
7.851,-0.156,1.006,0.072
7.861,-0.156,1.004,0.072
7.871,-0.154,1.000,0.070
7.881,-0.154,1.000,0.074
7.891,-0.156,1.004,0.074
7.901,-0.158,1.006,0.072
7.911,-0.158,1.008,0.074
7.921,-0.160,1.010,0.070
7.931,-0.160,1.010,0.072
7.941,-0.160,1.008,0.076
7.951,-0.162,1.004,0.074
7.961,-0.162,1.004,0.072
7.971,-0.166,1.000,0.074
7.981,-0.162,1.002,0.074
7.991,-0.164,1.000,0.070
8.001,-0.162,1.000,0.072
8.010,-0.162,1.004,0.078
8.020,-0.162,1.006,0.074
8.030,-0.162,1.006,0.074
8.040,-0.166,1.004,0.076
8.050,-0.170,1.002,0.072
8.060,-0.168,1.004,0.068
8.070,-0.166,1.004,0.070
8.080,-0.166,1.004,0.070
8.090,-0.166,1.008,0.070
8.100,-0.164,1.006,0.068
8.110,-0.164,1.006,0.068
8.120,-0.162,1.008,0.066
8.130,-0.162,1.006,0.072
8.140,-0.164,1.006,0.072
8.150,-0.160,1.006,0.072
8.160,-0.164,1.006,0.072
8.170,-0.162,1.008,0.072
8.179,-0.164,1.006,0.068
8.189,-0.162,1.008,0.072
8.199,-0.166,1.006,0.072
8.209,-0.168,1.006,0.068
8.219,-0.166,1.006,0.074
8.229,-0.172,1.004,0.068
8.239,-0.170,1.006,0.068
8.249,-0.172,1.006,0.070
8.259,-0.172,1.004,0.068
8.269,-0.168,1.004,0.072
8.279,-0.170,1.004,0.072
8.289,-0.172,1.004,0.072
8.299,-0.166,1.006,0.072
8.309,-0.170,1.002,0.074
8.319,-0.168,1.002,0.072
8.329,-0.166,1.004,0.072
8.339,-0.168,1.004,0.074
8.348,-0.166,1.004,0.076
8.358,-0.164,1.002,0.076
8.368,-0.170,1.006,0.074
8.378,-0.170,1.006,0.076
8.388,-0.168,1.006,0.074
8.398,-0.170,1.008,0.072
8.408,-0.168,1.004,0.068
8.418,-0.166,1.008,0.068
8.428,-0.162,1.004,0.070
8.438,-0.166,1.006,0.072
8.448,-0.164,1.006,0.076
8.458,-0.164,1.000,0.076
8.468,-0.164,1.002,0.076
8.478,-0.162,1.008,0.076
8.488,-0.164,1.006,0.074
8.498,-0.166,1.004,0.072
8.508,-0.172,1.002,0.072
8.518,-0.170,1.000,0.072
8.527,-0.174,1.008,0.072
8.537,-0.170,1.008,0.076
8.547,-0.170,1.008,0.076
8.557,-0.170,1.008,0.072
8.567,-0.166,1.004,0.074
8.577,-0.170,1.000,0.074
8.587,-0.168,0.998,0.074
8.597,-0.170,1.000,0.072
8.607,-0.168,1.000,0.070
8.617,-0.168,1.004,0.070
8.627,-0.168,1.004,0.074
8.637,-0.168,1.004,0.074
8.647,-0.172,1.006,0.074
8.657,-0.170,1.006,0.072
8.667,-0.168,1.006,0.072
8.677,-0.172,1.006,0.070
8.687,-0.172,1.004,0.070
8.696,-0.168,1.010,0.070
8.706,-0.168,1.008,0.068
8.716,-0.170,1.006,0.072
8.726,-0.168,1.006,0.070
8.736,-0.168,1.006,0.072
8.746,-0.170,1.002,0.070
8.756,-0.170,1.000,0.070
8.766,-0.168,1.008,0.074
8.776,-0.164,1.008,0.076
8.786,-0.162,1.002,0.072
8.796,-0.166,0.998,0.070
8.806,-0.164,1.002,0.072
8.816,-0.166,1.006,0.074
8.826,-0.168,1.008,0.070
8.836,-0.168,1.012,0.072
8.846,-0.168,1.010,0.076
8.856,-0.170,1.010,0.076
8.865,-0.168,1.006,0.076
8.875,-0.170,1.004,0.074
8.885,-0.168,1.004,0.074
8.895,-0.168,1.000,0.076
8.905,-0.166,1.000,0.076
8.915,-0.166,0.998,0.072
8.925,-0.166,1.000,0.072
8.935,-0.166,1.004,0.072
8.945,-0.172,1.004,0.076
8.955,-0.166,1.006,0.074
8.965,-0.174,1.004,0.072
8.975,-0.172,1.004,0.072
8.985,-0.170,1.004,0.070
8.995,-0.172,1.006,0.068
9.005,-0.168,1.004,0.068
9.015,-0.172,1.006,0.072
9.025,-0.168,1.006,0.070
9.034,-0.168,1.008,0.070
9.044,-0.168,1.006,0.072
9.054,-0.164,1.006,0.074
9.064,-0.164,1.006,0.074
9.074,-0.164,1.004,0.072
9.084,-0.162,1.002,0.076
9.094,-0.168,1.004,0.074
9.104,-0.164,1.000,0.074
9.114,-0.166,1.002,0.074
9.124,-0.168,1.004,0.074
9.134,-0.170,1.004,0.072
9.144,-0.170,1.002,0.076
9.154,-0.176,1.004,0.074
9.164,-0.170,1.002,0.076
9.174,-0.170,1.004,0.074
9.184,-0.172,1.004,0.076
9.194,-0.172,1.004,0.074
9.203,-0.168,1.000,0.074
9.213,-0.170,1.002,0.068
9.223,-0.170,1.004,0.072
9.233,-0.166,1.006,0.072
9.243,-0.168,1.006,0.072
9.253,-0.164,1.006,0.072
9.263,-0.166,1.006,0.070
9.273,-0.166,1.004,0.072
9.283,-0.166,1.004,0.072
9.293,-0.168,1.004,0.072
9.303,-0.166,1.006,0.074
9.313,-0.166,1.008,0.068
9.323,-0.166,1.010,0.070
9.333,-0.168,1.000,0.072
9.343,-0.164,1.002,0.070
9.353,-0.164,1.002,0.074
9.363,-0.166,1.002,0.076
9.372,-0.164,1.000,0.076
9.382,-0.164,1.008,0.076
9.392,-0.166,1.006,0.078
9.402,-0.172,1.004,0.072
9.412,-0.170,1.002,0.074
9.422,-0.174,1.002,0.070
9.432,-0.172,1.006,0.074
9.442,-0.172,1.010,0.074
9.452,-0.170,1.010,0.072
9.462,-0.168,1.008,0.074
9.472,-0.166,1.006,0.074
9.482,-0.166,1.002,0.072
9.492,-0.166,0.998,0.072
9.502,-0.168,0.998,0.072
9.512,-0.168,1.002,0.072
9.522,-0.168,1.004,0.074
9.532,-0.168,1.006,0.072
9.542,-0.164,1.004,0.076
9.551,-0.168,1.004,0.070
9.561,-0.166,1.004,0.068
9.571,-0.170,1.006,0.072
9.581,-0.168,1.006,0.070
9.591,-0.168,1.004,0.072
9.601,-0.168,1.004,0.072
9.611,-0.170,1.004,0.070
9.621,-0.166,1.004,0.070
9.631,-0.164,1.012,0.072
9.641,-0.166,1.008,0.072
9.651,-0.164,1.008,0.068
9.661,-0.166,1.002,0.068
9.671,-0.162,1.010,0.074
9.681,-0.160,1.006,0.072
9.691,-0.160,0.998,0.072
9.701,-0.164,0.996,0.068
9.711,-0.164,1.002,0.068
9.720,-0.166,1.006,0.068
9.730,-0.164,1.006,0.072
9.740,-0.170,1.012,0.072
9.750,-0.162,1.008,0.072
9.760,-0.162,1.008,0.074
9.770,-0.164,1.008,0.072
9.780,-0.164,1.000,0.072
9.790,-0.164,1.002,0.072
9.800,-0.162,1.000,0.072
9.810,-0.166,1.000,0.070
9.820,-0.164,1.002,0.076
9.830,-0.166,1.002,0.070
9.840,-0.166,1.004,0.068
9.850,-0.168,1.008,0.072
9.860,-0.168,1.006,0.070
9.870,-0.170,1.004,0.066
9.880,-0.166,1.004,0.064
9.889,-0.168,1.006,0.066
9.899,-0.166,1.004,0.068
9.909,-0.166,1.004,0.068
9.919,-0.164,1.010,0.068
9.929,-0.166,1.012,0.070
9.939,-0.162,1.010,0.066
9.949,-0.160,1.006,0.068
9.959,-0.160,1.008,0.068
9.969,-0.158,1.004,0.068
9.979,-0.158,1.006,0.066
9.989,-0.156,1.004,0.070
9.999,-0.160,1.008,0.068
10.009,-0.158,1.006,0.072
10.019,-0.162,1.006,0.070
10.029,-0.164,1.006,0.064
10.039,-0.164,1.006,0.068
10.049,-0.166,1.004,0.070
10.058,-0.166,1.002,0.070
10.068,-0.164,1.004,0.066
10.078,-0.166,1.002,0.070
10.088,-0.166,1.004,0.068
10.098,-0.164,1.004,0.068
10.108,-0.168,1.010,0.066
10.118,-0.168,1.008,0.064
10.128,-0.168,1.006,0.066
10.138,-0.162,1.004,0.070
10.148,-0.166,1.006,0.068
10.158,-0.162,1.006,0.066
10.168,-0.160,0.998,0.066
10.178,-0.156,1.006,0.072
10.188,-0.156,1.006,0.070
10.198,-0.160,0.998,0.070
10.208,-0.158,1.000,0.070
10.218,-0.156,1.006,0.068
10.227,-0.160,1.012,0.068
10.237,-0.164,1.010,0.066
10.247,-0.170,1.012,0.066
10.257,-0.168,1.012,0.068
10.267,-0.168,1.008,0.064
10.277,-0.166,1.008,0.070
10.287,-0.162,1.006,0.074
10.297,-0.162,1.000,0.070
10.307,-0.158,1.004,0.070
10.317,-0.160,1.000,0.066
10.327,-0.160,0.998,0.068
10.337,-0.164,1.000,0.070
10.347,-0.162,1.002,0.064
10.357,-0.164,1.002,0.066
10.367,-0.164,1.004,0.064
10.377,-0.164,1.006,0.066
10.387,-0.162,1.010,0.066
