df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.829,209,74,2
6.189,283,74,3
6.512,357,74,4
6.902,431,74,5
7.293,505,74,6
7.584,579,74,7
8.023,653,74,8
8.267,727,74,9
8.753,801,74,10
9.096,875,74,11
9.438,949,74,12
9.876,1023,74,13
10.217,1097,74,14
10.509,1171,74,15
10.899,1245,74,16
11.347,1319,74,17
11.630,1393,74,18
12.068,1467,74,19
12.459,1541,74,20
13.057,1615,74,21
13.172,1689,74,22
13.437,1763,74,23
13.824,1837,74,24
14.263,1911,74,25
14.555,1985,74,26
14.950,2059,74,27
15.384,2133,74,28
15.678,2207,74,29
16.067,2281,74,30
16.505,2355,74,31
16.798,2429,74,32
17.236,2503,74,33
17.578,2577,74,34
17.871,2651,74,35
18.309,2725,74,36
18.553,2799,74,37
18.992,2873,74,38
19.431,2947,74,39
19.675,3021,74,40
20.162,3095,74,41
20.503,3169,74,42
20.796,3243,74,43
21.234,3317,74,44
21.632,3391,74,45
21.917,3465,74,46
22.310,3539,74,47
22.747,3613,74,48
23.038,3687,74,49
23.432,3761,74,50
23.723,3835,74,51
24.159,3909,74,52
24.549,3983,74,53
24.846,4057,74,54
25.281,4131,74,55
25.671,4205,74,56
26.012,4279,74,57
26.353,4353,74,58
26.990,4427,74,59
27.054,4501,74,60
27.474,4575,74,61
27.873,4649,74,62
28.157,4723,74,63
28.598,4797,74,64
28.839,4871,74,65
29.279,4945,74,66
29.724,5019,74,67
29.971,5093,74,68
30.399,5167,74,69
30.790,5241,74,70
31.083,5315,74,71
31.557,5389,74,72
31.917,5463,74,73
32.203,5537,74,74
32.593,5611,74,75
33.032,5685,74,76
33.327,5757,72,77
33.715,5831,74,78
34.010,5905,74,79
34.397,5979,74,80
34.891,6053,74,81
35.128,6127,74,82
35.540,6201,74,83
35.957,6275,74,84
