df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,rr_int
10.799,4015
11.335,2065
11.484,605
11.533,20
11.536,15
12.018,10
12.310,795
12.749,525
12.756,10
13.043,10
13.076,20
13.968,265
14.943,905
14.947,960
15.771,15
15.775,825
16.649,10
16.652,855
17.335,10
17.429,780
18.161,10
18.843,730
19.671,780
20.647,845
21.347,860
21.626,790
22.060,10
22.065,700
22.307,10
22.743,200
23.610,465
24.255,770
25.229,810
25.234,975
26.107,10
26.789,755
26.793,760
27.623,10
28.447,850
28.452,815
29.275,10
30.105,845
30.786,775
31.554,680
32.347,745
33.175,840
33.191,845
34.004,10
34.687,845
35.515,740
35.519,720
35.531,10
36.247,10
37.075,780
38.006,845
38.879,885
39.563,895
39.575,740
40.390,10
41.089,735
41.924,765
41.927,850
42.779,10
42.783,865
43.608,10
43.611,825
44.440,10
44.583,755
44.588,10
45.265,10
45.268,775
46.094,10
46.143,855
46.923,10
47.752,900
48.434,845
48.438,715
49.265,10
50.140,725
50.144,830
50.290,10
50.969,10
51.798,890
51.945,905
52.627,10
52.630,810
53.456,10
53.460,800
54.288,10
54.333,870
55.259,10
55.263,885
55.405,10
56.237,220
56.283,740
56.288,10
56.291,20
56.294,30
56.380,20
56.387,15
56.527,15
56.531,95
56.986,10
57.212,555
57.795,10
58.769,845
58.775,900
59.598,10
60.582,920
61.405,890
61.597,820
62.084,15
62.088,785
63.061,10
63.065,900
63.888,10
63.892,805
64.327,10
64.755,520
64.863,370
64.873,15
64.884,15
64.888,20
65.033,220
65.156,110
66.131,290
67.008,765
67.934,820
67.937,920
68.763,10
69.648,845
70.616,900
71.444,895
72.224,895
72.228,785
73.056,10
73.931,820
73.981,840
74.760,10
75.663,880
75.692,870
76.568,10
76.714,885
77.443,10
78.074,860
78.903,790
79.735,835
79.781,805
80.561,10
80.565,790
81.297,10
81.340,730
82.121,10
82.949,790
82.953,895
83.779,10
83.927,855
83.932,10
83.937,10
83.943,40
83.976,15
84.022,10
84.029,30
84.073,15
84.607,10
85.295,590
85.484,815
85.490,90
85.611,175
85.877,10
87.094,620
87.192,865
87.574,10
87.825,350
88.654,395
88.657,805
88.799,10
88.803,10
88.848,35
88.852,25
88.855,15
88.900,15
88.903,10
88.907,10
89.390,20
89.393,480
90.018,10
90.022,700
90.749,15
90.753,770
91.724,10
91.728,860
92.553,10
93.434,875
93.488,795
94.309,10
94.776,720
94.993,740
95.624,10
95.628,855
96.551,10
96.556,875
97.397,10
97.529,845
98.159,10
98.163,740
98.939,10
98.946,765
99.476,10
99.490,645
100.699,10
101.036,735
101.332,805
101.718,235
101.914,485
102.475,10
102.548,680
103.230,15
103.234,825
104.058,10
104.062,805
105.033,10
105.037,870
105.863,10
106.057,845
106.739,175
106.742,685
107.568,10
108.397,845
109.226,885
110.056,870
110.883,785
110.932,830
111.713,10
112.688,860
113.516,895
113.520,885
114.394,10
114.399,875
115.225,10
115.908,770
116.733,770
117.563,790
118.391,880
118.394,860
119.220,10
119.223,755
119.951,10
119.955,775
120.907,10
121.755,860
122.583,890
122.730,905
123.438,10
123.720,785
124.290,15
125.070,800
125.899,875
125.907,850
126.727,10
126.730,805
127.605,10
128.385,765
128.438,835
129.116,10
129.946,795
129.997,780
130.628,10
130.634,700
130.679,10
131.340,10
132.139,680
132.147,790
133.016,15
133.845,880
133.991,900
133.995,10
134.820,20
134.823,875
136.042,10
136.045,1225
136.136,10
136.140,10
136.332,10
137.160,315
137.163,830
137.994,10
139.061,880
139.065,815
139.792,10
140.524,880
140.527,805
141.499,10
142.328,860
143.010,825
143.013,805
143.693,10
143.840,715
144.428,10
144.524,680
145.252,10
145.256,750
146.083,10
146.910,855
146.914,850
147.739,10
147.742,855
148.567,10
148.570,800
149.396,10
149.400,825
150.228,10
150.274,840
151.054,10
151.057,820
151.785,10
152.614,740
153.442,760
154.271,825
155.107,885
155.929,860
156.635,775
156.639,730
157.491,10
158.172,780
158.274,800
159.000,10
159.007,835
159.829,10
160.658,795
161.486,790
162.323,850
163.061,850
163.340,790
163.880,205
164.707,585
165.543,825
166.361,840
166.365,855
167.190,10
167.194,785
167.970,10
167.973,770
168.604,10
168.608,685
169.432,10
170.261,765
170.265,800
171.093,10
171.102,855
171.833,10
172.699,790
173.479,780
173.482,810
174.308,10
174.454,825
174.991,220
175.819,490
175.822,875
176.160,10
176.164,240
176.407,20
177.235,335
178.061,825
178.750,770
179.427,775
179.719,655
179.722,285
180.161,10
180.842,425
181.718,700
181.725,765
181.736,10
182.365,10
182.500,720
183.083,10
183.086,755
183.911,10
183.914,770
184.594,10
185.280,690
185.425,660
186.008,10
186.012,740
186.836,15
187.523,790
187.576,785
188.348,10
188.355,785
189.176,10
189.180,770
189.859,10
189.866,690
190.444,10
190.590,670
191.216,10
191.273,650
191.958,10
192.686,685
192.692,765
193.515,10
194.347,850
194.492,890
195.319,10
195.322,885
196.001,10
196.005,765
196.830,10
197.659,840
197.662,835
198.488,10
198.498,865
199.316,15
199.320,770
199.463,10
199.609,285
199.613,15
199.661,10
