df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.586,75,75,0
6.171,150,75,1
7.056,225,75,2
7.682,300,75,3
8.560,375,75,4
9.145,450,75,5
10.023,525,75,6
10.607,600,75,7
11.533,675,75,8
12.118,750,75,9
13.142,825,75,10
13.649,900,75,11
14.556,975,75,12
15.092,1050,75,13
15.970,1125,75,14
16.603,1200,75,15
17.530,1275,75,16
18.066,1350,75,17
18.992,1425,75,18
19.581,1500,75,19
20.455,1575,75,20
21.040,1650,75,21
21.966,1725,75,22
22.551,1800,75,23
23.477,1875,75,24
24.211,1950,75,25
24.940,2025,75,26
25.576,2100,75,27
26.744,2175,75,28
27.041,2250,75,29
28.154,2325,75,30
28.499,2400,75,31
29.483,2475,75,32
30.018,2550,75,33
30.888,2625,75,34
31.474,2700,75,35
32.401,2775,75,36
32.985,2850,75,37
33.938,2925,75,38
34.784,3000,75,39
35.421,3075,75,40
35.984,3150,75,41
36.884,3225,75,42
37.517,3300,75,43
38.346,3375,75,44
38.931,3450,75,45
39.857,3525,75,46
40.708,3600,75,47
41.320,3675,75,48
41.954,3750,75,49
42.885,3825,75,50
43.466,3900,75,51
44.342,3975,75,52
44.929,4050,75,53
45.808,4125,75,54
46.447,4200,75,55
47.323,4275,75,56
47.901,4350,75,57
49.166,4425,75,58
49.417,4500,75,59
50.290,4575,75,60
50.875,4650,75,61
51.801,4725,75,62
52.398,4800,75,63
53.264,4875,75,64
53.852,4950,75,65
55.024,5025,75,66
55.408,5100,75,67
56.237,5175,75,68
56.955,5250,75,69
57.773,5325,75,70
58.333,5400,75,71
59.211,5475,75,72
59.845,5550,75,73
60.725,5625,75,74
61.403,5700,75,75
62.254,5775,75,76
62.824,5850,75,77
63.698,5925,75,78
64.281,6000,75,79
65.208,6075,75,80
65.799,6150,75,81
66.670,6225,75,82
67.353,6300,75,83
68.189,6375,75,84
69.116,6450,75,85
69.709,6525,75,86
70.278,6600,75,87
71.155,6675,75,88
71.794,6750,75,89
72.666,6825,75,90
73.251,6900,75,91
74.129,6975,75,92
74.763,7050,75,93
76.027,7125,75,94
76.225,7200,75,95
77.151,7275,75,96
77.788,7350,75,97
78.614,7425,75,98
79.199,7500,75,99
80.125,7575,75,100
80.715,7650,75,101
81.588,7725,75,102
82.178,7800,75,103
83.149,7875,75,104
83.684,7950,75,105
84.584,8025,75,106
85.244,8100,75,107
86.073,8175,75,108
86.661,8250,75,109
87.584,8325,75,110
88.205,8400,75,111
89.047,8475,75,112
89.680,8550,75,113
90.561,8625,75,114
91.191,8700,75,115
92.020,8775,75,116
92.654,8850,75,117
93.532,8925,75,118
94.116,9000,75,119
94.994,9075,75,120
95.628,9150,75,121
96.505,9225,75,122
97.139,9300,75,123
98.016,9375,75,124
98.602,9450,75,125
99.479,9525,75,126
100.069,9600,75,127
100.990,9675,75,128
101.627,9750,75,129
102.453,9825,75,130
103.091,9900,75,131
103.964,9975,75,132
104.549,10050,75,133
105.449,10125,75,134
106.060,10200,75,135
107.228,10275,75,136
107.574,10350,75,137
108.449,10425,75,138
109.083,10500,75,139
109.934,10575,75,140
110.497,10650,75,141
111.424,10725,75,142
112.008,10800,75,143
113.275,10875,75,144
113.538,10950,75,145
114.397,11025,75,146
114.984,11100,75,147
115.923,11175,75,148
116.518,11250,75,149
117.370,11325,75,150
118.004,11400,75,151
118.886,11475,75,152
119.568,11550,75,153
120.345,11625,75,154
120.929,11700,75,155
121.864,11775,75,156
122.445,11850,75,157
123.318,11925,75,158
123.952,12000,75,159
124.829,12075,75,160
125.416,12150,75,161
126.340,12225,75,162
126.941,12300,75,163
127.806,12375,75,164
128.534,12450,75,165
129.363,12525,75,166
129.900,12600,75,167
130.783,12675,75,168
131.362,12750,75,169
132.411,12825,75,170
132.873,12900,75,171
133.751,12975,75,172
134.341,13050,75,173
135.262,13125,75,174
135.847,13200,75,175
136.750,13275,75,176
137.411,13350,75,177
138.243,13425,75,178
138.845,13500,75,179
139.747,13575,75,180
140.352,13650,75,181
141.210,13725,75,182
141.794,13800,75,183
142.721,13875,75,184
143.306,13950,75,185
144.183,14025,75,186
144.817,14100,75,187
145.699,14175,75,188
146.300,14250,75,189
147.160,14325,75,190
147.791,14400,75,191
148.672,14475,75,192
149.269,14550,75,193
150.179,14625,75,194
150.767,14700,75,195
151.642,14775,75,196
152.227,14850,75,197
153.153,14925,75,198
153.787,15000,75,199
154.623,15075,75,200
155.298,15150,75,201
156.143,15225,75,202
156.712,15300,75,203
157.928,15375,75,204
158.223,15450,75,205
159.101,15525,75,206
159.691,15600,75,207
160.614,15675,75,208
161.197,15750,75,209
162.102,15825,75,210
162.659,15900,75,211
163.607,15975,75,212
164.171,16050,75,213
165.048,16125,75,214
165.682,16200,75,215
166.559,16275,75,216
167.153,16350,75,217
168.022,16425,75,218
168.656,16500,75,219
169.534,16575,75,220
170.408,16650,75,221
171.066,16725,75,222
171.630,16800,75,223
172.507,16875,75,224
173.092,16950,75,225
174.050,17025,75,226
174.603,17100,75,227
175.481,17175,75,228
176.115,17250,75,229
176.992,17325,75,230
177.577,17400,75,231
178.458,17475,75,232
179.097,17550,75,233
180.040,17625,75,234
180.554,17700,75,235
181.477,17775,75,236
182.062,17850,75,237
182.940,17925,75,238
183.525,18000,75,239
184.451,18075,75,240
185.141,18150,75,241
185.924,18225,75,242
186.498,18300,75,243
187.428,18375,75,244
188.060,18450,75,245
189.128,18525,75,246
189.521,18600,75,247
190.400,18675,75,248
190.991,18750,75,249
191.861,18825,75,250
192.495,18900,75,251
193.372,18975,75,252
193.963,19050,75,253
194.884,19125,75,254
195.468,19200,75,255
196.395,19275,75,256
197.074,19350,75,257
197.857,19425,75,258
198.735,19500,75,259
199.320,19575,75,260
199.905,19650,75,261
200.831,19725,75,262
201.418,19800,75,263
202.294,19875,75,264
202.927,19950,75,265
203.805,20025,75,266
204.391,20100,75,267
205.272,20175,75,268
205.901,20250,75,269
206.778,20325,75,270
207.363,20400,75,271
208.290,20475,75,272
208.881,20550,75,273
209.801,20625,75,274
210.386,20700,75,275
211.264,20775,75,276
211.881,20850,75,277
212.730,20925,75,278
213.360,21000,75,279
214.237,21075,75,280
214.822,21150,75,281
215.749,21225,75,282
216.334,21300,75,283
217.211,21375,75,284
217.928,21450,75,285
218.722,21525,75,286
219.307,21600,75,287
220.239,21675,75,288
220.834,21750,75,289
221.696,21825,75,290
222.330,21900,75,291
223.158,21975,75,292
223.792,22050,75,293
224.670,22125,75,294
225.255,22200,75,295
226.181,22275,75,296
226.767,22350,75,297
227.643,22425,75,298
228.277,22500,75,299
229.155,22575,75,300
229.740,22650,75,301
230.666,22725,75,302
231.297,22800,75,303
232.131,22875,75,304
232.716,22950,75,305
233.591,23025,75,306
234.225,23100,75,307
235.103,23175,75,308
235.687,23250,75,309
236.615,23325,75,310
237.199,23400,75,311
238.077,23475,75,312
238.661,23550,75,313
239.587,23625,75,314
240.222,23700,75,315
241.071,23775,75,316
241.635,23850,75,317
242.567,23925,75,318
243.201,24000,75,319
244.072,24075,75,320
244.661,24150,75,321
245.535,24225,75,322
246.120,24300,75,323
247.048,24375,75,324
247.631,24450,75,325
248.509,24525,75,326
249.116,24600,75,327
249.971,24675,75,328
250.605,24750,75,329
251.485,24825,75,330
252.068,24900,75,331
252.994,24975,75,332
253.605,25050,75,333
254.456,25125,75,334
255.041,25200,75,335
255.967,25275,75,336
256.553,25350,75,337
257.433,25425,75,338
258.064,25500,75,339
258.941,25575,75,340
259.553,25650,75,341
260.404,25725,75,342
261.038,25800,75,343
261.915,25875,75,344
262.504,25950,75,345
263.431,26025,75,346
264.011,26100,75,347
264.891,26175,75,348
265.474,26250,75,349
266.403,26325,75,350
266.985,26400,75,351
267.902,26475,75,352
268.455,26550,75,353
269.377,26625,75,354
270.105,26700,75,355
270.837,26775,75,356
271.470,26850,75,357
272.348,26925,75,358
272.984,27000,75,359
273.811,27075,75,360
274.444,27150,75,361
275.321,27225,75,362
275.907,27300,75,363
276.833,27375,75,364
277.418,27450,75,365
278.295,27525,75,366
278.929,27600,75,367
279.807,27675,75,368
280.445,27750,75,369
281.269,27825,75,370
281.903,27900,75,371
282.780,27975,75,372
283.365,28050,75,373
284.248,28125,75,374
284.877,28200,75,375
285.754,28275,75,376
286.339,28350,75,377
287.265,28425,75,378
287.850,28500,75,379
288.750,28575,75,380
289.332,28650,75,381
290.239,28725,75,382
290.873,28800,75,383
291.712,28875,75,384
292.335,28950,75,385
293.235,29025,75,386
293.798,29100,75,387
294.675,29175,75,388
295.309,29250,75,389
296.187,29325,75,390
296.774,29400,75,391
297.709,29475,75,392
298.283,29550,75,393
299.160,29625,75,394
299.745,29700,75,395
300.672,29775,75,396
301.280,29850,75,397
302.134,29925,75,398
302.719,30000,75,399
303.645,30075,75,400
304.230,30150,75,401
305.108,30225,75,402
305.742,30300,75,403
306.619,30375,75,404
307.204,30450,75,405
308.178,30525,75,406
308.715,30600,75,407
309.593,30675,75,408
310.178,30750,75,409
311.104,30825,75,410
311.692,30900,75,411
312.571,30975,75,412
313.200,31050,75,413
314.085,31125,75,414
314.667,31200,75,415
315.540,31275,75,416
316.174,31350,75,417
317.052,31425,75,418
317.637,31500,75,419
318.563,31575,75,420
319.151,31650,75,421
320.047,31725,75,422
320.611,31800,75,423
321.540,31875,75,424
322.122,31950,75,425
322.999,32025,75,426
323.584,32100,75,427
324.513,32175,75,428
325.103,32250,75,429
326.267,32325,75,430
326.607,32400,75,431
327.484,32475,75,432
328.069,32550,75,433
328.947,32625,75,434
329.585,32700,75,435
330.458,32775,75,436
331.043,32850,75,437
331.969,32925,75,438
332.578,33000,75,439
333.432,33075,75,440
334.017,33150,75,441
334.943,33225,75,442
335.528,33300,75,443
336.405,33375,75,444
337.013,33450,75,445
337.917,33525,75,446
338.505,33600,75,447
339.380,33675,75,448
340.017,33750,75,449
340.899,33825,75,450
341.480,33900,75,451
342.354,33975,75,452
342.987,34050,75,453
343.864,34125,75,454
344.449,34200,75,455
345.376,34275,75,456
345.960,34350,75,457
346.845,34425,75,458
347.423,34500,75,459
348.374,34575,75,460
348.967,34650,75,461
349.814,34725,75,462
350.445,34800,75,463
351.345,34875,75,464
351.916,34950,75,465
352.871,35025,75,466
353.439,35100,75,467
354.300,35175,75,468
354.898,35250,75,469
355.809,35325,75,470
356.393,35400,75,471
357.270,35475,75,472
357.904,35550,75,473
358.782,35625,75,474
359.369,35700,75,475
360.264,35775,75,476
360.927,35850,75,477
361.756,35925,75,478
362.340,36000,75,479
363.267,36075,75,480
363.851,36150,75,481
364.729,36225,75,482
365.315,36300,75,483
366.240,36375,75,484
366.825,36450,75,485
367.724,36525,75,486
368.289,36600,75,487
369.214,36675,75,488
369.799,36750,75,489
370.677,36825,75,490
371.310,36900,75,491
372.224,36975,75,492
372.773,37050,75,493
373.699,37125,75,494
374.284,37200,75,495
375.162,37275,75,496
375.793,37350,75,497
376.673,37425,75,498
377.258,37500,75,499
378.135,37575,75,500
378.732,37650,75,501
379.647,37725,75,502
380.255,37800,75,503
381.148,37875,75,504
381.743,37950,75,505
382.620,38025,75,506
383.205,38100,75,507
384.131,38175,75,508
384.738,38250,75,509
385.594,38325,75,510
386.179,38400,75,511
387.105,38475,75,512
387.690,38550,75,513
388.573,38625,75,514
389.174,38700,75,515
390.079,38775,75,516
390.664,38850,75,517
391.542,38925,75,518
392.175,39000,75,519
393.053,39075,75,520
393.640,39150,75,521
394.517,39225,75,522
395.149,39300,75,523
396.027,39375,75,524
396.612,39450,75,525
397.538,39525,75,526
398.123,39600,75,527
399.000,39675,75,528
399.634,39750,75,529
400.512,39825,75,530
401.097,39900,75,531
401.974,39975,75,532
402.612,40050,75,533
403.515,40125,75,534
404.070,40200,75,535
404.948,40275,75,536
405.582,40350,75,537
406.459,40425,75,538
407.047,40500,75,539
407.970,40575,75,540
408.555,40650,75,541
409.433,40725,75,542
410.087,40800,75,543
410.944,40875,75,544
411.529,40950,75,545
412.406,41025,75,546
412.998,41100,75,547
413.928,41175,75,548
414.522,41250,75,549
415.383,41325,75,550
416.062,41400,75,551
416.892,41475,75,552
417.477,41550,75,553
418.500,41625,75,554
418.988,41700,75,555
419.865,41775,75,556
420.450,41850,75,557
421.383,41925,75,558
421.982,42000,75,559
422.839,42075,75,560
423.424,42150,75,561
424.350,42225,75,562
424.959,42300,75,563
425.813,42375,75,564
426.398,42450,75,565
427.324,42525,75,566
427.929,42600,75,567
428.835,42675,75,568
429.373,42750,75,569
430.298,42825,75,570
430.892,42900,75,571
431.760,42975,75,572
432.394,43050,75,573
433.341,43125,75,574
433.906,43200,75,575
434.734,43275,75,576
435.368,43350,75,577
436.245,43425,75,578
436.861,43500,75,579
437.762,43575,75,580
438.342,43650,75,581
439.219,43725,75,582
439.805,43800,75,583
440.730,43875,75,584
441.315,43950,75,585
442.208,44025,75,586
442.778,44100,75,587
443.704,44175,75,588
444.337,44250,75,589
445.167,44325,75,590
445.800,44400,75,591
446.678,44475,75,592
447.263,44550,75,593
448.145,44625,75,594
448.774,44700,75,595
449.652,44775,75,596
450.241,44850,75,597
451.260,44925,75,598
451.747,45000,75,599
452.628,45075,75,600
453.210,45150,75,601
454.159,45225,75,602
454.722,45300,75,603
455.697,45375,75,604
456.246,45450,75,605
457.110,45525,75,606
457.695,45600,75,607
458.573,45675,75,608
459.206,45750,75,609
460.084,45825,75,610
460.677,45900,75,611
461.595,45975,75,612
462.180,46050,75,613
463.058,46125,75,614
463.643,46200,75,615
464.589,46275,75,616
465.154,46350,75,617
466.031,46425,75,618
466.959,46500,75,619
467.543,46575,75,620
468.164,46650,75,621
469.060,46725,75,622
469.639,46800,75,623
470.516,46875,75,624
471.122,46950,75,625
471.981,47025,75,626
472.616,47100,75,627
473.490,47175,75,628
474.076,47250,75,629
475.002,47325,75,630
475.590,47400,75,631
476.488,47475,75,632
477.049,47550,75,633
478.032,47625,75,634
478.609,47700,75,635
479.458,47775,75,636
480.071,47850,75,637
480.949,47925,75,638
481.534,48000,75,639
482.412,48075,75,640
483.046,48150,75,641
483.923,48225,75,642
484.508,48300,75,643
485.405,48375,75,644
486.019,48450,75,645
486.897,48525,75,646
487.482,48600,75,647
488.408,48675,75,648
489.257,48750,75,649
489.870,48825,75,650
490.455,48900,75,651
491.382,48975,75,652
491.967,49050,75,653
492.844,49125,75,654
493.481,49200,75,655
494.401,49275,75,656
494.940,49350,75,657
495.882,49425,75,658
496.500,49500,75,659
497.351,49575,75,660
497.914,49650,75,661
498.893,49725,75,662
499.425,49800,75,663
500.303,49875,75,664
500.888,49950,75,665
501.863,50025,75,666
502.497,50100,75,667
503.277,50175,75,668
503.867,50250,75,669
504.789,50325,75,670
505.374,50400,75,671
506.251,50475,75,672
506.890,50550,75,673
507.762,50625,75,674
508.446,50700,75,675
509.272,50775,75,676
509.907,50850,75,677
510.735,50925,75,678
511.320,51000,75,679
512.247,51075,75,680
512.880,51150,75,681
513.717,51225,75,682
514.343,51300,75,683
515.220,51375,75,684
515.805,51450,75,685
516.683,51525,75,686
517.317,51600,75,687
518.194,51675,75,688
518.779,51750,75,689
519.657,51825,75,690
