df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.782,213,74,2
6.190,287,74,3
6.463,361,74,4
6.906,435,74,5
7.292,509,74,6
7.585,583,74,7
8.023,657,74,8
8.414,731,74,9
8.708,805,74,10
9.096,879,74,11
9.535,953,74,12
9.827,1027,74,13
10.223,1101,74,14
10.511,1175,74,15
10.949,1249,74,16
11.338,1323,74,17
11.632,1397,74,18
12.021,1471,74,19
12.752,1545,74,20
12.771,1619,74,21
13.164,1693,74,22
13.629,1767,74,23
13.825,1841,74,24
14.312,1915,74,25
14.702,1989,74,26
14.949,2063,74,27
15.385,2137,74,28
15.677,2211,74,29
16.068,2285,74,30
16.555,2359,74,31
16.752,2433,74,32
17.188,2507,74,33
17.579,2581,74,34
17.872,2655,74,35
18.310,2729,74,36
18.748,2803,74,37
19.283,2877,74,38
19.482,2951,74,39
19.821,3025,74,40
20.168,3099,74,41
20.504,3173,74,42
20.796,3247,74,43
21.235,3321,74,44
21.676,3395,74,45
21.925,3469,74,46
22.362,3543,74,47
22.840,3617,74,48
23.042,3691,74,49
23.434,3765,74,50
23.867,3839,74,51
24.230,3913,74,52
24.603,3987,74,53
24.988,4061,74,54
25.233,4135,74,55
25.722,4209,74,56
25.968,4283,74,57
26.408,4357,74,58
26.798,4431,74,59
27.085,4505,74,60
27.500,4579,74,61
27.919,4653,74,62
28.215,4727,74,63
28.596,4801,74,64
29.040,4875,74,65
29.280,4949,74,66
29.718,5023,74,67
30.117,5097,74,68
30.400,5171,74,69
30.847,5245,74,70
31.083,5319,74,71
31.521,5393,74,72
31.969,5467,74,73
32.204,5541,74,74
32.642,5615,74,75
33.053,5689,74,76
33.343,5763,74,77
33.910,5837,74,78
34.154,5911,74,79
34.504,5985,74,80
34.841,6059,74,81
35.275,6133,74,82
35.570,6207,74,83
35.959,6281,74,84
36.309,6355,74,85
36.689,6429,74,86
37.083,6503,74,87
37.371,6577,74,88
37.774,6651,74,89
38.209,6725,74,90
38.493,6799,74,91
38.887,6873,74,92
39.416,6947,74,93
39.620,7021,74,94
40.006,7095,74,95
40.686,7169,74,96
40.740,7243,74,97
41.141,7317,74,98
41.417,7391,74,99
41.809,7465,74,100
42.299,7539,74,101
42.538,7613,74,102
42.982,7687,74,103
43.367,7761,74,104
43.661,7835,74,105
44.050,7909,74,106
44.489,7983,74,107
44.795,8057,74,108
45.171,8131,74,109
45.561,8205,74,110
45.865,8279,74,111
46.392,8353,74,112
46.536,8427,74,113
46.982,8501,74,114
47.365,8575,74,115
47.657,8649,74,116
48.105,8723,74,117
48.552,8797,74,118
48.791,8871,74,119
49.328,8945,74,120
49.612,9019,74,121
49.900,9093,74,122
50.315,9167,74,123
50.729,9241,74,124
51.024,9315,74,125
51.415,9389,74,126
51.721,9463,74,127
52.142,9537,74,128
52.548,9610,73,129
52.877,9684,74,130
53.215,9758,74,131
53.660,9832,74,132
54.015,9906,74,133
54.337,9980,74,134
54.779,10054,74,135
55.093,10128,74,136
55.457,10202,74,137
55.750,10276,74,138
56.157,10350,74,139
56.579,10424,74,140
56.920,10498,74,141
57.268,10572,74,142
57.752,10644,72,143
57.944,10718,74,144
58.383,10792,74,145
58.876,10866,74,146
59.070,10940,74,147
59.558,11014,74,148
59.808,11088,74,149
60.187,11162,74,150
60.625,11236,74,151
60.879,11310,74,152
61.312,11384,74,153
61.697,11458,74,154
62.234,11532,74,155
62.429,11606,74,156
63.111,11680,74,157
63.133,11754,74,158
63.607,11828,74,159
63.940,11902,74,160
64.233,11976,74,161
64.919,12050,74,162
64.970,12123,73,163
65.354,12197,74,164
65.750,12271,74,165
66.036,12345,74,166
66.484,12419,74,167
66.919,12493,74,168
67.158,12567,74,169
67.601,12641,74,170
68.044,12715,74,171
68.279,12789,74,172
68.771,12863,74,173
69.146,12937,74,174
69.405,13011,74,175
69.790,13085,74,176
70.084,13159,74,177
70.522,13233,74,178
70.960,13307,74,179
71.207,13381,74,180
71.594,13455,74,181
72.033,13529,74,182
72.330,13603,74,183
72.813,13677,74,184
73.159,13751,74,185
73.400,13825,74,186
73.844,13899,74,187
74.280,13973,74,188
74.568,14047,74,189
74.962,14121,74,190
75.201,14195,74,191
75.645,14269,74,192
76.089,14343,74,193
76.323,14417,74,194
76.766,14491,74,195
77.207,14565,74,196
77.750,14639,74,197
77.940,14713,74,198
78.273,14787,74,199
78.567,14861,74,200
79.005,14935,74,201
79.394,15009,74,202
79.744,15083,74,203
80.076,15157,74,204
80.373,15231,74,205
80.861,15305,74,206
81.198,15379,74,207
81.490,15453,74,208
81.880,15527,74,209
82.319,15601,74,210
82.660,15675,74,211
83.001,15749,74,212
83.448,15823,74,213
83.768,15897,74,214
84.132,15971,74,215
84.561,16045,74,216
84.805,16119,74,217
85.266,16193,74,218
85.536,16266,73,219
85.933,16340,74,220
86.370,16414,74,221
86.609,16488,74,222
87.070,16562,74,223
87.486,16636,74,224
87.730,16710,74,225
88.169,16784,74,226
