df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,omega
22.361,0.501
22.796,0.499
24.208,0.501
24.601,0.499
26.407,0.498
27.040,0.499
28.214,0.500
28.792,0.499
30.016,0.500
30.596,0.502
31.306,0.503
31.964,0.506
32.507,0.506
33.341,0.510
34.501,0.510
35.957,0.512
36.307,0.510
37.082,0.510
37.758,0.510
38.206,0.506
38.886,0.502
39.374,0.504
39.907,0.502
40.496,0.504
41.140,0.509
41.807,0.509
42.298,0.512
42.981,0.512
43.660,0.512
44.794,0.513
45.468,0.512
46.009,0.509
46.735,0.506
47.322,0.506
48.102,0.509
48.549,0.509
49.325,0.512
49.899,0.513
51.718,0.513
52.391,0.513
52.874,0.513
53.414,0.513
54.012,0.513
54.778,0.512
56.155,0.512
57.267,0.512
57.750,0.512
59.069,0.509
59.557,0.503
62.041,0.499
62.823,0.503
63.455,0.499
64.627,0.499
65.111,0.498
65.748,0.498
66.378,0.498
66.918,0.498
67.600,0.498
68.188,0.497
68.770,0.498
69.404,0.498
69.987,0.498
71.792,0.499
72.329,0.499
73.158,0.499
73.596,0.506
74.278,0.512
74.961,0.514
75.640,0.514
76.087,0.515
76.765,0.515
77.396,0.515
77.935,0.516
78.472,0.516
79.004,0.515
79.741,0.515
80.372,0.515
80.859,0.515
81.396,0.515
82.176,0.515
82.630,0.516
83.393,0.515
84.128,0.515
84.477,0.515
84.978,0.515
85.931,0.515
86.369,0.515
87.058,0.514
87.975,0.514
88.612,0.514
89.294,0.510
89.976,0.509
90.420,0.506
90.962,0.507
91.536,0.504
92.221,0.504
92.901,0.504
93.431,0.503
94.022,0.499
95.684,0.499
96.405,0.499
96.994,0.497
100.067,0.497
100.753,0.495
101.283,0.497
102.063,0.497
102.586,0.501
103.089,0.506
103.727,0.507
104.358,0.507
104.993,0.507
106.161,0.507
106.942,0.506
107.287,0.504
108.063,0.504
108.502,0.504
109.232,0.505
109.866,0.505
110.400,0.505
111.037,0.505
111.718,0.505
112.158,0.505
112.901,0.505
113.426,0.507
114.114,0.505
114.644,0.504
115.284,0.504
115.916,0.504
116.465,0.504
117.130,0.504
117.966,0.504
118.248,0.504
118.885,0.504
119.567,0.505
120.052,0.507
121.862,0.508
122.688,0.509
123.128,0.508
123.760,0.509
124.394,0.510
124.930,0.512
125.625,0.514
126.309,0.514
126.936,0.512
127.470,0.515
128.145,0.517
128.928,0.515
129.316,0.517
129.950,0.517
130.501,0.515
131.072,0.517
131.854,0.517
132.293,0.519
133.023,0.517
133.658,0.515
134.339,0.513
134.879,0.510
135.460,0.513
136.163,0.510
136.724,0.510
137.410,0.509
137.967,0.508
138.580,0.508
139.114,0.509
139.701,0.509
140.351,0.509
140.928,0.509
141.505,0.508
143.261,0.508
143.891,0.508
144.489,0.508
145.113,0.508
145.698,0.507
146.218,0.507
146.915,0.507
147.464,0.507
148.084,0.506
150.394,0.506
151.063,0.506
153.987,0.506
154.622,0.506
155.839,0.506
156.368,0.508
156.961,0.508
157.651,0.508
158.179,0.506
158.765,0.506
160.564,0.506
161.100,0.505
161.688,0.506
162.373,0.508
163.003,0.505
163.489,0.505
164.040,0.508
164.607,0.505
165.975,0.504
166.462,0.505
167.150,0.505
167.643,0.505
168.369,0.509
168.948,0.510
169.292,0.513
170.131,0.513
170.528,0.513
171.107,0.513
171.683,0.513
172.367,0.515
173.775,0.513
174.124,0.515
174.850,0.516
175.289,0.514
175.957,0.514
176.555,0.514
177.094,0.512
177.727,0.516
178.358,0.518
179.043,0.516
179.678,0.516
180.084,0.516
180.798,0.512
181.964,0.512
183.333,0.512
183.771,0.508
184.399,0.508
185.140,0.505
185.576,0.508
187.380,0.505
188.059,0.505
188.645,0.505
189.191,0.503
189.814,0.505
190.695,0.506
190.990,0.508
191.821,0.508
192.398,0.508
192.939,0.506
195.372,0.508
196.252,0.506
196.556,0.506
197.242,0.508
198.446,0.510
199.180,0.508
199.865,0.510
200.347,0.510
201.039,0.510
201.663,0.510
202.833,0.510
203.951,0.510
204.637,0.512
205.270,0.512
205.761,0.512
206.393,0.512
207.563,0.512
208.242,0.512
208.879,0.510
209.468,0.512
211.877,0.513
214.192,0.513
214.636,0.513
215.362,0.513
216.041,0.513
216.483,0.513
217.121,0.513
217.796,0.513
218.431,0.513
219.018,0.513
219.746,0.515
220.238,0.513
220.833,0.513
221.553,0.513
222.044,0.510
222.720,0.510
223.357,0.507
224.092,0.507
224.527,0.508
225.067,0.508
225.993,0.507
226.343,0.506
227.111,0.507
227.501,0.508
228.090,0.508
228.915,0.507
229.260,0.507
230.081,0.507
237.073,0.506
237.690,0.506
238.177,0.506
238.875,0.506
239.393,0.506
239.981,0.507
240.712,0.506
241.343,0.507
242.172,0.508
242.565,0.508
243.199,0.509
243.929,0.509
244.417,0.510
245.055,0.512
252.025,0.510
265.284,0.510
276.718,0.509
278.496,0.509
279.224,0.507
284.246,0.507
284.734,0.505
285.365,0.492
292.534,0.481
293.899,0.485
303.350,0.485
303.893,0.485
304.380,0.497
305.696,0.485
306.866,0.485
