df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
5.034,-0.334,0.877,-0.248
5.044,-0.332,0.877,-0.246
5.054,-0.330,0.879,-0.248
5.064,-0.332,0.881,-0.250
5.074,-0.334,0.879,-0.248
5.083,-0.336,0.877,-0.246
5.093,-0.336,0.877,-0.250
5.103,-0.336,0.879,-0.250
5.113,-0.336,0.877,-0.250
5.123,-0.336,0.879,-0.250
5.133,-0.332,0.879,-0.250
5.143,-0.332,0.881,-0.250
5.153,-0.332,0.879,-0.248
5.163,-0.332,0.877,-0.248
5.173,-0.334,0.879,-0.248
5.183,-0.330,0.879,-0.252
5.193,-0.330,0.877,-0.248
5.202,-0.330,0.879,-0.250
5.212,-0.332,0.879,-0.250
5.222,-0.330,0.881,-0.250
5.232,-0.328,0.881,-0.252
5.242,-0.330,0.877,-0.250
5.252,-0.332,0.879,-0.250
5.262,-0.336,0.877,-0.254
5.272,-0.336,0.873,-0.252
5.282,-0.334,0.875,-0.252
5.292,-0.336,0.871,-0.250
5.302,-0.336,0.879,-0.252
5.312,-0.334,0.879,-0.250
5.322,-0.334,0.879,-0.250
5.331,-0.334,0.877,-0.250
5.341,-0.332,0.877,-0.250
5.351,-0.334,0.879,-0.250
5.361,-0.332,0.879,-0.246
5.371,-0.332,0.879,-0.248
5.381,-0.330,0.877,-0.250
5.391,-0.334,0.875,-0.250
5.401,-0.336,0.877,-0.252
5.411,-0.330,0.877,-0.250
5.421,-0.334,0.875,-0.250
5.431,-0.336,0.879,-0.248
5.441,-0.336,0.877,-0.250
5.451,-0.336,0.879,-0.248
5.460,-0.336,0.875,-0.248
5.470,-0.336,0.877,-0.248
5.480,-0.330,0.875,-0.248
