df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,rr_int
10.617,4040
11.069,1380
11.787,355
12.421,660
12.860,775
13.252,435
13.688,320
13.692,490
13.981,245
14.663,720
15.399,10
15.520,715
16.032,185
16.857,545
17.735,750
18.807,935
18.953,1255
20.074,420
20.416,700
21.637,280
21.732,1230
21.829,175
23.443,1415
23.684,220
23.719,10
23.928,225
23.932,15
24.010,250
25.512,775
26.704,785
26.753,1325
27.731,890
27.878,50
27.883,25
27.887,20
28.170,20
29.048,425
29.681,710
30.360,735
31.922,770
31.936,1555
32.023,10
32.077,10
32.164,100
32.169,15
32.174,20
32.215,20
32.359,235
33.870,735
34.553,745
35.381,760
36.365,765
36.795,715
37.624,770
38.477,800
39.147,780
39.968,780
40.647,785
41.431,730
42.257,760
42.260,765
42.888,10
43.717,750
44.416,755
45.131,735
45.969,680
46.644,850
47.378,740
48.158,720
48.836,720
49.566,745
50.257,725
50.931,745
51.663,705
52.491,710
53.179,745
53.856,725
54.539,710
55.270,700
56.099,765
56.781,765
57.467,735
58.292,725
59.023,740
59.706,755
60.535,760
61.217,760
61.900,725
62.729,740
63.459,755
64.288,770
64.973,760
65.653,770
66.531,720
67.311,745
68.188,845
68.578,865
69.261,475
69.992,675
70.382,700
70.484,430
70.531,10
70.677,10
70.823,195
71.357,725
71.577,10
71.580,115
71.941,20
72.624,460
73.456,720
74.136,775
74.964,775
75.793,790
76.573,785
77.352,790
78.181,820
79.059,810
79.692,785
80.391,740
81.205,735
82.010,760
82.617,730
83.300,720
84.007,700
84.717,685
84.720,700
85.397,10
86.079,710
86.761,730
87.495,695
88.176,680
88.857,725
89.735,740
90.271,730
90.953,675
91.657,685
92.464,720
93.196,755
93.878,735
94.561,730
95.389,720
95.393,735
96.072,10
96.809,700
97.487,725
98.216,665
98.853,710
99.583,725
100.264,720
100.947,700
101.629,685
102.510,720
103.189,755
103.871,760
104.602,750
105.433,710
106.065,745
106.796,730
107.479,740
108.307,730
109.001,715
109.721,755
110.550,765
111.232,785
112.062,760
112.743,755
113.604,770
114.303,775
114.986,755
115.815,730
116.546,750
117.374,760
118.057,775
118.886,770
119.568,740
120.406,780
121.079,785
121.908,780
122.639,745
123.469,760
124.152,780
124.979,770
125.811,760
126.393,730
127.270,760
127.904,765
128.587,760
129.417,730
130.146,735
130.975,770
131.661,770
132.340,755
133.071,745
133.900,705
134.582,770
135.460,755
136.122,745
136.779,725
137.508,720
138.336,735
139.074,755
139.701,730
140.286,695
140.968,665
141.797,705
142.480,705
143.211,715
143.893,725
144.576,675
144.722,705
145.258,235
145.844,505
146.870,580
147.111,705
147.793,600
148.329,710
149.017,550
149.597,620
149.600,600
150.133,10
150.816,600
151.405,615
152.086,645
152.766,675
153.497,680
154.180,715
154.716,650
155.398,630
156.134,700
156.812,690
157.640,720
157.646,730
157.786,10
157.792,125
158.184,15
158.907,505
159.774,700
160.419,730
161.248,760
161.931,805
162.759,780
163.490,775
164.343,775
165.196,775
165.830,780
166.659,785
167.438,795
168.219,775
168.932,755
169.730,775
170.413,760
171.390,780
171.972,760
172.655,720
173.484,755
174.166,755
174.903,735
175.728,760
176.457,735
177.091,715
177.822,730
178.650,770
179.384,770
180.168,770
180.990,740
181.576,725
182.258,735
182.940,720
183.623,700
184.354,705
185.085,640
185.720,685
186.015,695
186.401,380
187.669,355
187.961,1255
187.964,260
188.108,10
188.111,195
188.351,245
189.765,710
190.448,675
191.182,665
191.715,665
191.769,690
192.401,10
193.084,685
193.763,690
194.494,670
195.176,680
195.180,680
195.862,10
196.444,680
197.126,615
197.663,665
198.394,645
199.222,695
199.905,730
200.588,770
201.271,710
202.001,695
202.686,710
203.366,715
204.097,700
204.780,680
205.316,655
206.001,645
206.735,670
207.487,680
208.143,705
208.926,730
209.605,690
210.337,750
211.023,755
211.848,770
212.530,770
213.513,750
214.093,770
214.919,785
215.748,780
216.431,770
217.113,765
217.948,750
218.727,765
219.014,680
219.019,380
219.063,10
219.075,10
219.161,15
219.166,15
219.171,10
219.356,25
220.628,295
221.485,1315
221.549,760
222.134,10
222.524,730
222.816,620
224.239,705
224.913,785
225.793,695
225.888,740
225.892,190
226.424,20
227.155,535
227.838,690
228.380,700
229.105,660
229.787,685
230.470,675
231.007,635
231.153,660
231.737,10
232.420,640
232.423,650
233.102,10
233.693,665
234.372,685
234.614,685
235.053,220
235.881,465
236.856,780
237.295,945
238.124,445
238.806,850
240.171,710
240.756,1380
241.590,665
242.267,740
242.950,690
243.686,740
244.509,765
245.192,740
245.692,670
246.460,420
247.142,940
247.890,700
248.555,685
248.948,635
249.921,465
250.787,955
251.431,885
251.627,745
251.724,210
252.846,655
253.284,465
253.966,465
254.064,690
254.367,85
255.923,315
257.281,1530
257.964,1405
258.793,750
259.527,765
260.062,735
260.889,610
261.724,845
262.405,740
263.280,770
264.106,800
264.789,775
265.617,780
266.446,790
267.283,810
268.250,770
269.225,1080
270.638,1015
271.175,1450
272.540,465
273.176,1415
273.661,475
274.782,660
275.221,1110
276.732,455
277.415,1485
