df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,perfusion_ir
141.700,0.170
143.115,0.170
145.018,0.160
164.181,0.170
164.370,0.170
166.465,0.170
172.563,0.170
179.779,0.170
182.846,0.170
206.487,0.180
209.659,0.170
213.612,0.170
217.115,0.170
218.285,0.180
221.603,0.180
224.433,0.180
225.361,0.180
227.989,0.180
229.602,0.180
299.557,0.190
301.020,0.190
306.043,0.190
