df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,spo2
141.408,93
143.110,93
145.015,93
164.178,93
164.366,93
166.417,93
172.559,93
179.629,93
182.817,93
206.446,93
209.618,93
213.608,93
216.885,92
218.240,92
221.556,92
224.334,92
225.357,92
227.941,91
229.599,91
299.553,91
300.922,91
306.040,91
