df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
3.805,-1.037,0.254,0.279
3.815,-1.045,0.248,0.279
3.825,-1.059,0.244,0.277
3.835,-1.061,0.250,0.271
3.845,-1.062,0.252,0.268
3.855,-1.062,0.260,0.264
3.865,-1.070,0.270,0.258
3.875,-1.082,0.283,0.244
3.885,-1.072,0.307,0.230
3.895,-1.035,0.328,0.217
3.905,-1.000,0.357,0.205
3.915,-0.961,0.379,0.197
3.925,-0.928,0.404,0.188
3.935,-0.891,0.416,0.180
3.945,-0.867,0.430,0.176
3.955,-0.842,0.451,0.170
3.965,-0.832,0.465,0.168
3.975,-0.818,0.484,0.160
3.985,-0.805,0.496,0.158
3.995,-0.795,0.516,0.152
4.005,-0.787,0.523,0.152
4.015,-0.785,0.529,0.152
4.025,-0.779,0.543,0.152
4.035,-0.775,0.549,0.154
4.045,-0.773,0.557,0.154
4.055,-0.777,0.561,0.150
4.065,-0.777,0.568,0.150
4.075,-0.775,0.568,0.150
4.085,-0.775,0.566,0.152
4.095,-0.775,0.566,0.152
4.105,-0.779,0.566,0.152
4.115,-0.775,0.572,0.154
4.125,-0.781,0.574,0.152
4.135,-0.781,0.580,0.154
4.145,-0.791,0.586,0.156
4.155,-0.797,0.582,0.160
4.165,-0.805,0.586,0.160
4.175,-0.807,0.586,0.162
4.185,-0.811,0.586,0.162
4.195,-0.812,0.592,0.158
4.205,-0.809,0.594,0.160
4.215,-0.803,0.598,0.156
4.225,-0.797,0.600,0.158
4.235,-0.795,0.604,0.164
4.245,-0.785,0.607,0.162
4.255,-0.785,0.607,0.160
4.265,-0.789,0.609,0.162
4.275,-0.791,0.617,0.158
4.285,-0.791,0.613,0.166
4.295,-0.793,0.613,0.162
4.305,-0.791,0.613,0.160
4.315,-0.785,0.617,0.162
4.325,-0.779,0.613,0.162
4.335,-0.773,0.615,0.164
4.345,-0.773,0.621,0.162
4.355,-0.773,0.619,0.162
4.365,-0.770,0.619,0.164
4.375,-0.768,0.623,0.166
4.385,-0.770,0.621,0.166
4.395,-0.770,0.625,0.162
4.405,-0.768,0.625,0.164
4.415,-0.764,0.625,0.166
4.425,-0.764,0.627,0.168
4.435,-0.766,0.627,0.166
4.445,-0.762,0.625,0.166
4.455,-0.762,0.625,0.168
4.465,-0.758,0.627,0.168
4.475,-0.760,0.631,0.170
4.485,-0.762,0.631,0.170
4.495,-0.768,0.639,0.170
4.505,-0.766,0.637,0.172
4.515,-0.766,0.635,0.170
4.525,-0.768,0.637,0.170
4.535,-0.766,0.637,0.170
4.545,-0.762,0.639,0.172
4.555,-0.762,0.637,0.172
4.565,-0.762,0.639,0.172
4.575,-0.760,0.635,0.172
4.585,-0.760,0.635,0.170
4.595,-0.760,0.633,0.172
4.605,-0.764,0.633,0.170
4.615,-0.764,0.629,0.176
4.625,-0.766,0.631,0.172
4.635,-0.771,0.629,0.170
4.645,-0.771,0.629,0.172
4.655,-0.770,0.629,0.174
4.665,-0.771,0.633,0.174
4.675,-0.773,0.631,0.176
4.685,-0.773,0.633,0.174
4.695,-0.775,0.629,0.174
4.705,-0.779,0.631,0.176
4.715,-0.779,0.631,0.176
4.725,-0.781,0.627,0.174
4.735,-0.775,0.619,0.178
4.745,-0.779,0.625,0.176
4.755,-0.777,0.625,0.176
4.765,-0.777,0.629,0.178
4.775,-0.775,0.633,0.178
4.785,-0.773,0.633,0.178
4.795,-0.773,0.635,0.180
4.805,-0.773,0.635,0.178
4.815,-0.771,0.639,0.178
4.825,-0.770,0.635,0.174
4.835,-0.770,0.635,0.174
4.845,-0.768,0.633,0.176
4.855,-0.764,0.637,0.174
4.865,-0.760,0.635,0.172
4.875,-0.762,0.639,0.174
4.885,-0.758,0.635,0.174
4.895,-0.758,0.637,0.176
4.905,-0.758,0.641,0.176
4.915,-0.754,0.639,0.174
4.925,-0.754,0.639,0.176
4.935,-0.754,0.646,0.176
4.945,-0.750,0.648,0.174
4.955,-0.752,0.650,0.176
4.965,-0.752,0.650,0.176
4.975,-0.746,0.654,0.176
4.985,-0.748,0.650,0.184
4.995,-0.742,0.650,0.182
