df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.564,75,75,0
6.198,150,75,1
7.173,225,75,2
7.819,300,75,3
8.586,375,75,4
9.222,450,75,5
10.049,525,75,6
10.730,600,75,7
11.566,675,75,8
12.146,750,75,9
13.042,825,75,10
13.710,900,75,11
14.540,975,75,12
15.160,1050,75,13
15.997,1125,75,14
16.684,1200,75,15
17.609,1275,75,16
18.093,1350,75,17
19.023,1425,75,18
19.699,1500,75,19
20.487,1575,75,20
21.067,1650,75,21
21.981,1725,75,22
22.584,1800,75,23
23.560,1875,75,24
24.138,1950,75,25
24.967,2025,75,26
25.612,2100,75,27
26.439,2175,75,28
27.014,2250,75,29
27.990,2325,75,30
28.623,2400,75,31
29.696,2475,75,32
30.045,2550,75,33
30.915,2625,75,34
31.517,2700,75,35
32.428,2775,75,36
33.109,2850,75,37
33.888,2925,75,38
34.769,3000,75,39
35.445,3075,75,40
36.032,3150,75,41
36.910,3225,75,42
37.788,3300,75,43
38.383,3375,75,44
38.958,3450,75,45
39.836,3525,75,46
40.710,3600,75,47
41.354,3675,75,48
41.932,3750,75,49
42.811,3825,75,50
43.448,3900,75,51
44.387,3975,75,52
44.915,4050,75,53
45.785,4125,75,54
46.424,4200,75,55
47.300,4275,75,56
47.977,4350,75,57
48.779,4425,75,58
49.398,4500,75,59
50.274,4575,75,60
50.853,4650,75,61
51.779,4725,75,62
52.419,4800,75,63
53.632,4875,75,64
53.827,4950,75,65
54.796,5025,75,66
55.392,5100,75,67
56.262,5175,75,68
56.937,5250,75,69
57.751,5325,75,70
58.409,5400,75,71
59.342,5475,75,72
59.823,5550,75,73
60.700,5625,75,74
61.350,5700,75,75
62.407,5775,75,76
62.800,5850,75,77
63.675,5925,75,78
64.306,6000,75,79
65.196,6075,75,80
65.771,6150,75,81
66.648,6225,75,82
67.239,6300,75,83
68.167,6375,75,84
68.767,6450,75,85
