df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,perfusion_ir
60.170,0.160
91.804,0.150
93.461,0.150
145.185,0.140
149.634,0.140
152.349,0.140
166.739,0.140
167.415,0.140
168.250,0.140
170.098,0.140
172.142,0.140
172.341,0.140
179.217,0.140
183.992,0.140
190.328,0.130
203.147,0.130
207.147,0.140
218.313,0.140
222.602,0.150
225.134,0.150
225.786,0.150
228.415,0.150
229.034,0.160
231.478,0.160
232.205,0.160
265.627,0.160
266.769,0.160
274.036,0.160
290.609,0.160
467.771,0.300
470.648,0.310
471.422,0.310
473.129,0.320
474.060,0.320
