df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,ppg_quality
57.743,62
58.753,56
60.773,57
61.783,45
62.793,39
64.813,33
66.833,40
67.843,47
69.863,59
71.883,40
73.903,36
75.923,11
76.933,1
85.013,10
87.033,28
89.053,45
90.063,48
91.073,50
93.093,68
94.103,68
96.123,68
98.143,74
100.163,89
103.193,88
104.203,87
105.213,84
107.233,87
108.243,81
109.253,75
111.273,77
113.293,86
116.323,91
118.343,94
120.363,69
121.373,55
122.383,36
123.393,22
124.403,15
125.413,15
126.423,7
131.473,19
133.493,45
135.513,55
136.523,66
137.533,75
138.543,80
140.563,84
141.573,88
142.583,87
144.603,85
146.623,80
148.643,67
149.653,61
151.673,58
153.693,46
154.703,37
155.713,28
156.723,25
157.733,22
159.753,32
160.763,35
162.783,28
164.803,52
166.823,63
168.843,72
169.853,77
170.863,78
171.873,81
173.893,82
175.913,76
177.933,69
179.953,62
180.963,49
181.973,47
182.983,45
183.993,49
185.003,54
187.023,63
189.043,71
191.063,81
193.083,82
194.093,79
195.103,78
196.113,76
198.133,72
199.143,71
200.153,64
202.173,43
204.193,21
207.223,5
209.243,6
211.263,23
213.283,53
214.293,63
215.303,54
216.313,46
217.323,41
218.333,41
220.353,36
222.373,34
224.393,36
226.413,66
228.433,79
229.443,88
231.463,86
233.483,86
235.503,87
237.523,87
239.543,64
240.553,59
241.563,55
242.573,58
244.593,26
246.613,22
248.633,22
250.653,11
260.753,1
261.763,13
263.783,25
264.793,22
266.813,31
267.823,34
268.833,32
270.853,25
271.863,29
273.883,37
275.903,47
277.923,41
279.943,50
280.953,56
282.973,51
283.983,48
284.993,46
287.013,23
289.033,15
291.053,5
298.123,2
300.143,19
301.153,22
302.163,21
303.173,24
304.183,36
306.203,57
307.213,70
309.233,68
311.253,56
313.273,65
315.293,60
317.313,52
318.323,54
320.343,61
322.363,68
324.383,49
326.403,41
327.413,36
328.423,29
329.433,28
331.453,17
332.463,16
333.473,22
335.493,24
337.513,30
339.533,30
340.543,29
342.563,36
343.573,38
344.583,31
345.593,29
346.603,25
348.623,27
349.633,37
350.643,49
353.673,55
356.703,60
357.713,55
359.733,36
360.743,22
361.753,12
364.783,9
366.803,17
368.823,32
369.833,43
371.853,37
372.863,26
375.893,17
376.903,15
377.913,18
379.933,15
381.953,32
383.973,56
384.983,63
386.993,72
389.013,76
391.033,79
393.053,73
395.073,77
396.083,76
398.103,62
400.123,45
402.143,25
404.163,21
406.183,26
407.193,32
408.203,31
411.233,33
413.253,27
415.273,19
417.293,7
418.303,19
420.323,24
421.333,24
422.343,35
424.363,39
426.383,29
429.413,8
430.423,4
435.473,15
437.493,41
439.513,53
441.533,71
442.543,68
443.553,71
446.583,59
447.593,64
449.613,67
450.623,63
452.643,64
453.653,64
454.663,71
456.683,67
457.693,66
459.713,78
461.733,84
463.753,89
464.763,78
466.783,66
468.803,44
470.823,21
472.843,20
474.863,22
476.883,31
479.913,77
481.933,63
483.953,48
485.973,47
487.993,39
489.003,31
491.023,44
493.043,62
495.063,46
496.073,44
498.093,44
499.103,42
500.113,43
501.123,37
502.133,45
504.153,55
506.173,64
508.193,61
510.213,50
511.223,39
513.243,12
514.253,16
516.273,27
517.283,28
518.293,29
519.303,33
520.313,43
521.323,32
522.333,43
523.343,28
