df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,temperature
4.807,31.609
5.805,31.656
6.789,31.703
7.876,31.766
8.779,31.797
9.803,31.766
10.778,31.812
11.801,31.812
13.026,31.844
13.800,31.891
14.779,31.906
15.861,31.922
17.066,31.938
17.798,31.953
19.019,32.000
19.797,32.062
20.772,32.062
21.795,32.125
23.065,32.156
23.794,32.156
24.769,32.219
25.942,32.250
26.776,32.312
27.792,32.312
28.767,32.344
29.791,32.375
30.814,32.438
31.835,32.438
32.764,32.469
33.795,32.500
34.792,32.562
35.787,32.562
36.765,32.625
38.077,32.656
38.763,32.688
39.789,32.688
41.152,32.719
41.831,32.719
42.808,32.719
43.782,32.688
44.905,32.688
45.780,32.750
46.804,32.719
47.779,32.750
48.820,32.625
49.778,32.625
50.802,32.625
52.121,32.688
52.800,32.750
53.776,32.844
54.819,32.875
55.775,32.906
56.798,32.969
57.781,33.000
58.797,33.156
59.772,33.219
60.796,33.219
61.772,33.219
62.794,33.250
63.775,33.250
64.794,33.281
66.012,33.312
66.792,33.281
67.767,33.281
68.791,33.281
70.158,33.312
70.790,33.344
71.813,33.375
72.788,33.375
73.763,33.375
74.787,33.375
75.762,33.344
76.789,33.375
77.809,33.375
78.785,33.375
79.760,33.375
80.784,33.344
81.763,33.344
82.782,33.375
83.764,33.406
85.122,33.406
85.795,33.469
86.780,33.500
87.756,33.500
88.779,33.531
89.802,33.500
90.777,33.531
91.996,33.531
92.824,33.531
93.800,33.500
94.778,33.531
95.852,33.500
96.774,33.500
97.800,33.531
98.772,33.531
99.796,33.594
100.771,33.625
101.795,33.625
102.792,33.656
103.794,33.688
104.769,33.688
105.987,33.750
106.768,33.719
107.791,33.750
108.766,33.812
109.790,33.781
110.914,33.750
111.790,33.781
112.861,33.781
113.794,33.812
114.763,33.812
115.789,33.844
117.027,33.875
117.785,33.844
118.760,33.812
119.793,33.875
120.759,33.875
121.831,33.875
122.855,33.875
123.782,33.875
124.805,33.906
125.789,33.906
126.901,33.906
128.023,33.938
128.754,33.969
129.778,34.000
130.753,34.000
131.777,34.000
132.800,34.031
133.775,34.031
134.814,34.000
135.774,34.031
136.896,34.062
137.773,34.062
138.879,34.062
139.772,34.031
140.795,34.062
141.819,34.094
142.797,34.062
143.769,34.062
144.841,34.062
145.768,34.062
146.792,34.031
147.767,34.031
148.807,33.969
149.766,34.000
150.813,34.031
151.764,34.062
152.836,34.094
153.766,34.094
154.787,34.125
155.763,34.156
156.788,34.188
157.761,34.250
158.784,34.312
159.790,34.281
160.783,34.281
161.758,34.281
162.785,34.281
164.101,34.344
164.781,34.344
165.853,34.344
166.780,34.344
167.755,34.344
168.791,34.312
170.045,34.344
170.778,34.375
171.803,34.344
172.776,34.344
173.973,34.281
174.775,34.281
175.750,34.250
176.794,34.250
177.748,34.219
178.772,34.281
179.747,34.281
180.773,34.250
181.746,34.281
182.770,34.312
183.794,34.344
184.966,34.344
185.748,34.375
186.783,34.375
187.742,34.375
188.766,34.406
189.741,34.375
190.768,34.406
191.788,34.406
192.764,34.375
193.787,34.375
194.762,34.344
195.786,34.281
196.761,34.250
197.813,34.375
198.760,34.344
199.783,34.375
200.907,34.375
201.783,34.562
202.758,34.531
203.812,34.594
204.756,34.625
205.780,34.750
206.755,34.750
207.779,34.688
208.754,34.688
209.791,34.688
210.753,34.688
211.777,34.531
212.751,34.562
213.809,34.562
214.948,34.562
215.774,34.531
217.138,34.531
217.773,34.500
218.748,34.531
219.772,34.562
220.771,34.594
221.822,34.594
222.745,34.594
223.779,34.562
224.744,34.562
225.769,34.562
226.743,34.594
227.767,34.594
228.742,34.594
229.765,34.594
230.789,34.531
232.057,34.531
232.739,34.531
233.764,34.562
234.738,34.531
235.813,34.594
236.837,34.531
237.761,34.562
238.736,34.562
239.759,34.531
240.783,34.531
241.762,34.531
242.809,34.531
243.759,34.531
244.781,34.469
245.756,34.469
246.779,34.500
247.754,34.562
248.778,34.562
249.753,34.594
250.777,34.594
251.752,34.562
252.792,34.594
253.752,34.594
254.775,34.688
255.750,34.688
256.773,34.625
257.943,34.562
258.772,34.562
259.814,34.594
260.771,34.594
261.746,34.625
262.924,34.594
263.771,34.594
264.769,34.594
265.755,34.594
266.867,34.625
267.753,34.625
268.770,34.625
269.741,34.625
270.764,34.594
271.749,34.625
272.763,34.625
273.884,34.625
274.762,34.656
275.737,34.656
276.761,34.688
277.736,34.688
278.814,34.750
279.736,34.719
280.759,34.719
281.779,34.656
282.806,34.688
283.781,34.688
284.768,34.656
285.761,34.656
286.755,34.656
287.928,34.656
288.753,34.625
290.169,34.625
290.852,34.656
291.776,34.688
292.751,34.719
293.823,34.719
294.750,34.719
295.774,34.656
296.960,34.656
297.806,34.719
298.747,34.719
300.038,34.719
300.746,34.719
301.770,34.750
302.770,34.750
303.817,34.750
304.744,34.719
305.792,34.781
306.743,34.781
307.815,34.750
308.750,34.750
309.765,34.812
310.986,34.844
311.764,34.812
312.739,34.781
313.763,34.781
314.799,34.812
315.762,34.844
316.737,34.812
317.760,34.812
