Time (s),Resistance (Ω),Conductance (µS),Stage
1,55311,18.079586339064562,callibration
2,55625,17.977528089887638,callibration
3,51951.59,19.248689019912575,callibration
9,44966.45,22.23880248496379,callibration
9,45412.72,22.020262164433223,callibration
9,46717.45,21.405277899371647,callibration
9,45263.16,22.093022228231522,callibration
9,44892.76,22.275306753249296,callibration
9,44454.79,22.494763781360795,callibration
10,45714.29,21.874997949218944,callibration
11,50398.23,19.841966672242258,callibration
12,60360.82,16.567038022346285,callibration
13,58250,17.167381974248926,callibration
14,55625,17.977528089887638,callibration
15,54386.79,18.386817828373395,callibration
16,63125,15.841584158415843,callibration
17,63125,15.841584158415843,callibration
18,68000,14.705882352941178,callibration
19,73742.34,13.560730511128343,callibration
20,75849.05,13.184080749857777,Normal stage
21,85232.55,11.732606850317161,Normal stage
22,92631.58,10.795454422778928,Normal stage
23,92889.45,10.765485208492462,Normal stage
24,94198.48,10.615882549272557,Normal stage
25,90367.65,11.065906881500183,Normal stage
26,84791.67,11.793611329980882,Normal stage
27,81610.73,12.25329071312069,Normal stage
28,86126.76,11.610793207593087,Normal stage
29,95000,10.526315789473685,Normal stage
30,84791.67,11.793611329980882,Normal stage
31,84791.67,11.793611329980882,Normal stage
32,77313.43,12.934363408789393,Normal stage
33,76029.41,13.152804947453888,Normal stage
34,76392.41,13.090305699218023,Normal stage
35,87500,11.428571428571429,Normal stage
36,81406.25,12.284069097888676,Normal stage
37,79410.48,12.592796316052995,Normal stage
38,83707.09,11.946419353486068,Normal stage
39,76392.41,13.090305699218023,Normal stage
40,75135.13,13.30935342761768,Normal stage
41,71250,14.035087719298247,Normal stage
42,66399.26,15.060408805760789,Normal stage
43,66973.69,14.93123643030569,Normal stage
44,63387.1,15.77608062208241,Normal stage
45,65833.34,15.189871879506645,Normal stage
46,63518.85,15.743358074020547,Normal stage
47,61590.91,16.236162121975468,Normal stage
48,59289.34,16.866438385045274,Normal stage
49,57021.27,17.537315461405893,Normal stage
50,55836.02,17.9095859626098,Normal stage
51,55415.34,18.045544789583538,Normal stage
52,58363.94,17.13386724748192,Normal stage
53,61590.91,16.236162121975468,Normal stage
54,58023.26,17.23446769450734,Normal stage
55,56048.39,17.841725694529316,Normal stage
56,53984.37,18.523880152718277,Normal stage
57,51951.59,19.248689019912575,Normal stage
58,51119.4,19.56204493792963,Normal stage
59,51951.59,19.248689019912575,Normal stage
60,50937.5,19.631901840490798,Normal stage
61,58478.26,17.10037200149252,Normal stage
62,59880.55,16.699913410948962,Normal stage
63,59055.65,16.933180821818066,Normal stage
64,54386.79,18.386817828373395,Normal stage
65,53586.95,18.66125987763812,Normal stage
66,51210.76,19.52714624817128,Normal stage
67,51858,19.283427822129664,Normal stage
68,50666.67,19.73684080678679,Normal stage
69,51951.59,19.248689019912575,Normal stage
70,49781.02,20.08797730540676,Normal stage
71,48002.84,20.832100767371262,Normal stage
72,48333.34,20.689652318668646,Normal stage
73,49606.98,20.15845350795392,Normal stage
74,47594.94,21.010636845009152,Normal stage
75,46875,21.333333333333336,Normal stage
76,48085.11,20.79645861265577,Normal stage
77,46954.1,21.29739468970761,Normal stage
78,50756.68,19.70184023068491,Normal stage
79,52710.57,18.97152696318784,Normal stage
80,49956.07,20.017587452335622,Normal stage
81,50309.28,19.877048528621362,Normal stage
82,53000,18.867924528301888,Normal stage
83,53194.45,18.79895365023983,Normal stage
84,55625,17.977528089887638,Normal stage
85,54386.79,18.386817828373395,Normal stage
86,54896.99,18.2159349720267,Normal stage
87,52519.08,19.040699113541212,Normal stage
88,51764.71,19.318180281508386,Normal stage
89,52423.78,19.075312768365805,Normal stage
90,51210.76,19.52714624817128,Normal stage
91,52710.57,18.97152696318784,Normal stage
92,52234.04,19.14460378710894,Normal stage
93,52710.57,18.97152696318784,Normal stage
94,52423.78,19.075312768365805,Normal stage
95,52328.77,19.109946593432255,Normal stage
96,51119.4,19.56204493792963,Normal stage
97,49090.91,20.370369993141296,Normal stage
98,52423.78,19.075312768365805,Normal stage
99,52806.75,18.93697301954769,Normal stage
100,52519.08,19.040699113541212,Normal stage
101,52423.78,19.075312768365805,Normal stage
102,49693.87,20.123206343156607,Normal stage
103,50132.16,19.947275361763783,Normal stage
104,48751.79,20.51206735178339,Normal stage
105,48250.36,20.725233967166254,Normal stage
106,50937.5,19.631901840490798,Normal stage
107,51858,19.283427822129664,Normal stage
108,52423.78,19.075312768365805,Normal stage
109,53292.12,18.764500267581774,Normal stage
110,51394.3,19.457410646705956,Normal stage
111,59406.78,16.83309548169418,Normal stage
112,62477.87,16.005667286672864,Normal stage
113,62606.38,15.972812994458392,Normal stage
114,57798.02,17.301630747904515,Normal stage
115,54084.51,18.4895823221843,Normal stage
116,53586.95,18.66125987763812,Normal stage
117,52328.77,19.109946593432255,Normal stage
118,51210.76,19.52714624817128,Normal stage
119,53785.05,18.592527105580455,Normal stage
120,53194.45,18.79895365023983,Normal stage
121,57574.26,17.3688728261553,Normal stage
122,55207,18.11364500878512,Normal stage
123,57131.15,17.50358604719142,Normal stage
124,54386.79,18.386817828373395,Normal stage
125,52423.78,19.075312768365805,Normal stage
126,51210.76,19.52714624817128,Normal stage
127,51671.69,19.35295710281587,Normal stage
128,49781.02,20.08797730540676,Normal stage
129,51210.76,19.52714624817128,Normal stage
130,49693.87,20.123206343156607,Normal stage
131,49005.77,20.405760382910014,Normal stage
132,48920.86,20.441177853373794,Normal stage
133,48167.61,20.760839078376527,Normal stage
134,49261.94,20.29964715153321,Normal stage
135,53984.37,18.523880152718277,Normal stage
136,55942.03,17.875647344224014,Normal stage
137,55730.34,17.943547446507594,Normal stage
138,55625,17.977528089887638,Normal stage
139,55625,17.977528089887638,Normal stage
140,61716.29,16.203177475509303,Normal stage
141,67556.82,14.802354521719641,Normal stage
142,65693.16,15.222284938036166,Normal stage
143,65414.37,15.287160909751176,Normal stage
144,67264.15,14.86676037681291,Normal stage
145,71411.53,14.003340917075997,Normal stage
146,65137.61,15.352113778813806,Normal stage
147,65275.73,15.319629516207632,Normal stage
148,60360.82,16.567038022346285,Normal stage
149,57685.95,17.335243677186558,Normal stage
150,58250,17.167381974248926,Normal stage
151,54285.71,18.42105408587269,Normal stage
152,55625,17.977528089887638,Normal stage
153,53785.05,18.592527105580455,Normal stage
154,54184.95,18.455309084902726,Normal stage
155,54896.99,18.2159349720267,Normal stage
156,53785.05,18.592527105580455,Normal stage
157,54285.71,18.42105408587269,Normal stage
158,52519.08,19.040699113541212,Normal stage
159,52139.61,19.179276561523952,Normal stage
160,52710.57,18.97152696318784,Normal stage
161,50846.95,19.66686300751569,Normal stage
162,52806.75,18.93697301954769,Normal stage
163,53884.55,18.55819525262807,Normal stage
164,57574.26,17.3688728261553,Normal stage
165,59761.5,16.733181061385675,Normal stage
166,61968.36,16.137267470044392,Normal stage
167,61217.39,16.335227620778998,Normal stage
168,61842.1,16.170214142145884,Normal stage
169,62994.65,15.874363934080115,Normal stage
170,61093.75,16.368286445012785,Normal stage
171,59880.55,16.699913410948962,Normal stage
172,58363.94,17.13386724748192,Normal stage
173,58363.94,17.13386724748192,Normal stage
174,57021.27,17.537315461405893,Normal stage
175,55000,18.181818181818183,Normal stage
176,55625,17.977528089887638,Normal stage
177,57462.93,17.402523679178906,Normal stage
178,56262.14,17.773941766168157,Normal stage
179,55942.03,17.875647344224014,Normal stage
180,55311,18.079586339064562,Normal stage
181,54285.71,18.42105408587269,Normal stage
182,55415.34,18.045544789583538,Normal stage
183,56693.81,17.638609929373242,Normal stage
184,53984.37,18.523880152718277,Normal stage
185,53984.37,18.523880152718277,Normal stage
186,59289.34,16.866438385045274,Normal stage
187,60481.93,16.533863916048976,Normal stage
188,62606.38,15.972812994458392,Normal stage
189,70136.98,14.257813780975457,Normal stage
190,66399.26,15.060408805760789,Normal stage
191,65553.51,15.254713286901039,Normal stage
192,64862.89,15.417136054221453,Normal stage
193,63651.08,15.710652513672981,Normal stage
194,68000,14.705882352941178,Normal stage
195,66685.4,14.995786184082274,Normal stage
196,65693.16,15.222284938036166,Normal stage
197,61590.91,16.236162121975468,Normal stage
198,62477.87,16.005667286672864,Normal stage
199,60000,16.666666666666668,Normal stage
200,60603.45,16.50071076811634,Normal stage
201,62477.87,16.005667286672864,Normal stage
202,62994.65,15.874363934080115,Normal stage
203,62864.77,15.90716071974812,Normal stage
204,61716.29,16.203177475509303,Normal stage
205,59055.65,16.933180821818066,Normal stage
206,57685.95,17.335243677186558,Normal stage
207,58592.96,17.066896773946905,Normal stage
208,57798.02,17.301630747904515,Normal stage
209,56802.61,17.60482484871734,Normal stage
210,56693.81,17.638609929373242,Normal stage
211,56048.39,17.841725694529316,Normal stage
212,62477.87,16.005667286672864,Normal stage
213,65553.51,15.254713286901039,Normal stage
214,61341.46,16.302187786205284,Normal stage
215,59055.65,16.933180821818066,Normal stage
216,57910.45,17.268040569534516,Normal stage
217,58823.53,16.999999830000004,Normal stage
218,56693.81,17.638609929373242,Normal stage
219,58592.96,17.066896773946905,Normal stage
220,58478.26,17.10037200149252,Normal stage
221,57021.27,17.537315461405893,Normal stage
222,54691.95,18.28422647208593,Normal stage
223,52710.57,18.97152696318784,Normal stage
224,54589.91,18.31840352915035,Normal stage
225,53984.37,18.523880152718277,Normal stage
226,53194.45,18.79895365023983,Normal stage
227,52234.04,19.14460378710894,Normal stage
228,52423.78,19.075312768365805,Normal stage
229,50576.93,19.771860411456366,Normal stage
230,51578.95,19.38775411286969,Normal stage
231,50309.28,19.877048528621362,Normal stage
232,50937.5,19.631901840490798,Normal stage
233,49606.98,20.15845350795392,Normal stage
234,52045.45,19.2139754772031,Normal stage
235,51486.49,19.42257085305291,Normal stage
236,50666.67,19.73684080678679,Normal stage
237,52328.77,19.109946593432255,Normal stage
238,52139.61,19.179276561523952,Normal stage
239,52045.45,19.2139754772031,Normal stage
240,52045.45,19.2139754772031,Normal stage
241,55625,17.977528089887638,Normal stage
242,55942.03,17.875647344224014,Normal stage
243,63518.85,15.743358074020547,Normal stage
244,63916.97,15.64529732870629,Normal stage
245,63125,15.841584158415843,Normal stage
246,59289.34,16.866438385045274,Normal stage
247,57685.95,17.335243677186558,Normal stage
248,55625,17.977528089887638,Normal stage
249,55520,18.011527377521613,Normal stage
250,52328.77,19.109946593432255,Normal stage
251,53097.07,18.83343092189456,Normal stage
252,51578.95,19.38775411286969,Normal stage
253,51210.76,19.52714624817128,Normal stage
254,51858,19.283427822129664,Normal stage
255,50398.23,19.841966672242258,Normal stage
256,51028.31,19.596964900464076,Normal stage
257,50666.67,19.73684080678679,Normal stage
258,51764.71,19.318180281508386,Normal stage
259,51764.71,19.318180281508386,Normal stage
260,50043.99,19.982419467352624,Stress
261,61716.29,16.203177475509303,Stress
262,73062.88,13.686840704883245,Stress
263,58939.39,16.966582110876953,Stress
264,71573.7,13.971612477767671,Stress
265,67556.82,14.802354521719641,Stress
266,62994.65,15.874363934080115,Stress
267,70136.98,14.257813780975457,Stress
268,70610.23,14.162253826393146,Stress
269,74086.25,13.497781302198451,Stress
270,73742.34,13.560730511128343,Stress
271,72727.27,13.750000515625018,Stress
272,72560.48,13.781606736890385,Stress
273,79410.48,12.592796316052995,Stress
274,85901.64,11.641221285181516,Stress
275,84137.94,11.88524463517885,Stress
276,91865.67,10.885459170983024,Stress
277,91111.11,10.975609889946462,Stress
278,86352.94,11.580381629160513,Stress
279,93409.09,10.705596211246679,Stress
280,97198.95,10.288176981335704,Stress
281,100975.61,9.903381618590865,Stress
282,93670.88,10.675676368151981,Stress
283,99200,10.080645161290322,Stress
284,104385.47,9.579877352662205,Stress
285,102191.78,9.78552286690769,Stress
286,111875,8.93854748603352,Stress
287,112238.8,8.909574941998667,Stress
288,114468.09,8.736059106079258,Stress
289,117968.75,8.476821192052979,Stress
290,111875,8.93854748603352,Stress
291,110796.46,9.025559119849136,Stress
292,114847.56,8.70719412758965,Stress
293,111875,8.93854748603352,Stress
294,111875,8.93854748603352,Stress
295,113343.37,8.822748079574483,Stress
296,118369.91,8.448092931725638,Stress
297,116000,8.620689655172415,Stress
298,108695.65,9.200000184000006,Stress
299,111153.85,8.996539481088599,Stress
300,107672.41,9.287430271134452,Stress
301,106666.67,9.37499970703126,Stress
302,101277.17,9.873893593195781,Stress
303,105677.97,9.46271015614702,Stress
304,100975.61,9.903381618590865,Stress
305,98333.33,10.169491870152266,Stress
306,90862.06,11.005693685571295,Stress
307,89635.04,11.156351355452065,Stress
308,84572.74,11.824140970246441,Stress
309,79021.74,12.65474539031917,Stress
310,77687.37,12.872105208349826,Stress
311,77687.37,12.872105208349826,Stress
312,84791.67,11.793611329980882,Stress
313,91111.11,10.975609889946462,Stress
314,88913.04,11.246944205259432,Stress
315,83707.09,11.946419353486068,Stress
316,81406.25,12.284069097888676,Stress
317,85232.55,11.732606850317161,Stress
318,83922.02,11.915823761153508,Stress
319,82647.05,12.099645419890969,Stress
