df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,ppg_med
4.630,570
4.655,655
4.680,790
4.705,863
4.730,834
4.755,804
4.780,882
4.805,1025
4.830,1080
4.855,992
4.880,898
4.905,947
4.930,1079
4.955,1087
4.980,898
5.005,698
5.030,687
5.055,786
5.080,714
5.105,378
5.130,26
5.155,-73
5.180,-28
5.205,-206
5.230,-729
5.255,-1268
5.280,-1472
5.305,-1480
5.330,-1771
5.355,-2500
5.380,-3238
5.405,-3531
5.430,-3559
5.455,-3934
5.480,-4853
5.505,-5762
5.530,-6086
5.555,-6052
5.580,-6436
5.605,-7483
5.630,-8493
5.655,-8739
5.680,-8508
5.705,-8776
5.730,-9846
5.755,-10841
5.780,-10850
5.805,-10236
5.830,-10217
5.855,-11172
5.880,-12006
5.905,-11584
5.930,-10361
5.955,-9857
5.980,-10548
6.005,-11069
6.030,-10007
6.055,-7929
6.080,-6740
6.105,-7041
6.130,-7129
6.155,-5227
6.180,-2048
6.205,1
6.230,145
6.255,538
6.280,3444
6.305,7964
6.330,11000
6.355,11522
6.380,12308
6.405,16339
6.430,22460
6.455,26549
6.480,27164
6.505,28034
6.530,32767
6.555,32767
6.580,32767
6.605,32767
6.630,32767
6.655,32767
6.680,32767
6.705,32767
6.730,32767
6.755,32767
6.780,32767
6.805,32767
6.830,32767
6.855,32767
6.880,15189
6.905,-32768
6.930,-32768
6.955,-32768
6.980,-32768
7.005,-32768
7.030,-32768
7.055,-32768
7.080,-32768
7.105,-32768
7.130,-32768
7.155,-32768
7.180,-32768
7.205,-32768
7.230,-32768
7.255,-29189
7.280,-26766
7.305,-26622
7.330,-23998
7.355,-18175
7.380,-12908
7.405,-11040
7.430,-10910
7.455,-9004
7.480,-4734
7.505,-900
7.530,317
7.555,153
7.580,1303
7.605,4248
7.630,6832
7.655,7360
7.680,6795
7.705,7252
7.730,9112
7.755,10678
7.780,10637
7.805,9798
7.830,9879
7.855,11157
7.880,12210
7.905,11912
7.930,10881
7.955,10517
7.980,11094
8.005,11506
8.030,10858
8.055,9642
8.080,8981
8.105,9108
8.130,9149
8.155,8386
8.180,7198
8.205,6469
8.230,6379
8.255,6234
8.280,5469
8.305,4392
8.330,3708
8.355,3555
8.380,3378
8.405,2718
8.430,1819
8.455,1262
8.480,1201
8.505,1228
8.530,971
8.555,551
8.580,339
8.605,412
8.630,469
8.655,267
8.680,-60
8.705,-226
8.730,-180
8.755,-151
8.780,-305
8.805,-531
8.830,-613
8.855,-533
8.880,-479
8.905,-578
8.930,-735
8.955,-787
8.980,-722
9.005,-678
9.030,-744
9.055,-847
9.080,-873
9.105,-827
9.130,-814
9.155,-869
9.180,-884
9.205,-741
9.230,-462
9.255,-197
9.280,-51
9.305,21
9.330,129
9.355,299
9.380,446
9.405,493
9.430,473
9.455,464
9.480,457
9.505,459
9.530,445
9.555,409
9.580,364
9.605,324
9.630,280
9.655,221
9.680,153
9.705,92
9.730,42
9.755,-18
9.780,-106
9.805,-196
9.830,-230
9.855,-165
9.880,-18
9.905,144
9.930,264
9.955,335
9.980,385
10.005,432
10.030,467
10.055,471
10.080,449
10.105,424
10.130,411
10.155,405
10.180,390
10.205,360
10.230,322
10.255,279
10.280,228
10.305,167
10.330,105
10.355,47
10.380,-14
10.405,-96
10.430,-183
10.455,-228
10.480,-184
10.505,-54
10.530,107
10.555,236
10.580,314
10.605,366
10.630,420
10.655,469
10.680,488
10.705,469
10.730,435
10.755,414
10.780,411
10.805,407
10.830,383
10.855,343
10.880,297
10.905,250
10.930,197
10.955,137
10.980,78
11.005,18
11.030,-56
11.055,-145
11.080,-219
11.105,-222
11.130,-128
11.155,33
11.180,192
11.205,300
11.230,363
11.255,418
11.280,483
11.305,537
11.330,550
11.355,522
11.380,485
11.405,464
11.430,457
11.455,439
11.480,401
11.505,350
11.530,300
11.555,246
11.580,181
11.605,108
11.630,41
11.655,-16
11.680,-82
11.705,-169
11.730,-259
11.755,-298
11.780,-242
11.805,-99
11.830,71
11.855,207
11.880,291
11.905,351
11.930,418
11.955,489
11.980,532
12.005,532
12.030,503
12.055,479
12.080,474
12.105,475
12.130,458
12.155,417
12.180,366
12.205,320
12.230,275
12.255,219
12.280,150
12.305,82
12.330,25
12.355,-25
12.380,-91
12.405,-179
12.430,-257
12.455,-272
12.480,-192
12.505,-35
12.530,141
12.555,283
12.580,375
12.605,441
12.630,505
12.655,566
12.680,603
12.705,601
12.730,571
12.755,541
12.780,525
12.805,516
12.830,494
12.855,450
12.880,393
12.905,336
12.930,282
12.955,220
12.980,144
13.005,61
13.030,-9
13.055,-65
13.080,-122
13.105,-201
13.130,-298
13.155,-370
13.180,-362
13.205,-252
13.230,-74
13.255,107
13.280,245
13.305,337
13.330,412
13.355,486
13.380,547
13.405,571
13.430,554
13.455,522
13.480,503
13.505,499
13.530,486
13.555,444
13.580,380
13.605,315
13.630,259
13.655,200
13.680,127
13.705,49
13.730,-15
13.755,-63
13.780,-117
13.805,-196
13.830,-278
13.855,-304
13.880,-230
13.905,-71
13.930,103
13.955,231
