df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,spo2
25.263,91
25.941,91
26.624,91
27.306,91
28.038,91
28.768,91
30.232,91
30.819,91
31.502,91
32.226,91
35.690,91
36.373,91
37.056,91
37.887,91
38.469,90
39.152,90
43.344,91
44.027,91
46.123,91
46.902,91
47.488,91
48.171,91
48.902,90
49.584,90
50.266,90
50.950,90
51.777,90
52.509,90
53.191,90
53.728,90
54.459,90
54.995,90
55.723,91
56.406,91
57.092,91
58.066,91
58.749,91
59.432,91
60.261,91
60.943,91
61.720,91
62.402,91
63.039,92
63.722,92
64.455,92
64.989,92
65.722,92
66.404,92
67.183,92
67.768,92
68.645,92
69.182,92
69.910,92
70.739,92
71.383,92
72.065,92
72.792,92
73.520,92
74.155,92
74.983,92
75.711,92
78.347,92
78.883,92
80.980,92
81.708,92
82.345,92
83.076,92
83.758,92
84.443,92
85.133,91
87.075,91
87.758,91
88.488,91
89.329,91
89.999,91
90.681,91
91.412,91
92.101,91
92.923,91
93.505,91
94.191,91
95.115,91
95.556,91
96.385,91
97.117,91
97.806,91
98.630,91
99.358,91
100.102,91
100.724,91
101.451,91
102.090,91
102.820,91
103.503,91
104.428,91
105.014,91
105.696,91
106.526,91
107.257,91
108.089,91
108.768,91
109.353,91
110.188,91
110.733,91
111.400,91
111.985,91
112.862,91
113.496,91
114.226,91
115.057,91
115.739,91
116.613,92
117.250,92
118.127,92
118.810,92
119.493,92
120.226,92
120.861,92
121.590,92
122.307,92
122.956,92
123.830,92
124.519,92
125.199,92
125.881,92
126.607,92
127.442,92
128.122,92
128.813,92
129.646,92
130.360,92
131.192,92
131.729,92
132.412,92
134.699,92
135.489,92
136.896,92
138.999,92
145.233,92
145.915,91
146.646,91
147.377,91
148.011,91
148.842,91
149.379,91
150.206,91
150.981,92
151.619,92
152.302,91
153.030,91
153.715,91
154.544,91
155.229,91
156.057,91
156.738,91
157.514,91
158.155,91
159.614,91
163.027,91
163.757,91
164.391,91
165.122,91
166.048,91
166.634,92
167.170,92
167.951,91
168.587,91
170.001,91
170.680,91
171.363,91
172.062,91
172.773,92
173.460,92
174.142,92
174.824,92
175.556,92
176.237,92
177.115,92
177.749,92
178.433,92
179.163,92
179.997,92
180.725,92
181.357,92
182.091,92
182.890,92
183.453,92
184.135,92
184.869,92
185.555,92
186.085,92
186.817,92
187.500,92
188.183,92
188.866,92
189.595,92
190.280,92
190.962,92
191.694,92
192.471,92
193.056,92
193.885,92
194.568,92
195.276,92
195.936,92
196.723,92
197.379,92
197.933,92
198.761,92
199.297,92
200.126,91
200.712,92
201.393,92
202.081,92
203.196,92
203.489,92
204.235,92
204.855,91
205.539,91
206.227,91
206.810,92
207.632,91
208.172,91
208.903,92
209.599,92
210.506,92
210.851,92
211.630,92
214.703,91
215.434,92
216.162,92
216.846,92
217.483,92
218.211,92
218.748,92
219.623,92
220.161,92
220.992,92
221.528,92
222.407,92
222.942,92
223.625,92
224.308,92
224.990,92
225.963,92
226.450,92
227.084,92
227.799,92
228.497,92
229.181,92
229.863,92
230.545,92
231.228,92
231.813,92
233.180,92
233.957,92
234.592,92
235.275,92
235.957,92
239.177,92
250.680,92
251.411,91
262.672,92
263.209,92
264.540,91
268.473,92
271.691,92
272.374,92
276.667,92
277.346,92
277.932,92
278.640,92
281.394,92
282.123,92
282.660,92
285.048,92
287.398,92
288.071,92
294.900,92
297.091,92
297.577,92
298.894,93
299.626,93
300.310,92
300.993,93
304.451,93
306.160,93
308.112,92
320.053,92
320.734,93
321.273,93
322.010,93
322.684,93
323.512,93
324.195,93
324.828,93
325.463,94
326.147,94
326.828,94
327.412,94
330.191,94
331.315,94
333.360,94
334.774,94
336.726,94
337.406,94
337.943,94
338.772,94
338.942,94
341.406,94
351.641,94
352.180,94
352.860,94
353.543,94
353.787,94
356.711,93
361.879,93
362.610,93
363.244,92
366.217,92
366.852,92
370.902,92
374.115,92
374.652,92
385.026,92
412.044,92
413.263,93
418.820,92
419.943,92
423.548,92
424.674,92
425.352,92
426.036,92
427.303,92
428.033,92
430.374,92
431.060,93
432.331,93
433.689,93
434.906,93
435.830,93
436.467,93
437.040,93
441.342,93
442.173,93
442.707,93
443.581,93
444.124,94
444.851,94
446.314,94
446.655,94
447.290,94
448.800,94
449.387,95
450.218,95
450.899,95
451.631,96
452.264,96
454.360,96
455.043,96
458.597,96
459.244,95
460.647,95
461.869,95
462.599,96
463.232,95
464.645,95
465.473,95
466.225,95
466.839,95
467.571,95
468.398,95
469.147,95
469.763,95
470.446,95
471.190,95
471.860,95
472.544,95
473.373,95
474.103,95
474.786,95
483.219,95
489.422,95
495.456,95
496.196,95
