df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,omega
35.663,0.589
38.680,0.544
40.340,0.503
43.702,0.525
45.994,0.503
54.621,0.494
55.355,0.489
56.135,0.496
56.867,0.503
57.603,0.506
57.992,0.506
59.793,0.506
63.548,0.506
64.575,0.506
65.155,0.499
65.995,0.499
66.680,0.493
68.274,0.493
70.712,0.503
71.208,0.511
71.440,0.514
82.948,0.518
88.699,0.521
95.234,0.521
102.692,0.529
107.141,0.536
124.927,0.545
133.600,0.545
137.208,0.569
137.651,0.598
145.982,0.598
146.712,0.598
156.317,0.626
156.371,0.598
159.538,0.616
159.645,0.630
186.736,0.630
190.345,0.630
191.175,0.630
193.414,0.630
199.367,0.630
199.419,0.620
219.304,0.620
223.209,0.620
230.711,0.620
232.132,0.630
252.938,0.620
259.528,0.620
277.682,0.541
279.458,0.535
282.388,0.515
284.540,0.511
285.360,0.511
286.091,0.505
286.874,0.504
305.350,0.496
320.756,0.504
327.625,0.504
329.042,0.510
329.689,0.510
330.354,0.510
333.526,0.510
336.743,0.505
343.861,0.510
344.683,0.529
345.518,0.536
346.301,0.549
352.978,0.555
357.899,0.557
362.142,0.558
379.847,0.567
392.564,0.579
393.881,0.579
396.465,0.579
406.021,0.587
410.356,0.587
