df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,battery
10.243,52
20.288,52
30.280,52
40.273,52
50.267,52
60.261,52
70.328,52
80.248,52
90.267,52
100.237,52
110.327,52
120.295,52
130.268,52
140.260,52
150.253,52
160.281,52
170.241,52
180.238,52
190.253,52
200.227,52
210.216,52
220.210,52
230.253,52
240.247,52
250.246,52
260.234,52
270.228,51
280.319,51
290.313,51
300.235,51
310.206,51
320.245,51
330.239,51
340.241,51
350.226,51
360.241,51
370.265,51
380.210,51
390.202,51
400.196,51
410.286,51
420.232,51
430.226,51
440.248,51
450.218,51
460.207,51
470.249,51
480.201,51
490.229,51
