df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,ppg_quality
57.530,78
58.540,79
60.560,80
61.570,75
62.580,75
64.600,82
66.620,83
68.630,90
71.660,103
73.680,81
74.690,76
75.700,71
76.710,65
78.730,46
79.740,43
82.770,44
84.790,74
86.810,80
88.830,90
89.840,89
90.850,81
91.860,78
92.870,73
93.880,69
95.900,68
97.920,73
99.940,75
101.960,77
102.970,77
104.990,73
107.010,73
109.030,62
111.050,60
112.060,63
113.070,64
116.100,66
118.120,62
120.140,70
122.160,76
124.180,87
125.190,92
126.200,99
127.210,106
129.230,115
131.250,118
133.270,113
135.290,111
137.310,110
138.320,108
140.340,105
141.350,103
142.360,103
144.380,97
146.400,94
148.420,96
151.450,93
152.460,94
153.470,95
154.480,95
155.490,94
156.500,95
157.510,95
158.520,95
159.530,98
160.540,100
162.560,100
164.580,100
166.600,101
167.610,99
169.630,100
170.640,100
172.660,107
173.670,110
175.690,113
177.710,115
178.720,116
179.730,115
181.750,113
182.760,111
183.770,111
184.780,108
186.800,108
188.820,111
190.840,109
191.850,108
192.860,107
193.870,106
195.890,105
197.910,102
199.930,100
200.940,98
201.950,99
202.960,98
203.970,99
204.980,98
207.000,98
209.020,88
211.040,89
213.060,90
214.070,88
215.080,88
217.100,87
218.110,90
220.130,89
222.150,78
224.170,75
226.190,70
228.210,54
229.220,54
231.240,67
233.260,75
235.280,81
236.290,90
237.300,98
240.330,109
242.350,109
244.370,109
245.380,103
247.400,99
248.410,98
249.420,99
251.440,91
253.460,60
255.480,51
257.500,52
259.520,34
260.530,29
262.550,35
264.570,47
266.590,41
269.620,47
270.630,45
271.640,47
273.660,58
275.680,38
276.690,23
277.700,21
279.720,23
281.740,28
284.770,27
285.780,38
286.790,46
288.810,45
289.820,43
290.830,51
292.850,48
293.860,42
294.870,38
295.880,31
296.890,27
297.900,26
299.920,31
300.930,24
301.940,15
302.950,20
303.960,21
304.970,30
305.980,36
306.990,50
309.010,50
311.030,53
313.050,64
315.070,54
316.080,54
318.100,54
320.120,45
322.140,28
324.160,27
326.180,37
327.190,42
328.200,50
329.210,56
331.230,55
333.250,43
335.270,51
336.280,54
337.290,53
339.310,51
340.320,52
342.340,73
344.360,91
346.380,83
347.390,70
349.410,59
350.420,58
351.430,62
353.450,73
355.470,56
357.490,54
358.500,52
360.520,45
361.530,39
362.540,32
364.560,22
366.580,20
367.590,16
368.600,23
369.610,28
370.620,32
371.630,35
372.640,41
375.670,64
377.690,85
378.700,83
379.710,85
381.730,87
383.750,66
386.770,74
388.790,68
390.810,57
391.820,61
392.830,71
394.850,72
396.870,56
397.880,57
399.900,69
400.910,67
401.920,71
402.930,70
403.940,64
405.960,66
406.970,76
408.990,75
411.010,66
413.030,55
415.050,40
417.070,32
418.080,26
419.090,25
420.100,25
421.110,27
422.120,2
432.220,15
433.230,27
435.250,48
437.270,40
439.290,56
440.300,60
442.320,67
443.330,72
444.340,74
446.360,82
448.380,85
450.400,83
451.410,83
453.430,78
454.440,69
457.470,40
459.490,43
460.500,45
461.510,50
463.530,65
465.550,88
468.580,83
469.590,80
470.600,75
472.620,69
474.640,66
475.650,69
476.660,84
479.690,86
481.710,100
482.720,104
483.730,99
485.750,95
487.770,100
488.780,100
490.800,104
492.820,77
