df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,quality
14.592,54
15.462,58
16.690,64
17.653,62
18.436,65
19.657,72
20.534,69
21.706,71
22.631,64
23.510,63
24.675,62
25.603,62
26.480,62
27.456,54
28.584,58
29.482,62
30.380,68
31.599,73
32.428,68
33.358,70
34.524,71
35.401,65
36.328,61
37.548,63
38.423,71
39.302,66
40.716,66
41.402,68
42.393,64
43.455,69
44.468,67
45.249,64
46.717,64
47.345,64
48.247,63
49.443,61
50.319,62
51.196,58
52.561,52
53.338,58
54.170,57
55.390,57
56.314,52
57.336,58
58.505,66
59.240,66
60.167,70
61.434,64
62.213,68
63.237,58
64.310,62
65.242,64
66.114,68
67.384,72
68.210,64
69.114,64
70.357,68
71.330,63
72.158,63
73.280,75
74.216,27
75.035,33
76.254,28
77.136,26
78.256,27
79.228,44
80.106,42
80.984,54
82.201,63
83.078,66
84.005,61
85.175,60
86.097,56
86.980,50
88.149,55
89.026,55
90.098,54
91.124,54
92.052,60
92.926,67
94.341,74
95.217,71
95.946,72
97.360,68
98.010,70
98.875,67
100.093,65
100.972,61
101.865,61
103.310,70
103.945,68
105.137,63
106.183,51
106.963,43
107.844,40
109.014,38
109.892,40
110.818,43
111.990,57
113.015,72
113.791,72
114.965,70
115.841,68
116.765,71
117.935,67
118.861,52
119.738,48
120.909,67
121.835,65
122.714,47
123.928,50
124.809,59
125.979,70
127.197,72
127.928,69
128.660,72
129.881,70
130.756,71
131.660,73
132.898,71
133.774,71
134.630,68
135.835,74
136.803,74
137.583,74
138.898,68
139.678,72
140.606,72
141.776,64
142.749,65
143.723,65
144.748,72
145.625,70
146.553,66
147.770,71
148.742,70
149.526,64
150.718,72
151.622,68
152.525,71
154.010,74
154.741,69
155.767,66
156.701,63
157.569,63
158.739,53
159.668,55
160.546,58
161.424,68
162.651,63
163.817,70
164.396,69
165.613,70
166.491,65
167.660,67
168.635,65
169.517,67
170.390,66
171.560,66
172.441,65
173.510,67
174.535,66
175.460,65
176.338,66
177.654,67
178.436,70
179.315,69
180.871,71
181.408,73
182.286,69
183.647,66
184.476,62
185.259,71
186.478,70
187.403,71
188.261,70
189.452,70
190.570,72
191.350,78
192.427,77
193.306,72
194.231,75
195.399,73
196.328,73
197.155,76
198.522,75
199.251,69
200.222,70
201.447,64
202.224,54
203.248,39
204.320,60
205.200,54
206.172,45
207.294,45
208.220,47
209.342,48
210.268,52
211.288,60
212.076,47
213.241,49
214.168,60
215.091,67
216.215,67
217.334,63
218.020,66
219.242,45
220.117,52
220.995,58
222.215,59
223.114,39
223.969,46
225.234,53
226.063,67
226.940,66
228.165,55
229.038,31
229.929,33
231.133,39
232.011,49
232.938,44
234.351,46
234.985,44
235.931,47
237.083,58
237.958,67
238.889,68
240.056,70
241.029,72
241.858,75
243.028,69
243.960,59
244.926,57
246.002,58
247.223,55
247.806,53
248.977,58
249.904,61
250.791,50
251.998,44
252.880,45
253.801,27
254.982,28
255.851,32
256.727,28
257.991,36
258.823,2
259.703,2
260.920,2
261.797,8
262.720,2
263.893,13
264.917,1
265.698,29
266.869,0
267.888,0
268.963,0
269.935,0
270.766,10
271.885,32
272.814,5
274.010,0
274.664,0
275.788,0
276.666,25
277.786,30
278.762,40
279.688,72
280.565,56
282.177,53
282.662,37
283.544,0
285.099,0
285.681,26
286.554,0
287.683,22
288.706,44
289.487,26
290.949,37
291.583,29
292.603,38
293.679,41
294.557,49
295.434,54
296.750,45
297.531,27
298.700,41
299.627,46
300.544,40
301.384,38
302.601,44
303.600,52
304.405,49
305.575,44
306.452,52
307.378,43
308.549,43
309.426,43
310.449,51
311.533,63
312.405,64
313.326,61
314.836,46
315.424,34
316.345,0
317.764,0
318.396,5
319.322,15
320.443,0
321.395,47
322.271,48
323.466,43
324.391,64
325.222,68
326.440,75
327.365,75
328.196,72
329.413,39
330.291,37
331.168,37
332.484,28
333.265,0
334.288,48
335.361,56
336.334,64
337.123,64
338.726,76
339.212,70
340.236,52
341.311,48
342.188,39
343.113,39
344.286,32
345.257,38
346.086,40
347.257,32
348.133,48
349.309,48
350.324,57
351.158,52
352.225,53
353.205,53
354.130,0
355.007,0
356.179,0
357.105,1
358.175,2
359.201,0
360.123,29
360.954,27
362.175,40
363.053,34
363.932,41
365.346,39
366.024,0
366.905,36
368.121,44
369.000,37
369.925,48
371.336,55
371.972,51
372.900,59
374.077,57
374.995,64
375.922,63
377.042,68
377.964,64
378.846,69
380.162,64
380.894,58
381.820,56
382.991,42
383.960,27
384.794,28
386.037,36
386.892,0
387.770,0
388.939,0
389.863,3
390.740,39
391.911,66
393.079,42
393.765,35
394.935,40
395.814,38
396.717,31
397.908,24
398.787,33
399.854,33
400.883,29
401.760,37
402.928,50
403.854,41
404.756,55
405.610,76
406.971,60
407.998,60
408.633,55
409.896,53
411.020,51
411.606,48
412.829,48
413.702,35
414.580,29
415.995,0
416.822,30
417.584,21
418.723,25
419.696,23
420.719,22
422.150,0
422.626,0
423.845,0
424.673,0
425.600,2
426.476,0
427.693,32
428.571,27
