df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.021,207722,182,206349
5.026,207671,181,206314
5.031,207620,184,206272
5.036,207537,183,206236
5.041,207469,185,206189
5.046,207377,183,206160
5.051,207307,179,206109
5.056,207242,177,206081
5.061,207177,183,206044
5.066,207104,183,205984
5.071,207034,178,205939
5.076,206971,177,205912
5.081,206915,180,205879
5.086,206857,178,205856
5.091,206798,180,205830
5.096,206749,179,205788
5.101,206681,182,205765
5.106,206619,180,205746
5.111,206577,179,205711
5.116,206522,177,205678
5.121,206497,179,205653
5.126,206440,179,205631
5.131,206396,181,205613
5.136,206352,181,205579
5.141,206323,184,205546
5.146,206271,184,205508
5.151,206204,179,205490
5.155,206161,178,205479
5.160,206107,182,205444
5.165,206075,182,205427
5.170,206054,184,205402
5.175,205984,177,205374
5.180,205965,179,205368
5.185,205934,180,205330
5.190,205897,182,205329
5.195,205894,182,205331
5.200,205873,184,205305
5.205,205861,178,205309
5.210,205849,182,205316
5.215,205843,182,205308
5.220,205865,184,205293
5.225,205856,177,205294
5.230,205869,179,205303
5.235,205905,179,205310
5.240,205906,180,205310
5.245,205913,181,205336
5.250,205927,182,205332
5.255,205931,178,205337
5.260,205939,183,205342
5.265,205919,183,205358
5.270,205938,184,205343
5.275,205954,178,205346
5.280,205953,179,205372
5.285,205966,179,205357
5.290,205979,181,205360
5.294,205987,181,205373
5.299,205999,183,205367
5.304,205988,178,205382
5.309,205991,179,205375
5.314,205975,179,205366
5.319,205982,181,205368
5.324,205983,182,205355
5.329,205990,182,205354
5.334,205971,182,205351
5.339,205967,184,205341
5.344,205983,184,205343
5.349,205978,184,205360
5.354,205972,180,205349
5.359,205986,180,205357
5.364,206004,181,205338
5.369,205992,182,205360
5.374,205997,182,205361
5.379,205987,182,205349
5.384,206012,182,205372
5.389,206022,183,205376
5.394,206018,183,205374
5.399,206025,181,205375
5.404,206069,180,205388
5.409,206083,182,205392
5.414,206091,182,205418
5.419,206111,182,205435
5.424,206129,183,205421
5.429,206139,184,205438
5.433,206182,179,205443
5.438,206179,179,205454
5.443,206204,180,205441
5.448,206218,181,205465
5.453,206240,185,205464
5.458,206248,177,205461
5.463,206262,179,205453
5.468,206284,179,205477
5.473,206318,180,205493
5.478,206320,180,205483
5.483,206329,181,205488
5.488,206340,181,205508
5.493,206376,183,205527
5.498,206394,179,205539
5.503,206397,183,205547
5.508,206407,183,205542
5.513,206426,178,205555
5.518,206433,178,205565
5.523,206467,180,205569
5.528,206484,179,205573
5.533,206476,181,205587
5.538,206510,181,205585
5.543,206518,183,205577
5.548,206521,178,205590
5.553,206537,180,205596
5.558,206560,179,205612
5.563,206576,182,205614
5.568,206602,182,205648
5.572,206648,185,205652
5.577,206677,178,205676
5.582,206691,180,205686
5.587,206694,179,205688
5.592,206698,181,205677
5.597,206662,183,205655
5.602,206642,185,205626
5.607,206619,183,205599
5.612,206551,179,205578
5.617,206476,177,205558
5.622,206419,179,205500
5.627,206361,178,205475
5.632,206276,180,205420
5.637,206205,179,205393
5.642,206131,182,205342
5.647,206065,183,205309
5.652,205990,179,205262
5.657,205953,177,205242
5.662,205885,179,205207
5.667,205856,178,205172
5.672,205808,181,205161
5.677,205758,180,205135
5.682,205722,182,205102
5.687,205675,181,205074
5.692,205644,184,205063
5.697,205595,179,205023
5.702,205556,181,204992
5.707,205487,179,204995
5.711,205472,181,204963
5.716,205427,181,204935
5.721,205391,184,204897
5.726,205324,177,204882
5.731,205291,179,204855
5.736,205236,178,204821
5.741,205191,181,204819
5.746,205155,176,204804
5.751,205102,180,204760
5.756,205078,179,204744
5.761,205038,183,204719
5.766,205013,182,204706
5.771,204988,179,204683
5.776,204977,178,204687
5.781,204933,181,204670
5.786,204928,180,204646
5.791,204920,179,204655
5.796,204906,178,204647
5.801,204910,182,204661
5.806,204902,181,204652
5.811,204914,184,204648
5.816,204914,177,204670
5.821,204937,179,204657
5.826,204945,178,204647
5.831,204938,181,204660
5.836,204930,180,204657
5.841,204959,179,204661
5.846,204939,177,204662
5.850,204954,180,204663
5.855,204952,178,204639
5.860,204960,182,204645
5.865,204955,180,204656
5.870,204955,183,204650
5.875,204946,181,204647
5.880,204961,185,204636
5.885,204948,177,204673
5.890,204959,185,204639
5.895,204962,179,204647
5.900,204960,183,204659
5.905,204945,181,204654
5.910,204956,183,204633
5.915,204950,182,204646
5.920,204952,179,204644
5.925,204967,178,204656
5.930,204968,181,204655
5.935,204952,180,204647
5.940,204977,179,204645
5.945,204979,177,204645
5.950,204991,179,204674
5.955,205000,178,204671
5.960,205018,180,204673
5.965,205033,179,204694
5.970,205034,181,204695
5.975,205061,179,204693
5.980,205074,181,204704
5.985,205070,183,204710
5.989,205098,185,204711
5.994,205108,183,204714
5.999,205090,178,204724
6.004,205132,177,204723
6.009,205138,180,204721
6.014,205148,178,204744
6.019,205166,181,204740
6.024,205193,179,204755
6.029,205201,182,204782
6.034,205216,183,204780
6.039,205235,179,204777
6.044,205229,178,204784
6.049,205244,180,204782
6.054,205285,178,204801
6.059,205302,180,204815
6.064,205312,178,204815
6.069,205325,181,204834
6.074,205343,180,204843
6.079,205360,182,204831
6.084,205389,177,204860
6.089,205400,179,204843
6.094,205407,178,204864
6.099,205431,180,204869
6.104,205455,179,204876
6.109,205462,181,204902
6.114,205500,180,204900
6.119,205497,182,204924
6.123,205555,180,204941
6.128,205547,183,204962
6.133,205566,178,204957
6.138,205594,180,204973
6.143,205609,178,204969
6.148,205647,181,204989
6.153,205655,180,204994
6.158,205673,182,204999
6.163,205698,181,205009
6.168,205714,183,205032
6.173,205762,183,205047
6.178,205782,179,205057
6.183,205822,177,205092
6.188,205854,179,205090
6.193,205873,179,205121
6.198,205875,181,205120
6.203,205874,180,205124
6.208,205852,182,205098
6.213,205804,181,205079
6.218,205776,183,205060
6.223,205690,183,205018
6.228,205642,180,205043
6.233,205567,179,204960
6.238,205482,181,204908
6.243,205401,180,204896
6.248,205333,182,204833
6.253,205285,182,204799
6.258,205213,183,204758
6.262,205149,182,204724
6.267,205083,184,204708
6.272,205018,183,204654
6.277,204931,180,204626
6.282,204906,180,204590
6.287,204836,181,204575
6.292,204784,182,204529
6.297,204741,182,204512
6.302,204679,182,204489
6.307,204630,183,204464
6.312,204591,183,204437
6.317,204550,184,204417
6.322,204504,178,204393
6.327,204470,180,204367
6.332,204427,180,204343
6.337,204398,181,204332
6.342,204375,181,204319
6.347,204316,182,204307
6.352,204295,182,204276
6.357,204266,182,204236
6.362,204204,182,204207
6.367,204171,182,204190
6.372,204148,183,204167
6.377,204094,178,204151
6.382,204056,178,204127
6.387,204040,178,204095
6.392,203994,178,204093
6.397,203982,178,204083
6.401,203962,179,204070
6.406,203951,179,204059
6.411,203950,180,204073
6.416,203962,178,204064
6.421,203968,178,204065
6.426,203974,180,204081
6.431,203977,180,204083
6.436,204006,178,204094
6.441,204008,185,204090
6.446,204014,182,204106
6.451,204031,182,204088
6.456,204008,180,204088
6.461,204027,180,204097
6.466,204057,178,204095
6.471,204054,179,204105
6.476,204042,179,204112
6.481,204047,180,204106
6.486,204051,178,204107
6.491,204054,178,204108
6.496,204070,184,204118
6.501,204068,183,204118
6.506,204075,181,204126
6.511,204079,181,204126
6.516,204079,179,204111
6.521,204072,178,204128
6.526,204057,181,204104
6.531,204059,181,204109
6.536,204090,179,204139
6.540,204067,180,204123
6.545,204073,177,204094
6.550,204095,185,204129
6.555,204063,182,204133
6.560,204085,183,204114
6.565,204109,181,204125
6.570,204113,178,204136
6.575,204134,182,204135
6.580,204147,183,204150
6.585,204172,180,204158
6.590,204185,181,204177
6.595,204186,178,204184
6.600,204221,180,204197
6.605,204231,177,204205
6.610,204249,185,204219
6.615,204268,182,204207
6.620,204304,181,204233
6.625,204316,179,204233
6.630,204315,180,204246
6.635,204323,177,204260
6.640,204346,180,204270
6.645,204371,177,204264
6.650,204381,185,204282
6.655,204396,182,204287
6.660,204407,183,204300
6.665,204441,181,204305
6.670,204444,185,204313
6.675,204494,182,204333
6.679,204508,184,204345
6.684,204530,181,204354
6.689,204525,183,204355
6.694,204547,180,204381
6.699,204585,182,204403
6.704,204619,179,204406
6.709,204626,181,204413
6.714,204645,179,204417
6.719,204659,184,204429
6.724,204696,181,204439
6.729,204715,183,204444
6.734,204733,180,204447
6.739,204743,183,204454
6.744,204756,180,204458
6.749,204778,182,204488
6.754,204797,179,204485
6.759,204792,181,204488
6.764,204820,180,204521
6.769,204820,179,204514
6.774,204852,177,204519
6.779,204874,180,204536
6.784,204906,177,204532
6.789,204929,186,204567
6.794,204937,183,204560
6.799,204964,184,204592
6.804,204991,181,204599
6.809,205016,184,204598
6.814,205017,177,204605
6.818,205061,179,204642
6.823,205098,183,204681
6.828,205122,185,204670
6.833,205145,182,204684
6.838,205189,184,204717
6.843,205215,180,204728
6.848,205241,182,204751
6.853,205276,180,204734
6.858,205261,181,204766
6.863,205281,181,204780
6.868,205324,182,204776
6.873,205341,179,204788
6.878,205349,180,204785
6.883,205367,176,204793
6.888,205385,184,204811
6.893,205415,181,204826
6.898,205432,182,204830
6.903,205466,179,204844
6.908,205473,180,204830
6.913,205480,181,204857
6.918,205504,182,204857
6.923,205535,180,204867
6.928,205534,181,204897
6.933,205587,179,204897
6.938,205592,180,204918
6.943,205602,177,204910
6.948,205633,179,204918
6.953,205643,183,204922
6.957,205677,182,204947
6.962,205696,177,204963
6.967,205702,185,204964
6.972,205736,183,204974
6.977,205765,184,204980
6.982,205790,182,204992
6.987,205793,183,205003
6.992,205814,180,205005
6.997,205818,181,205025
7.002,205863,179,205024
7.007,205852,181,205040
7.012,205879,179,205023
7.017,205913,180,205054
7.022,205909,178,205070
7.027,205969,179,205060
7.032,205968,178,205079
7.037,206020,179,205109
7.042,206033,184,205103
7.047,206053,184,205123
7.052,206066,182,205138
7.057,206100,189,205138
7.062,206130,184,205171
7.067,206169,184,205192
7.072,206179,183,205202
7.077,206212,183,205203
7.082,206229,184,205232
7.087,206285,183,205253
7.092,206335,181,205276
7.096,206365,181,205294
7.101,206383,179,205299
7.106,206386,182,205303
7.111,206379,181,205307
7.116,206359,181,205286
7.121,206352,180,205270
7.126,206292,180,205254
7.131,206245,179,205206
7.136,206175,178,205177
7.141,206097,184,205117
7.146,205989,184,205067
7.151,205922,183,205004
7.156,205828,179,204968
7.161,205746,178,204950
7.166,205661,184,204893
7.171,205613,183,204839
7.176,205531,183,204827
7.181,205472,181,204777
7.186,205432,181,204755
7.191,205369,179,204709
7.196,205315,179,204675
7.201,205276,185,204634
7.206,205235,180,204631
7.211,205181,179,204596
7.216,205132,184,204589
7.221,205113,183,204557
7.226,205077,182,204526
7.231,205025,182,204512
7.235,205009,180,204489
7.240,204959,180,204452
7.245,204934,179,204435
7.250,204899,179,204394
7.255,204853,180,204380
7.260,204845,180,204367
7.265,204807,178,204322
7.270,204754,179,204318
7.275,204704,184,204296
