df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,temperature
5.128,35.469
6.103,35.469
7.127,35.500
8.152,35.531
9.148,35.500
10.150,35.469
11.124,35.500
12.148,35.531
13.126,35.594
14.147,35.656
15.368,35.688
16.146,35.688
17.121,35.719
18.144,35.719
19.119,35.719
20.143,35.781
21.118,35.812
22.142,35.812
23.156,35.812
24.144,35.781
25.116,35.781
26.139,35.781
27.115,35.781
28.138,35.781
29.156,35.812
30.332,35.844
31.114,35.844
32.136,35.844
33.125,35.875
34.135,35.875
35.163,35.875
36.135,35.906
37.108,35.938
38.132,35.938
39.107,35.938
40.179,35.906
41.253,35.938
42.130,35.938
43.104,35.938
44.128,35.906
45.103,35.906
46.227,35.906
47.297,35.938
48.126,35.938
49.149,36.062
50.157,36.094
51.148,36.125
52.223,36.094
53.100,36.125
54.122,36.156
55.171,36.188
56.124,36.219
57.144,36.188
58.120,36.188
59.143,36.125
60.270,36.125
61.151,36.125
62.117,36.125
63.153,36.188
64.116,36.219
65.140,36.219
66.361,36.188
67.138,36.250
68.113,36.250
69.137,36.281
70.112,36.281
71.135,36.312
72.116,36.344
73.135,36.281
74.214,36.281
75.140,36.281
76.108,36.312
77.163,36.312
78.107,36.375
79.153,36.344
80.113,36.375
81.130,36.375
82.106,36.375
83.329,36.375
84.103,36.406
85.127,36.406
86.120,36.438
87.226,36.406
88.254,36.375
89.130,36.375
90.100,36.406
91.131,36.406
92.098,36.406
93.123,36.406
94.106,36.406
95.121,36.375
96.096,36.375
97.120,36.406
98.243,36.406
99.133,36.406
100.093,36.375
101.131,36.375
102.143,36.406
103.121,36.375
104.092,36.375
105.133,36.406
106.142,36.438
107.123,36.469
108.142,36.438
109.114,36.469
110.140,36.500
111.111,36.500
112.135,36.531
113.304,36.594
114.156,36.625
115.157,36.656
116.132,36.688
117.107,36.688
118.131,36.719
119.137,36.719
120.135,36.688
121.109,36.719
122.129,36.688
123.128,36.656
124.127,36.656
125.102,36.625
126.126,36.594
127.110,36.594
128.178,36.594
129.100,36.625
130.321,36.594
131.099,36.594
132.145,36.594
133.097,36.594
134.121,36.625
135.096,36.625
136.120,36.625
137.095,36.594
138.118,36.625
139.100,36.625
140.163,36.625
141.436,36.656
142.140,36.656
143.097,36.656
144.115,36.625
145.287,36.625
146.114,36.656
147.090,36.688
148.112,36.688
149.236,36.688
150.111,36.719
151.086,36.688
152.110,36.688
153.087,36.719
154.110,36.750
155.379,36.688
156.107,36.656
157.136,36.656
158.106,36.625
159.278,36.625
160.110,36.625
161.129,36.656
162.104,36.656
163.132,36.656
164.103,36.688
165.126,36.719
166.103,36.750
167.150,36.781
168.100,36.781
169.123,36.781
170.293,36.812
171.127,36.781
172.344,36.812
173.121,36.812
174.096,36.844
175.220,36.875
176.095,36.844
177.119,36.844
178.094,36.875
179.117,36.875
180.093,36.875
181.116,36.906
182.091,36.844
183.119,36.875
184.164,36.844
185.113,36.812
186.261,36.844
187.112,36.875
188.088,36.844
189.111,36.844
190.130,36.844
191.158,36.844
192.398,36.875
193.109,36.875
194.132,36.875
195.110,36.875
196.082,36.875
197.109,36.844
198.107,36.812
199.105,36.812
200.142,36.812
201.176,36.844
202.103,36.812
203.217,36.844
204.126,36.812
205.104,36.844
206.151,36.781
207.100,36.812
208.123,36.844
209.099,36.875
210.122,36.875
211.097,36.844
212.121,36.875
213.096,36.875
214.128,36.875
215.118,36.875
216.124,36.938
217.134,36.938
218.124,36.938
219.093,36.938
220.116,36.906
221.240,36.906
222.115,36.906
223.090,36.875
224.114,36.875
225.088,36.906
226.113,36.875
227.187,36.906
228.460,36.875
229.098,36.875
230.113,36.875
231.386,36.906
232.110,36.906
233.084,36.906
234.108,36.906
235.083,36.906
236.108,36.906
237.230,36.875
238.105,36.875
239.080,36.875
240.118,36.906
241.083,36.906
242.251,36.906
243.086,36.938
244.130,36.938
245.106,36.906
246.100,36.938
247.109,36.938
248.099,36.969
249.075,36.969
250.098,36.969
251.121,36.938
252.096,36.906
253.120,36.844
254.095,36.844
255.119,36.844
256.245,36.844
257.361,36.812
258.339,36.781
259.116,36.812
260.091,36.812
261.115,36.812
262.382,36.781
263.115,36.906
264.094,36.875
265.118,36.844
266.088,36.875
267.116,36.906
268.086,36.875
269.110,36.844
270.095,36.812
271.109,36.812
272.084,36.812
273.108,36.750
274.084,36.781
275.112,36.812
276.081,36.844
277.131,36.812
278.424,36.812
279.104,36.812
280.079,36.812
281.103,36.812
282.085,36.812
283.143,36.812
284.076,36.781
285.100,36.781
286.094,36.781
287.099,36.781
288.123,36.781
289.098,36.812
290.074,36.812
291.126,36.781
292.071,36.781
293.095,36.750
294.219,36.750
295.094,36.750
296.070,36.719
297.093,36.688
298.070,36.719
299.091,36.719
300.115,36.688
301.090,36.719
302.114,36.719
303.088,36.750
304.113,36.719
305.088,36.719
306.111,36.719
307.087,36.719
308.159,36.719
309.117,36.688
310.307,36.812
311.084,36.781
312.108,36.781
313.083,36.781
314.107,36.812
315.091,36.781
316.105,36.750
317.081,36.719
318.104,36.688
