df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.351,75,75,0
6.034,150,75,1
6.863,225,75,2
7.449,300,75,3
8.325,375,75,4
8.976,450,75,5
9.837,525,75,6
10.422,600,75,7
11.640,675,75,8
11.933,750,75,9
12.810,825,75,10
13.409,899,74,11
14.322,974,75,12
14.907,1049,75,13
15.784,1124,75,14
16.369,1199,75,15
17.295,1274,75,16
17.882,1349,75,17
18.758,1424,75,18
19.489,1499,75,19
20.269,1572,73,20
20.854,1647,75,21
21.748,1722,75,22
22.370,1795,73,23
23.244,1870,75,24
23.831,1945,75,25
24.706,2020,75,26
25.350,2093,73,27
26.217,2166,73,28
26.802,2241,75,29
27.728,2316,75,30
28.313,2391,75,31
29.196,2466,75,32
29.788,2541,75,33
30.702,2616,75,34
31.296,2691,75,35
32.189,2766,75,36
32.749,2841,75,37
33.676,2916,75,38
34.260,2991,75,39
35.138,3066,75,40
35.788,3141,75,41
36.650,3216,75,42
37.234,3291,75,43
38.160,3366,75,44
38.746,3441,75,45
39.623,3516,75,46
40.222,3590,74,47
41.187,3665,75,48
41.719,3740,75,49
42.612,3815,75,50
43.187,3890,75,51
44.108,3964,74,52
44.693,4039,75,53
45.586,4113,74,54
46.172,4188,75,55
47.082,4262,74,56
47.667,4336,74,57
48.544,4411,75,58
49.129,4486,75,59
50.055,4561,75,60
50.640,4636,75,61
51.518,4711,75,62
52.152,4786,75,63
53.029,4861,75,64
53.662,4936,75,65
54.562,5011,75,66
55.125,5086,75,67
56.003,5161,75,68
56.588,5236,75,69
57.519,5311,75,70
58.103,5386,75,71
59.022,5461,75,72
59.563,5536,75,73
60.490,5611,75,74
61.073,5686,75,75
61.951,5761,75,76
62.535,5836,75,77
63.462,5911,75,78
64.047,5986,75,79
64.945,6061,75,80
65.509,6136,75,81
66.435,6211,75,82
67.060,6286,75,83
67.898,6361,75,84
68.483,6436,75,85
69.427,6511,75,86
70.003,6586,75,87
70.872,6661,75,88
71.505,6735,74,89
72.137,6810,75,90
72.968,6884,74,91
73.571,6959,75,92
74.479,7033,74,93
75.159,7107,74,94
75.993,7181,74,95
76.576,7255,74,96
77.604,7329,74,97
78.044,7404,75,98
78.915,7479,75,99
79.563,7554,75,100
80.427,7629,75,101
81.155,7704,75,102
81.914,7779,75,103
82.525,7854,75,104
83.401,7929,75,105
84.014,8004,75,106
84.863,8079,75,107
85.497,8153,74,108
86.374,8228,75,109
86.965,8303,75,110
87.885,8378,75,111
88.471,8451,73,112
89.348,8525,74,113
90.076,8600,75,114
90.860,8675,75,115
91.444,8750,75,116
92.322,8824,74,117
92.961,8897,73,118
93.836,8972,75,119
94.445,9046,74,120
95.298,9121,75,121
95.978,9195,74,122
96.514,9270,75,123
97.391,9345,75,124
98.073,9420,75,125
98.910,9495,75,126
99.488,9570,75,127
100.386,9645,75,128
101.146,9720,75,129
101.929,9795,75,130
102.462,9870,75,131
103.339,9945,75,132
103.978,10020,75,133
105.094,10095,75,134
105.436,10169,74,135
106.313,10244,75,136
107.055,10318,74,137
107.838,10393,75,138
108.458,10468,75,139
109.306,10543,75,140
110.112,10617,74,141
110.854,10692,75,142
111.383,10767,75,143
112.309,10842,75,144
113.040,10916,74,145
113.779,10990,74,146
114.356,11064,74,147
115.337,11139,75,148
115.965,11214,75,149
116.751,11289,75,150
117.330,11364,75,151
118.261,11438,74,152
118.847,11512,74,153
119.727,11585,73,154
120.304,11658,73,155
121.252,11733,75,156
121.910,11808,75,157
122.757,11883,75,158
123.348,11958,75,159
124.209,12033,75,160
124.794,12107,74,161
125.733,12182,75,162
126.301,12257,75,163
127.180,12332,75,164
128.059,12406,74,165
128.696,12481,75,166
129.274,12556,75,167
129.912,12629,73,168
130.743,12703,74,169
131.374,12777,74,170
132.248,12851,74,171
132.865,12926,75,172
133.806,13000,74,173
134.344,13074,74,174
135.222,13149,75,175
135.953,13223,74,176
136.787,13298,75,177
137.318,13372,74,178
138.198,13447,75,179
138.878,13522,75,180
139.754,13597,75,181
140.549,13672,75,182
141.170,13746,74,183
141.761,13820,74,184
142.687,13894,74,185
143.265,13969,75,186
144.192,14043,74,187
144.793,14117,74,188
145.659,14191,74,189
146.251,14266,75,190
147.117,14341,75,191
147.715,14413,72,192
148.342,14488,75,193
149.216,14562,74,194
149.847,14637,75,195
150.728,14712,75,196
151.309,14787,75,197
152.187,14862,75,198
152.822,14937,75,199
153.701,15012,75,200
154.282,15087,75,201
155.258,15161,74,202
155.746,15236,75,203
156.720,15311,75,204
157.260,15386,75,205
158.187,15461,75,206
158.719,15536,75,207
159.654,15611,75,208
160.230,15686,75,209
161.108,15761,75,210
161.695,15836,75,211
162.668,15911,75,212
163.204,15986,75,213
164.082,16061,75,214
164.667,16136,75,215
165.934,16211,75,216
166.179,16286,75,217
167.084,16361,75,218
167.671,16434,73,219
168.612,16509,75,220
169.153,16583,74,221
170.029,16658,75,222
170.624,16733,75,223
171.638,16808,75,224
172.174,16875,67,225
172.710,16947,72,226
173.734,17012,65,227
174.223,17086,74,228
174.807,17159,73,229
175.694,17232,73,230
176.325,17307,75,231
177.196,17382,75,232
177.781,17457,75,233
178.663,17532,75,234
179.338,17607,75,235
180.414,17682,75,236
180.757,17757,75,237
181.827,17832,75,238
182.271,17907,75,239
183.147,17982,75,240
183.728,18057,75,241
184.611,18132,75,242
185.249,18207,75,243
186.119,18282,75,244
186.702,18356,74,245
187.579,18431,75,246
188.310,18506,75,247
189.090,18581,75,248
189.724,18656,75,249
190.569,18731,75,250
191.193,18806,75,251
192.081,18881,75,252
192.649,18956,75,253
193.575,19031,75,254
194.320,19106,75,255
195.038,19181,75,256
195.623,19256,75,257
196.549,19331,75,258
197.141,19406,75,259
198.011,19481,75,260
198.889,19556,75,261
199.523,19631,75,262
200.113,19706,75,263
200.985,19781,75,264
201.619,19856,75,265
202.498,19931,75,266
203.130,20006,75,267
203.959,20081,75,268
204.581,20156,75,269
205.472,20231,75,270
206.067,20306,75,271
206.933,20381,75,272
207.567,20456,75,273
208.444,20531,75,274
209.035,20606,75,275
209.912,20681,75,276
210.492,20756,75,277
211.422,20831,75,278
212.049,20906,75,279
212.881,20981,75,280
213.467,21056,75,281
214.392,21131,75,282
214.984,21206,75,283
215.854,21281,75,284
216.439,21356,75,285
217.366,21431,75,286
217.999,21506,75,287
218.828,21581,75,288
219.413,21656,75,289
220.339,21731,75,290
221.070,21805,74,291
221.829,21879,74,292
222.436,21954,75,293
223.338,22028,74,294
223.904,22103,75,295
224.780,22177,74,296
225.469,22252,75,297
226.287,22327,75,298
226.961,22402,75,299
227.784,22477,75,300
228.383,22552,75,301
229.260,22626,74,302
229.851,22701,75,303
230.723,22775,74,304
231.357,22850,75,305
232.238,22925,75,306
232.826,23000,75,307
233.758,23075,75,308
234.334,23149,74,309
235.208,23224,75,310
235.842,23299,75,311
236.720,23374,75,312
237.304,23449,75,313
238.185,23524,75,314
238.913,23599,75,315
239.693,23673,74,316
240.325,23748,75,317
241.157,23823,75,318
241.936,23898,75,319
242.668,23973,75,320
243.252,24048,75,321
244.275,24123,75,322
244.771,24198,75,323
245.641,24273,75,324
246.229,24348,75,325
247.103,24423,75,326
247.743,24498,75,327
248.633,24573,75,328
249.199,24648,75,329
250.077,24722,74,330
250.717,24797,75,331
251.638,24872,75,332
252.173,24947,75,333
253.099,25021,74,334
253.735,25096,75,335
254.562,25171,75,336
255.388,25246,75,337
256.074,25321,75,338
256.801,25394,73,339
257.243,25469,75,340
258.172,25544,75,341
258.785,25619,75,342
