df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
5.290,-0.674,0.707,0.012
5.300,-0.676,0.709,0.016
5.310,-0.674,0.709,0.014
5.320,-0.672,0.707,0.016
5.330,-0.668,0.707,0.020
5.340,-0.672,0.707,0.020
5.350,-0.668,0.703,0.018
5.360,-0.666,0.709,0.020
5.370,-0.664,0.713,0.027
5.380,-0.662,0.713,0.027
5.390,-0.656,0.719,0.027
5.400,-0.658,0.721,0.029
5.410,-0.656,0.721,0.035
5.419,-0.654,0.721,0.031
5.429,-0.650,0.721,0.035
5.439,-0.650,0.719,0.035
5.449,-0.650,0.721,0.039
5.459,-0.648,0.721,0.041
5.469,-0.646,0.721,0.041
5.479,-0.652,0.721,0.047
5.489,-0.648,0.723,0.045
5.499,-0.646,0.723,0.049
5.509,-0.648,0.723,0.049
5.519,-0.646,0.721,0.051
5.529,-0.645,0.721,0.051
5.538,-0.645,0.725,0.055
5.548,-0.643,0.727,0.055
5.558,-0.637,0.725,0.053
5.568,-0.639,0.721,0.059
5.578,-0.639,0.721,0.059
5.588,-0.648,0.729,0.062
5.598,-0.648,0.719,0.059
5.608,-0.648,0.713,0.062
5.618,-0.646,0.711,0.061
5.628,-0.648,0.711,0.061
5.638,-0.646,0.717,0.061
5.648,-0.646,0.721,0.061
5.658,-0.646,0.719,0.064
5.667,-0.648,0.719,0.064
5.677,-0.648,0.719,0.062
5.687,-0.648,0.717,0.062
5.697,-0.648,0.713,0.064
5.707,-0.646,0.717,0.061
5.717,-0.646,0.727,0.062
5.727,-0.648,0.729,0.062
5.737,-0.646,0.725,0.064
5.747,-0.646,0.723,0.064
5.757,-0.648,0.725,0.061
5.767,-0.650,0.721,0.062
5.777,-0.654,0.721,0.066
5.787,-0.654,0.719,0.062
5.796,-0.658,0.719,0.062
5.806,-0.656,0.715,0.059
5.816,-0.656,0.715,0.057
5.826,-0.658,0.723,0.057
5.836,-0.658,0.725,0.061
5.846,-0.650,0.715,0.059
5.856,-0.652,0.715,0.051
5.866,-0.654,0.709,0.053
5.876,-0.656,0.707,0.049
5.886,-0.666,0.709,0.053
5.896,-0.664,0.709,0.047
5.906,-0.664,0.713,0.047
5.915,-0.664,0.715,0.047
5.925,-0.662,0.711,0.043
5.935,-0.662,0.703,0.045
5.945,-0.662,0.703,0.039
5.955,-0.666,0.701,0.037
5.965,-0.664,0.703,0.039
5.975,-0.664,0.705,0.035
5.985,-0.664,0.707,0.033
5.995,-0.664,0.709,0.031
6.005,-0.662,0.713,0.029
6.015,-0.664,0.711,0.023
6.025,-0.668,0.709,0.021
6.035,-0.670,0.707,0.020
6.044,-0.668,0.709,0.016
6.054,-0.670,0.709,0.016
6.064,-0.668,0.711,0.014
6.074,-0.670,0.715,0.014
6.084,-0.670,0.713,0.006
6.094,-0.668,0.713,0.006
6.104,-0.668,0.713,0.002
6.114,-0.670,0.713,0.002
6.124,-0.666,0.717,-0.002
6.134,-0.666,0.711,-0.002
6.144,-0.668,0.711,-0.004
6.154,-0.668,0.713,-0.006
6.164,-0.666,0.713,-0.006
6.173,-0.666,0.715,-0.010
6.183,-0.666,0.715,-0.010
6.193,-0.664,0.715,-0.010
6.203,-0.664,0.717,-0.016
6.213,-0.662,0.717,-0.016
6.223,-0.660,0.717,-0.016
6.233,-0.662,0.711,-0.021
6.243,-0.660,0.715,-0.018
6.253,-0.662,0.719,-0.023
6.263,-0.664,0.719,-0.027
6.273,-0.660,0.711,-0.027
6.283,-0.664,0.711,-0.029
6.292,-0.668,0.717,-0.029
6.302,-0.668,0.715,-0.027
6.312,-0.666,0.707,-0.033
6.322,-0.666,0.707,-0.039
6.332,-0.668,0.707,-0.037
6.342,-0.668,0.713,-0.039
6.352,-0.670,0.717,-0.041
6.362,-0.666,0.715,-0.045
6.372,-0.664,0.721,-0.047
6.382,-0.662,0.719,-0.045
6.392,-0.660,0.723,-0.045
6.402,-0.660,0.717,-0.047
6.412,-0.662,0.717,-0.047
6.421,-0.664,0.717,-0.045
6.431,-0.662,0.719,-0.047
6.441,-0.658,0.725,-0.045
6.451,-0.656,0.725,-0.049
6.461,-0.658,0.725,-0.049
6.471,-0.660,0.725,-0.045
6.481,-0.658,0.723,-0.047
6.491,-0.662,0.721,-0.045
6.501,-0.662,0.719,-0.051
6.511,-0.666,0.717,-0.047
6.521,-0.660,0.719,-0.049
6.531,-0.662,0.727,-0.047
6.540,-0.664,0.725,-0.041
6.550,-0.664,0.723,-0.039
6.560,-0.658,0.715,-0.041
6.570,-0.662,0.713,-0.041
6.580,-0.662,0.711,-0.041
6.590,-0.664,0.713,-0.037
6.600,-0.664,0.717,-0.039
6.610,-0.666,0.719,-0.039
