df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,battery
12.815,59
22.791,59
32.783,59
42.777,59
52.819,58
62.904,58
72.807,58
82.829,58
92.794,58
102.788,58
112.884,57
122.776,57
132.814,57
142.812,57
152.806,57
162.799,57
172.841,56
182.836,56
192.781,56
202.909,56
212.769,56
222.762,56
232.868,55
242.895,55
252.792,55
262.805,55
272.804,55
282.871,55
292.824,54
302.859,54
312.778,54
322.749,54
332.743,54
342.785,54
352.877,54
362.821,53
372.788,53
382.760,53
392.755,53
402.846,53
412.840,53
422.736,53
432.876,53
442.772,52
452.892,52
462.760,52
472.754,52
482.845,52
