df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,quality
39.315,77
40.147,84
41.460,63
42.243,50
43.410,33
44.339,21
45.509,25
46.143,25
47.355,16
48.190,19
49.137,0
50.287,0
51.213,0
52.091,0
53.260,0
54.140,47
55.211,52
56.234,67
57.164,51
58.043,32
59.209,24
60.134,31
61.012,67
62.206,59
63.109,52
64.006,33
65.349,34
66.081,32
66.959,58
68.181,54
69.107,44
69.936,27
71.149,25
72.059,23
73.150,24
74.128,30
75.007,36
75.883,34
77.194,28
77.979,31
78.855,25
80.119,26
81.242,22
81.828,27
83.048,31
83.925,45
84.931,53
86.070,43
87.050,34
87.826,53
88.996,42
89.872,42
90.798,43
91.968,26
92.872,29
93.772,35
95.088,44
95.822,46
96.747,40
98.013,33
98.793,30
99.911,36
100.900,43
101.770,45
102.696,40
103.863,36
104.741,37
105.669,38
106.839,39
107.717,40
108.692,25
109.910,20
110.783,26
111.694,29
112.879,31
113.711,32
114.593,34
115.763,49
116.684,34
117.614,37
118.732,44
119.658,50
120.536,33
121.752,31
122.633,23
123.510,29
124.680,29
125.749,27
126.484,26
127.699,22
128.581,19
129.749,21
130.868,37
131.555,36
132.455,31
133.651,23
134.527,34
135.405,52
136.625,42
137.503,49
138.381,42
139.791,47
140.475,46
141.450,48
142.571,45
143.448,40
144.518,36
145.555,29
146.422,22
147.302,19
148.520,30
149.422,39
150.277,26
151.492,17
152.370,26
153.539,33
154.469,0
155.375,4
156.272,3
157.491,0
158.319,16
159.245,0
160.414,18
161.291,0
162.219,0
163.389,0
164.316,0
165.193,44
166.362,38
167.289,39
168.259,44
169.335,44
170.261,50
171.139,52
172.747,57
173.235,59
174.401,52
175.336,52
176.209,50
177.086,49
178.351,54
179.182,60
180.065,52
181.278,42
182.448,40
183.285,36
184.256,36
185.132,35
186.007,39
187.226,55
188.104,59
188.982,48
190.394,46
191.245,45
192.005,43
193.225,43
194.053,50
194.978,30
196.147,25
197.075,46
197.953,44
199.145,25
200.000,43
200.928,51
202.146,48
203.019,38
204.191,39
205.407,30
206.089,34
206.873,30
208.286,23
208.977,35
209.872,53
211.018,50
211.942,47
212.820,46
214.136,33
214.917,20
215.891,28
216.964,28
218.135,0
218.769,0
219.988,20
220.866,29
221.741,27
222.962,44
223.838,27
224.715,25
225.934,26
226.812,28
227.692,30
228.910,17
229.785,18
230.692,17
231.882,17
232.856,13
233.685,13
234.855,45
235.734,33
236.659,36
237.874,38
238.748,27
239.827,28
240.802,28
241.872,0
242.606,0
243.887,36
244.654,40
245.580,41
246.751,28
247.676,27
248.554,26
249.870,21
250.650,24
251.551,21
252.698,26
253.624,34
254.519,33
255.671,30
256.606,36
257.476,37
258.694,33
259.863,37
260.449,34
261.814,31
262.546,24
263.446,28
264.642,20
265.811,19
266.646,28
267.615,35
268.494,46
269.370,37
270.589,41
271.469,35
272.395,24
273.611,36
274.586,32
275.369,30
276.777,26
277.414,20
278.340,17
279.510,15
280.688,25
281.317,25
282.484,34
283.362,25
284.288,29
285.458,31
286.335,26
287.263,28
288.432,33
289.407,54
290.236,36
291.405,28
292.332,38
293.209,55
294.379,31
295.399,27
296.476,24
297.645,26
298.279,17
299.156,20
300.327,18
301.548,23
302.133,27
303.352,27
304.519,33
305.247,22
306.323,25
307.236,27
308.370,32
309.589,31
310.222,25
311.052,0
312.271,21
313.148,25
314.026,36
315.244,42
316.123,22
317.002,27
318.315,26
319.144,25
319.975,23
321.192,21
322.359,29
322.947,25
324.409,25
325.143,30
325.921,45
327.139,52
328.017,44
328.894,33
330.259,31
331.085,22
331.916,21
333.087,15
333.964,21
334.893,21
336.061,29
336.938,47
337.883,29
339.106,27
340.115,27
340.838,34
342.008,35
343.031,44
343.812,47
345.017,42
346.103,43
346.790,28
347.956,44
348.894,24
349.760,31
350.933,31
351.853,52
352.735,37
354.049,38
354.781,41
355.741,57
357.218,44
357.806,38
358.681,35
359.949,19
360.777,0
361.703,40
362.870,49
363.751,56
364.628,48
365.801,7
366.725,11
367.602,38
368.869,26
369.700,29
370.820,35
371.747,33
372.672,50
373.550,54
374.818,73
375.647,69
376.524,41
377.695,46
378.622,46
379.497,52
380.864,54
381.594,64
382.485,41
383.738,57
384.813,54
385.449,44
386.761,43
387.541,32
388.418,34
389.602,36
390.518,34
391.392,27
392.563,43
393.732,44
394.366,45
395.784,41
396.465,35
397.438,28
398.512,0
399.439,0
400.317,31
401.532,0
402.412,21
403.338,13
404.506,18
405.408,22
406.261,10
407.522,13
408.358,14
409.238,14
410.503,15
411.339,13
412.217,13
413.571,6
414.307,6
415.185,9
416.402,30
417.284,27
418.302,26
419.376,30
420.398,21
421.130,35
422.350,0
423.228,0
424.398,22
425.324,32
426.250,30
427.126,26
428.740,35
429.174,29
430.111,26
431.270,0
432.197,23
433.366,24
434.245,37
435.273,0
436.094,0
437.218,0
438.144,0
439.118,0
440.191,0
441.117,0
442.025,0
443.215,0
444.149,2
445.114,21
446.188,19
447.075,23
447.946,26
449.210,28
450.234,19
450.921,21
452.135,20
453.161,18
