df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.347,75,75,0
5.981,150,75,1
6.859,225,75,2
7.492,300,75,3
8.321,375,75,4
8.958,450,75,5
9.930,525,75,6
10.466,600,75,7
11.343,675,75,8
11.929,750,75,9
12.806,825,75,10
13.391,900,75,11
14.317,975,75,12
15.195,1050,75,13
15.783,1125,75,14
16.365,1200,75,15
17.340,1275,75,16
17.876,1350,75,17
18.756,1425,75,18
19.340,1500,75,19
20.265,1575,75,20
20.906,1650,75,21
21.757,1725,75,22
22.361,1800,75,23
23.263,1875,75,24
23.827,1950,75,25
24.750,2025,75,26
25.337,2100,75,27
26.213,2175,75,28
26.798,2250,75,29
27.773,2325,75,30
28.309,2400,75,31
29.330,2475,75,32
29.772,2550,75,33
30.698,2625,75,34
31.286,2700,75,35
32.160,2775,75,36
32.795,2850,75,37
33.671,2925,75,38
34.305,3000,75,39
35.133,3075,75,40
35.791,3150,75,41
36.645,3225,75,42
37.230,3300,75,43
38.109,3375,75,44
38.741,3450,75,45
39.621,3525,75,46
40.239,3600,75,47
41.130,3675,75,48
41.765,3750,75,49
42.602,3825,75,50
43.373,3900,75,51
44.106,3975,75,52
44.933,4050,75,53
45.566,4125,75,54
46.152,4200,75,55
47.078,4275,75,56
47.663,4350,75,57
48.595,4425,75,58
49.369,4500,75,59
50.056,4575,75,60
50.643,4650,75,61
51.516,4725,75,62
52.099,4800,75,63
53.025,4875,75,64
53.659,4950,75,65
54.523,5025,75,66
55.073,5100,75,67
56.023,5175,75,68
56.654,5250,75,69
57.462,5325,75,70
58.095,5400,75,71
59.071,5475,75,72
59.566,5550,75,73
60.435,5625,75,74
61.117,5700,75,75
61.947,5775,75,76
62.587,5850,75,77
63.605,5925,75,78
64.042,6000,75,79
64.936,6075,75,80
65.507,6150,75,81
66.383,6225,75,82
67.113,6300,75,83
67.894,6375,75,84
68.479,6450,75,85
69.405,6525,75,86
69.991,6600,75,87
70.898,6675,75,88
71.453,6750,75,89
72.379,6825,75,90
72.964,6900,75,91
73.842,6975,75,92
74.475,7050,75,93
75.381,7125,75,94
75.938,7200,75,95
76.816,7275,75,96
77.401,7350,75,97
78.366,7425,75,98
78.912,7500,75,99
79.813,7575,75,100
80.469,7650,75,101
81.300,7725,75,102
81.980,7800,75,103
82.812,7875,75,104
83.396,7950,75,105
84.274,8025,75,106
84.859,8100,75,107
85.786,8175,75,108
86.370,8250,75,109
87.443,8325,75,110
87.888,8400,75,111
88.713,8475,75,112
89.344,8550,75,113
90.277,8625,75,114
90.807,8700,75,115
91.740,8775,75,116
92.318,8850,75,117
93.196,8925,75,118
93.780,9000,75,119
94.712,9075,75,120
95.292,9150,75,121
96.364,9225,75,122
96.780,9300,75,123
97.680,9375,75,124
98.320,9450,75,125
99.148,9525,75,126
99.749,9600,75,127
100.660,9675,75,128
101.239,9750,75,129
102.116,9825,75,130
102.712,9900,75,131
103.627,9975,75,132
104.261,10050,75,133
105.136,10125,75,134
105.723,10200,75,135
106.745,10275,75,136
107.187,10350,75,137
108.063,10425,75,138
108.746,10500,75,139
109.587,10575,75,140
110.179,10650,75,141
111.331,10725,75,142
111.670,10800,75,143
112.548,10875,75,144
113.182,10950,75,145
114.059,11025,75,146
114.644,11100,75,147
115.521,11175,75,148
116.106,11250,75,149
117.032,11325,75,150
117.621,11400,75,151
118.545,11475,75,152
119.206,11550,75,153
120.055,11625,75,154
120.592,11700,75,155
121.469,11775,75,156
122.102,11850,75,157
122.981,11925,75,158
123.565,12000,75,159
124.446,12075,75,160
125.076,12150,75,161
125.961,12225,75,162
126.587,12300,75,163
127.416,12375,75,164
128.049,12450,75,165
128.927,12525,75,166
129.514,12600,75,167
130.389,12675,75,168
131.023,12750,75,169
131.900,12825,75,170
132.485,12900,75,171
133.362,12975,75,172
134.000,13050,75,173
134.873,13124,74,174
135.459,13197,73,175
136.336,13268,71,176
136.970,13343,75,177
137.847,13418,75,178
