df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.658,75,75,0
6.291,150,75,1
7.169,225,75,2
7.780,300,75,3
8.631,375,75,4
9.265,450,75,5
10.143,525,75,6
10.815,600,75,7
11.654,675,75,8
12.239,750,75,9
13.165,825,75,10
13.724,900,75,11
14.771,975,75,12
15.213,1050,75,13
16.090,1125,75,14
16.675,1200,75,15
17.602,1275,75,16
18.187,1350,75,17
19.064,1425,75,18
19.649,1500,75,19
20.575,1575,75,20
21.160,1650,75,21
22.057,1725,75,22
22.672,1800,75,23
23.692,1875,75,24
24.182,1950,75,25
25.015,2025,75,26
25.697,2100,75,27
26.526,2175,75,28
27.156,2250,75,29
28.034,2325,75,30
28.619,2400,75,31
29.549,2475,75,32
30.130,2550,75,33
31.057,2625,75,34
31.610,2700,75,35
32.520,2775,75,36
33.055,2850,75,37
34.030,2925,75,38
34.595,3000,75,39
35.493,3075,75,40
36.173,3150,75,41
36.958,3225,75,42
37.544,3300,75,43
38.419,3375,75,44
39.030,3450,75,45
39.934,3525,75,46
40.514,3600,75,47
41.392,3675,75,48
42.076,3750,75,49
42.903,3825,75,50
43.491,3900,75,51
44.463,3975,75,52
45.048,4050,75,53
45.923,4125,75,54
46.462,4200,75,55
47.437,4275,75,56
47.973,4350,75,57
48.936,4425,75,58
49.484,4500,75,59
50.362,4575,75,60
50.958,4650,75,61
51.824,4725,75,62
52.409,4800,75,63
53.336,4875,75,64
53.927,4950,75,65
54.798,5025,75,66
55.432,5100,75,67
56.309,5175,75,68
56.922,5250,75,69
57.772,5325,75,70
58.406,5400,75,71
59.332,5475,75,72
59.888,5550,75,73
60.794,5625,75,74
61.404,5700,75,75
62.257,5775,75,76
62.842,5850,75,77
63.817,5925,75,78
64.353,6000,75,79
65.234,6075,75,80
65.839,6150,75,81
66.742,6225,75,82
67.471,6300,75,83
68.205,6375,75,84
68.838,6450,75,85
69.716,6525,75,86
70.301,6600,75,87
71.183,6675,75,88
71.812,6750,75,89
72.690,6825,75,90
73.282,6900,75,91
74.201,6975,75,92
74.786,7050,75,93
75.663,7125,75,94
76.297,7200,75,95
77.175,7275,75,96
77.759,7350,75,97
78.657,7425,75,98
79.222,7500,75,99
80.197,7575,75,100
80.786,7650,75,101
81.611,7725,75,102
82.244,7800,75,103
83.221,7875,75,104
83.710,7950,75,105
84.588,8025,75,106
85.224,8100,75,107
86.097,8175,75,108
87.071,8250,75,109
87.607,8325,75,110
88.192,8400,75,111
89.070,8475,75,112
89.703,8550,75,113
90.630,8625,75,114
91.166,8700,75,115
92.139,8775,75,116
92.677,8850,75,117
93.603,8925,75,118
94.237,9000,75,119
95.017,9075,75,120
95.614,9150,75,121
96.528,9225,75,122
97.113,9300,75,123
98.014,9375,75,124
98.625,9450,75,125
99.504,9525,75,126
100.087,9600,75,127
101.013,9675,75,128
101.598,9750,75,129
102.574,9825,75,130
103.350,9900,75,131
103.987,9975,75,132
104.575,10050,75,133
105.450,10125,75,134
106.035,10200,75,135
106.971,10275,75,136
107.689,10350,75,137
108.424,10425,75,138
109.009,10500,75,139
109.935,10575,75,140
110.526,10650,75,141
111.397,10725,75,142
112.031,10800,75,143
112.909,10875,75,144
113.495,10950,75,145
114.371,11025,75,146
115.005,11100,75,147
115.904,11175,75,148
116.469,11250,75,149
117.393,11325,75,150
117.979,11400,75,151
118.856,11475,75,152
119.443,11550,75,153
120.367,11625,75,154
120.998,11700,75,155
121.863,11775,75,156
122.464,11850,75,157
123.341,11925,75,158
123.926,12000,75,159
124.804,12075,75,160
125.437,12150,75,161
126.315,12225,75,162
126.948,12300,75,163
127.826,12375,75,164
128.411,12450,75,165
129.291,12525,75,166
129.879,12600,75,167
130.800,12675,75,168
131.385,12750,75,169
132.263,12825,75,170
132.847,12900,75,171
133.774,12975,75,172
134.471,13050,75,173
135.237,13125,75,174
135.870,13200,75,175
136.748,13275,75,176
137.333,13350,75,177
138.210,13425,75,178
138.844,13500,75,179
139.721,13575,75,180
140.316,13650,75,181
141.232,13725,75,182
141.818,13800,75,183
142.773,13875,75,184
143.280,13950,75,185
144.206,14025,75,186
144.877,14100,75,187
145.669,14175,75,188
146.303,14250,75,189
147.211,14325,75,190
147.765,14400,75,191
148.643,14475,75,192
149.281,14550,75,193
150.154,14625,75,194
150.739,14700,75,195
152.029,14775,75,196
152.250,14850,75,197
153.128,14925,75,198
153.763,15000,75,199
154.640,15075,75,200
155.247,15150,75,201
156.105,15225,75,202
156.735,15300,75,203
157.613,15375,75,204
158.200,15450,75,205
159.075,15525,75,206
159.710,15600,75,207
160.586,15675,75,208
161.171,15750,75,209
162.098,15825,75,210
162.683,15900,75,211
163.561,15975,75,212
164.386,16050,75,213
165.071,16125,75,214
165.656,16200,75,215
166.534,16275,75,216
167.119,16350,75,217
168.052,16425,75,218
168.630,16500,75,219
169.559,16575,75,220
170.163,16650,75,221
171.019,16725,75,222
171.607,16800,75,223
172.581,16875,75,224
173.115,16950,75,225
174.018,17025,75,226
174.578,17100,75,227
175.456,17175,75,228
176.089,17250,75,229
177.015,17325,75,230
177.602,17400,75,231
178.452,17475,75,232
179.064,17550,75,233
179.940,17625,75,234
180.529,17700,75,235
181.452,17775,75,236
182.083,17850,75,237
182.914,17925,75,238
183.499,18000,75,239
184.425,18075,75,240
185.108,18150,75,241
185.890,18225,75,242
186.523,18300,75,243
187.399,18375,75,244
187.985,18450,75,245
188.862,18525,75,246
189.495,18600,75,247
190.373,18675,75,248
190.958,18750,75,249
191.835,18825,75,250
192.469,18900,75,251
193.346,18975,75,252
193.949,19050,75,253
194.809,19125,75,254
195.492,19200,75,255
196.320,19275,75,256
196.905,19350,75,257
197.832,19425,75,258
198.417,19500,75,259
199.343,19575,75,260
199.912,19650,75,261
200.805,19725,75,262
201.394,19800,75,263
202.268,19875,75,264
202.853,19950,75,265
203.817,20025,75,266
204.364,20100,75,267
205.271,20175,75,268
205.875,20250,75,269
206.802,20325,75,270
