df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,heart_rate
15.844,75
17.015,76
17.891,76
18.769,74
19.987,72
20.865,71
21.792,73
22.961,72
23.887,72
24.716,72
25.935,72
26.812,72
27.739,72
28.909,72
29.836,72
30.713,71
31.883,71
32.786,72
33.687,72
34.856,73
35.740,73
36.660,72
37.879,71
38.708,70
39.634,70
40.804,72
41.734,74
42.705,75
43.778,76
44.709,75
45.583,75
46.759,75
47.678,75
48.604,73
49.774,74
50.947,74
51.532,75
52.752,76
53.625,78
54.506,78
55.721,78
56.599,77
57.480,77
58.695,77
59.816,77
60.499,77
61.669,77
62.546,77
63.475,77
64.645,77
65.520,77
66.446,77
67.648,76
68.548,76
69.420,75
70.590,73
71.517,73
72.395,72
73.564,73
74.492,74
75.368,75
76.587,74
77.464,74
78.342,74
79.560,74
80.438,64
81.315,59
82.536,63
83.415,64
84.293,63
85.561,62
86.410,68
87.312,71
88.506,72
89.361,74
90.286,76
91.504,78
92.333,79
93.259,78
94.429,77
95.307,76
96.233,75
97.403,75
98.329,75
99.207,75
100.377,75
101.303,75
102.180,75
103.401,75
104.278,75
105.160,75
106.373,72
107.250,73
108.128,74
109.347,75
110.273,76
111.102,76
112.344,77
113.198,77
114.076,76
115.294,76
116.172,76
117.098,75
118.268,74
119.146,73
120.072,72
121.242,72
122.169,72
123.143,72
124.216,73
125.142,74
126.023,74
127.189,74
128.116,75
128.993,75
130.213,75
131.089,76
131.967,76
133.186,75
134.063,75
134.941,73
136.162,73
137.037,74
137.914,74
139.133,74
140.011,75
140.937,75
142.107,75
142.990,76
143.911,75
145.081,74
146.056,74
146.885,72
148.055,71
149.023,72
149.903,73
151.177,74
152.092,75
152.832,75
154.051,75
154.928,75
155.806,75
157.073,75
157.902,75
158.780,75
160.000,76
160.876,77
161.851,77
162.972,77
163.856,77
164.776,77
165.946,77
166.872,77
168.045,77
168.923,77
169.825,77
170.772,77
171.893,77
172.820,77
173.698,77
174.867,78
175.793,78
176.720,79
177.841,79
178.767,79
179.645,78
180.815,78
181.754,77
182.619,76
183.788,76
184.718,76
185.592,76
186.911,78
187.737,79
188.569,79
189.785,78
190.909,79
191.540,78
192.759,78
193.636,78
194.515,78
195.732,78
196.610,78
197.536,78
198.706,78
199.636,78
200.510,78
201.680,79
202.557,79
203.532,79
204.654,78
205.654,78
206.457,78
207.628,78
208.557,78
209.431,78
210.601,78
211.532,78
212.405,78
213.625,78
214.501,78
215.379,78
216.598,78
217.483,78
218.353,78
219.576,78
220.449,78
221.327,78
222.546,78
223.423,78
224.300,78
225.519,78
226.396,78
227.323,78
228.895,76
229.370,74
230.356,72
231.470,72
232.367,72
233.270,72
234.440,72
235.366,72
236.244,72
237.416,72
238.343,72
239.218,68
240.388,69
241.316,70
242.196,71
243.410,73
244.288,74
245.165,75
246.384,74
247.262,74
248.139,74
249.359,74
250.235,74
251.121,74
252.337,74
253.356,74
254.135,74
255.452,74
256.205,77
257.109,80
258.305,81
259.156,80
260.083,80
261.253,80
262.179,80
263.080,80
264.227,80
265.159,80
266.030,80
267.200,80
268.127,80
269.005,80
270.225,80
271.106,80
271.981,80
273.197,80
274.095,80
274.952,81
276.172,81
277.054,81
277.927,81
279.144,81
280.022,80
280.948,80
282.150,80
282.995,80
283.931,80
285.092,82
286.020,82
286.895,82
288.068,82
288.992,82
289.869,82
291.039,82
291.966,82
292.853,81
294.062,80
295.183,80
295.817,80
297.036,80
297.913,81
298.791,82
300.055,82
300.909,83
301.764,83
302.985,82
303.861,82
304.787,80
305.962,79
306.834,79
307.761,79
308.931,79
309.808,79
310.734,79
311.904,79
312.782,79
313.708,79
314.891,80
315.756,79
316.698,79
317.901,79
318.778,79
319.660,79
320.826,81
321.752,79
322.629,81
323.802,81
324.726,80
325.603,80
326.773,80
327.700,79
328.601,78
329.796,78
330.673,78
331.551,78
332.770,74
333.648,76
334.524,72
335.743,72
336.770,74
337.498,73
338.721,72
339.600,72
340.521,72
341.692,72
342.568,72
343.496,81
344.668,87
345.549,82
346.473,83
347.638,82
348.516,84
349.443,83
350.612,83
351.541,83
352.421,83
353.589,83
354.513,83
355.431,83
356.560,82
357.486,81
358.419,81
359.538,81
360.514,81
361.386,81
362.510,81
363.433,80
364.360,80
365.579,80
366.408,80
367.287,80
368.520,80
369.408,80
370.453,80
371.484,80
372.407,80
373.232,80
374.452,76
375.329,75
376.450,75
377.425,76
378.451,79
379.229,81
380.424,81
381.278,82
382.202,82
383.372,81
384.299,81
385.180,80
386.346,79
387.224,79
388.155,79
389.321,79
390.197,79
391.124,79
392.342,77
393.220,77
394.097,75
395.386,74
396.194,74
397.109,75
398.255,74
399.167,74
400.045,74
401.264,74
402.141,74
403.019,74
404.238,74
405.115,74
405.992,74
407.211,74
408.089,74
409.017,74
410.192,74
411.064,74
411.989,74
413.159,74
414.075,64
415.011,59
416.230,56
417.010,54
417.938,56
419.107,56
419.992,59
420.910,57
422.375,57
423.006,57
423.887,57
425.054,57
425.980,57
426.957,55
428.029,55
428.954,65
429.831,69
