df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.935,75,75,0
6.617,150,75,1
7.446,225,75,2
8.031,300,75,3
8.909,375,75,4
9.834,450,75,5
10.519,525,75,6
11.054,600,75,7
12.029,675,75,8
12.516,750,75,9
13.442,825,75,10
14.026,900,75,11
14.960,975,75,12
15.490,1050,75,13
16.416,1125,75,14
17.055,1200,75,15
17.885,1275,75,16
18.464,1350,75,17
19.341,1425,75,18
19.980,1500,75,19
20.904,1575,75,20
21.487,1650,75,21
22.342,1725,75,22
22.971,1800,75,23
24.068,1875,75,24
24.411,1950,75,25
25.435,2025,75,26
26.066,2100,75,27
27.138,2175,75,28
27.433,2250,75,29
28.557,2325,75,30
29.108,2400,75,31
29.774,2475,75,32
30.552,2550,75,33
31.364,2625,75,34
31.876,2700,75,35
32.754,2775,75,36
33.333,2850,75,37
34.356,2925,75,38
34.850,3000,75,39
35.727,3075,75,40
36.444,3150,75,41
37.281,3225,75,42
37.822,3300,75,43
38.753,3375,75,44
39.329,3450,75,45
40.207,3525,75,46
40.897,3600,75,47
41.674,3675,75,48
42.303,3750,75,49
43.229,3825,75,50
44.106,3900,75,51
44.789,3975,75,52
45.276,4050,75,53
46.154,4125,75,54
46.744,4200,75,55
47.738,4275,75,56
48.326,4350,75,57
49.150,4425,75,58
49.815,4500,75,59
50.687,4575,75,60
51.326,4650,75,61
52.205,4725,75,62
52.692,4800,75,63
53.667,4875,75,64
54.197,4950,75,65
55.076,5025,75,66
55.766,5100,75,67
56.605,5175,75,68
57.242,5250,75,69
58.049,5325,75,70
58.793,5400,75,71
59.609,5475,75,72
60.553,5550,75,73
61.023,5625,75,74
61.754,5700,75,75
62.585,5775,75,76
63.119,5850,75,77
63.998,5925,75,78
64.646,6000,75,79
65.561,6075,75,80
66.434,6150,75,81
67.047,6225,75,82
67.702,6300,75,83
68.504,6375,75,84
69.095,6450,75,85
70.045,6525,75,86
70.770,6600,75,87
71.455,6675,75,88
72.044,6750,75,89
73.016,6825,75,90
73.558,6900,75,91
74.576,6975,75,92
75.014,7050,75,93
75.964,7125,75,94
76.531,7200,75,95
77.503,7275,75,96
78.088,7350,75,97
78.917,7425,75,98
79.742,7500,75,99
80.432,7575,75,100
81.011,7650,75,101
81.986,7725,75,102
82.528,7800,75,103
83.692,7875,75,104
83.984,7950,75,105
84.911,8025,75,106
85.496,8100,75,107
86.468,8175,75,108
86.981,8250,75,109
87.842,8325,75,110
88.723,8400,75,111
89.590,8475,75,112
89.932,8550,75,113
90.809,8625,75,114
91.399,8700,75,115
92.380,8775,75,116
92.906,8850,75,117
93.783,8925,75,118
94.430,9000,75,119
95.440,9075,75,120
95.879,9150,75,121
96.773,9225,75,122
97.398,9300,75,123
98.317,9375,75,124
98.854,9450,75,125
99.731,9525,75,126
100.513,9600,75,127
101.389,9675,75,128
101.827,9750,75,129
102.753,9825,75,130
103.352,9900,75,131
104.316,9975,75,132
104.801,10050,75,133
105.727,10125,75,134
106.365,10200,75,135
107.345,10275,75,136
107.777,10350,75,137
108.749,10425,75,138
109.354,10500,75,139
110.258,10575,75,140
110.748,10650,75,141
111.674,10725,75,142
112.308,10800,75,143
