df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
6.179,210,74,2
6.666,284,74,3
6.874,358,74,4
7.349,432,74,5
7.786,506,74,6
7.982,580,74,7
8.372,654,74,8
8.714,728,74,9
9.542,802,74,10
9.573,876,74,11
9.863,950,74,12
10.225,1024,74,13
10.716,1098,74,14
10.912,1172,74,15
11.400,1246,74,16
11.736,1320,74,17
12.075,1394,74,18
12.419,1468,74,19
12.909,1542,74,20
13.204,1616,74,21
13.541,1690,74,22
13.832,1764,74,23
14.369,1838,74,24
14.662,1912,74,25
14.983,1986,74,26
15.348,2060,74,27
15.782,2134,74,28
16.078,2208,74,29
16.514,2282,74,30
16.855,2356,74,31
17.296,2430,74,32
17.586,2504,74,33
17.976,2578,74,34
18.318,2652,74,35
18.659,2726,74,36
19.049,2800,74,37
19.543,2874,74,38
19.830,2948,74,39
20.072,3022,74,40
20.512,3096,74,41
20.945,3170,74,42
21.194,3244,74,43
21.591,3318,74,44
22.025,3392,74,45
22.318,3466,74,46
22.708,3540,74,47
23.146,3614,74,48
23.392,3688,74,49
23.826,3762,74,50
24.168,3836,74,51
24.558,3910,74,52
24.953,3984,74,53
25.191,4058,74,54
25.630,4132,74,55
26.118,4206,74,56
26.316,4280,74,57
26.751,4354,74,58
27.239,4428,74,59
27.724,4502,74,60
27.930,4576,74,61
28.268,4650,74,62
28.942,4724,74,63
29.163,4798,74,64
29.246,4872,74,65
29.695,4946,74,66
30.067,5020,74,67
30.366,5094,74,68
30.895,5168,74,69
31.290,5242,74,70
31.481,5316,74,71
31.968,5390,74,72
32.355,5464,74,73
32.650,5538,74,74
32.991,5612,74,75
33.430,5686,74,76
33.771,5760,74,77
34.114,5834,74,78
34.406,5908,74,79
34.795,5982,74,80
35.234,6056,74,81
35.478,6130,74,82
36.060,6204,74,83
36.404,6278,74,84
36.599,6352,74,85
37.041,6426,74,86
37.428,6500,74,87
37.721,6574,74,88
38.256,6648,74,89
38.598,6722,74,90
38.897,6796,74,91
39.231,6870,74,92
39.622,6944,74,93
39.970,7018,74,94
40.353,7092,74,95
40.652,7166,74,96
41.035,7240,74,97
41.474,7314,74,98
41.767,7388,74,99
42.159,7462,74,100
42.603,7536,74,101
42.839,7610,74,102
43.375,7684,74,103
43.717,7758,74,104
44.127,7832,74,105
44.399,7906,74,106
44.691,7980,74,107
45.182,8054,74,108
45.620,8128,74,109
45.764,8202,74,110
46.203,8276,74,111
46.593,8350,74,112
46.885,8424,74,113
47.332,8498,74,114
47.766,8572,74,115
48.299,8646,74,116
48.543,8720,74,117
48.840,8794,74,118
49.128,8868,74,119
49.519,8942,74,120
49.838,9016,74,121
50.250,9090,74,122
50.932,9164,74,123
50.954,9238,74,124
51.711,9312,74,125
51.960,9386,74,126
52.053,9460,74,127
52.492,9534,74,128
52.881,9608,74,129
53.128,9682,74,130
53.613,9756,74,131
53.954,9830,74,132
54.248,9904,74,133
54.685,9978,74,134
54.930,10052,74,135
55.368,10126,74,136
55.808,10200,74,137
56.050,10274,74,138
56.538,10348,74,139
56.976,10422,74,140
57.221,10496,74,141
57.616,10570,74,142
58.000,10644,74,143
58.344,10718,74,144
58.828,10792,74,145
59.123,10866,74,146
59.414,10940,74,147
59.805,11014,74,148
60.532,11088,74,149
60.825,11162,74,150
60.926,11236,74,151
61.266,11310,74,152
61.608,11384,74,153
62.095,11458,74,154
62.388,11532,74,155
62.744,11606,74,156
63.168,11680,74,157
63.508,11754,74,158
63.850,11828,74,159
64.240,11902,74,160
64.536,11976,74,161
65.021,12050,74,162
65.215,12124,74,163
65.654,12198,74,164
66.141,12272,74,165
66.472,12346,74,166
67.020,12420,74,167
67.261,12494,74,168
67.459,12568,74,169
67.944,12642,74,170
68.290,12716,74,171
68.725,12790,74,172
69.067,12864,74,173
69.422,12938,74,174
69.749,13012,74,175
70.097,13086,74,176
70.383,13160,74,177
71.065,13234,74,178
71.212,13308,74,179
71.512,13382,74,180
71.992,13456,74,181
72.336,13530,74,182
72.581,13604,74,183
73.040,13678,74,184
73.455,13752,74,185
73.699,13826,74,186
74.140,13900,74,187
74.598,13974,74,188
74.819,14048,74,189
75.258,14122,74,190
75.551,14196,74,191
75.941,14270,74,192
76.330,14344,74,193
76.625,14418,74,194
77.062,14492,74,195
77.647,14566,74,196
77.793,14640,74,197
78.137,14714,74,198
78.577,14788,74,199
78.866,14862,74,200
79.257,14936,74,201
79.778,15010,74,202
79.938,15084,74,203
80.377,15158,74,204
80.671,15232,74,205
81.059,15306,74,206
81.502,15380,74,207
81.742,15454,74,208
82.181,15528,74,209
82.668,15602,74,210
83.056,15676,74,211
83.304,15750,74,212
83.719,15824,74,213
84.030,15898,74,214
84.472,15972,74,215
84.813,16046,74,216
85.154,16120,74,217
85.531,16194,74,218
85.837,16268,74,219
86.227,16342,74,220
86.629,16416,74,221
86.959,16490,74,222
87.402,16564,74,223
87.738,16638,74,224
88.083,16712,74,225
88.436,16786,74,226
88.859,16860,74,227
89.152,16934,74,228
89.619,17008,74,229
90.032,17082,74,230
90.526,17156,74,231
90.663,17230,74,232
91.004,17304,74,233
91.346,17378,74,234
91.784,17452,74,235
92.126,17526,74,236
92.757,17600,74,237
92.858,17674,74,238
93.198,17748,74,239
93.589,17822,74,240
93.978,17896,74,241
94.368,17970,74,242
94.709,18044,74,243
95.099,18118,74,244
95.464,18192,74,245
95.831,18266,74,246
96.222,18340,74,247
96.627,18414,74,248
96.906,18488,74,249
97.200,18562,74,250
97.634,18636,74,251
98.024,18710,74,252
98.339,18784,74,253
98.763,18858,74,254
99.149,18932,74,255
99.450,19006,74,256
99.877,19080,74,257
100.267,19154,74,258
100.544,19228,74,259
101.096,19302,74,260
101.336,19376,74,261
101.632,19450,74,262
102.120,19524,74,263
102.362,19598,74,264
103.045,19672,74,265
103.200,19746,74,266
103.436,19820,74,267
103.923,19894,74,268
104.365,19968,74,269
104.557,20042,74,270
104.997,20116,74,271
105.386,20190,74,272
105.681,20264,74,273
106.071,20338,74,274
106.422,20412,74,275
106.799,20486,74,276
107.245,20560,74,277
107.482,20634,74,278
107.873,20708,74,279
108.319,20782,74,280
