df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,heart_rate
8.959,46
9.930,46
11.003,46
11.928,46
12.859,46
13.976,46
14.951,46
15.926,46
17.047,46
17.877,46
18.803,46
19.972,46
20.850,46
21.727,46
22.947,46
23.847,46
24.802,46
25.920,68
26.798,59
27.768,56
28.984,56
29.820,57
30.844,57
31.867,56
32.745,56
33.671,70
34.841,64
35.719,62
36.742,62
37.815,63
38.744,66
39.963,64
40.889,63
41.666,63
42.690,63
43.811,63
44.715,63
45.664,62
46.736,63
47.717,72
48.572,77
49.715,72
50.714,74
51.767,75
52.684,83
53.633,86
54.536,86
55.758,88
56.586,88
57.607,89
58.680,88
59.557,88
60.577,88
61.703,88
62.541,88
63.530,88
64.633,85
65.505,84
66.772,84
67.650,84
68.481,84
69.406,86
70.575,84
71.503,84
72.479,84
73.549,79
74.427,77
75.353,76
76.523,76
77.452,75
78.473,75
79.496,75
80.397,75
81.399,73
82.471,73
83.348,73
84.274,73
85.444,73
86.370,73
87.394,73
88.711,76
89.344,76
90.243,75
91.391,75
92.415,82
93.293,77
94.417,78
95.292,79
96.245,78
97.388,78
98.265,78
99.438,84
100.361,80
101.379,81
102.214,77
103.335,78
104.213,75
105.139,76
106.309,76
107.336,76
108.165,75
109.287,79
110.209,81
111.087,79
112.256,79
113.280,78
114.165,77
115.282,77
116.108,77
117.187,76
118.204,76
119.179,76
120.105,76
121.178,78
122.108,79
123.030,78
124.152,78
125.082,78
126.102,79
127.178,79
128.196,78
129.027,78
130.148,78
131.123,84
131.955,80
133.122,86
134.051,87
134.974,90
136.095,92
137.022,93
137.899,94
139.118,95
139.947,96
141.022,98
142.043,100
142.974,101
143.896,99
145.066,99
145.894,99
146.824,99
147.992,99
148.885,99
149.843,101
151.117,101
151.842,103
152.768,103
153.938,103
154.864,102
155.862,100
156.912,98
157.890,96
158.910,97
159.886,96
160.812,97
161.813,98
162.859,99
163.786,99
164.864,98
165.848,97
166.781,96
167.659,95
168.807,95
169.782,95
170.708,95
171.856,95
172.805,93
173.683,92
174.803,93
175.723,94
176.948,96
177.781,94
178.654,94
179.581,94
180.751,94
181.628,88
182.652,91
183.724,90
184.652,90
185.577,89
186.698,89
187.576,89
188.502,89
189.672,93
190.574,95
191.529,97
192.698,99
193.572,100
194.498,98
195.620,98
196.548,98
197.521,99
198.616,100
199.520,99
200.595,99
201.575,99
202.548,94
203.763,96
204.541,95
205.467,96
206.393,96
207.621,96
208.441,96
209.318,97
210.587,98
211.466,97
212.393,97
213.515,97
214.413,97
215.330,97
216.485,96
217.420,97
218.341,97
219.458,98
220.382,98
221.311,97
222.433,96
223.310,95
224.334,95
225.406,95
226.283,95
227.259,95
228.380,95
229.263,95
230.184,95
231.354,95
232.231,95
233.206,95
234.327,95
235.205,95
236.131,95
237.304,94
238.227,94
239.202,94
240.280,94
241.171,90
242.131,89
243.259,90
244.178,89
245.249,89
246.222,89
247.153,89
248.075,89
249.206,89
250.128,89
251.002,89
252.170,89
253.096,89
254.071,89
255.175,89
256.070,89
256.948,89
258.160,89
259.147,89
260.019,89
261.091,89
262.066,89
262.945,89
264.114,89
264.991,89
266.017,89
267.127,89
268.026,89
269.037,89
270.068,89
270.939,89
271.817,59
273.035,49
276.886,61
286.834,70
287.904,68
288.781,68
289.762,65
290.928,66
291.756,66
292.710,66
293.851,74
294.778,71
295.704,70
296.825,70
297.703,70
298.678,70
299.799,70
301.020,66
301.751,60
302.773,58
303.699,55
304.625,57
305.747,57
306.673,56
307.698,56
308.720,56
309.647,56
310.622,56
311.768,56
312.621,56
313.498,56
314.755,56
315.740,56
316.570,56
317.690,56
318.568,55
319.533,55
320.713,55
321.590,55
322.565,55
323.638,55
324.515,54
325.496,54
326.612,54
327.489,54
328.513,54
329.607,54
330.512,53
331.487,52
332.610,52
333.437,51
334.368,51
335.538,51
336.561,51
337.438,51
338.507,51
339.384,51
340.310,51
341.481,51
342.408,51
343.382,51
344.454,59
345.725,64
346.307,60
347.458,59
348.305,59
349.329,59
350.402,59
351.319,59
352.501,59
353.376,59
354.253,59
355.181,59
356.354,59
357.305,59
358.306,59
359.323,59
360.201,59
361.131,59
362.297,60
363.324,59
364.296,59
365.271,59
366.197,57
367.133,55
368.296,54
369.171,54
370.198,54
371.218,54
372.144,54
373.071,54
374.196,54
375.118,54
376.001,54
377.166,54
378.210,54
379.216,54
380.140,54
381.075,54
381.992,47
383.162,44
384.137,43
385.018,42
386.136,43
387.111,43
387.940,42
389.144,42
389.987,42
391.011,42
392.083,51
392.963,56
393.938,60
395.057,60
395.936,63
396.861,61
398.088,61
399.008,53
399.883,56
401.005,56
401.882,56
402.809,55
403.979,55
404.908,55
405.880,55
407.011,55
407.857,55
408.805,55
409.926,53
410.804,53
411.827,53
412.903,57
413.877,55
414.752,53
415.875,52
416.800,51
417.677,52
418.849,52
419.821,51
420.749,56
421.821,59
422.747,60
423.673,59
424.795,58
425.765,58
426.696,55
427.818,56
428.695,56
429.621,56
430.791,62
431.669,64
432.841,65
433.765,63
434.671,66
