df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,heart_rate
15.533,72
16.411,74
17.557,76
18.483,77
19.360,76
20.530,75
21.457,72
22.578,71
23.504,71
24.431,72
25.308,74
26.478,74
27.404,74
28.284,74
29.452,74
30.422,74
31.304,73
32.527,71
33.409,69
34.229,67
35.448,65
36.374,64
37.205,64
38.422,66
39.299,68
40.177,69
41.577,70
42.273,70
43.292,70
44.418,70
45.250,70
46.271,70
47.343,70
48.221,70
49.151,70
50.339,70
51.492,70
52.121,70
53.393,70
54.217,70
55.195,70
56.313,70
57.142,71
58.072,71
59.243,71
60.264,71
61.042,71
62.212,72
63.091,73
64.065,74
65.186,74
66.112,75
66.989,76
68.552,77
69.040,76
69.994,81
71.157,81
72.059,83
72.937,82
74.107,82
75.131,80
75.961,80
77.086,79
78.007,78
78.885,77
80.055,76
81.001,75
81.859,74
83.040,74
83.955,74
84.886,74
86.002,74
87.099,74
87.806,74
89.025,75
89.951,74
90.780,77
91.998,78
92.934,77
93.753,76
94.997,75
95.850,73
96.762,74
97.946,74
98.826,74
99.741,73
100.921,73
101.797,74
102.685,75
103.893,76
104.771,75
105.648,76
106.867,75
107.940,79
108.625,81
109.841,79
110.768,79
111.645,77
112.815,75
113.985,74
114.619,74
115.935,74
116.669,75
117.662,76
118.811,76
119.663,75
120.619,74
121.741,73
122.614,72
123.540,71
124.713,71
125.636,71
126.514,71
127.684,71
128.610,71
129.487,71
130.661,72
131.584,73
132.462,73
133.631,73
134.850,73
135.453,72
136.654,72
137.531,71
138.442,71
139.627,70
140.505,70
141.382,70
142.601,70
143.482,72
144.356,73
145.575,74
146.452,75
147.330,75
148.573,75
149.426,75
150.332,74
151.867,74
152.422,74
153.327,74
154.840,74
155.422,74
156.274,73
157.498,73
158.348,73
159.225,73
160.444,73
161.324,78
162.199,80
163.467,80
164.295,79
165.221,79
166.391,79
167.353,78
168.195,78
169.365,79
170.389,79
171.173,80
172.370,80
173.265,79
174.143,79
175.313,79
176.239,79
177.120,79
178.322,79
179.261,79
180.091,79
181.260,79
182.194,77
183.064,75
184.234,74
185.166,72
186.045,73
187.211,73
188.134,73
189.117,72
190.183,72
191.108,70
191.987,68
193.155,66
194.130,64
194.963,63
196.181,65
197.104,67
198.136,68
199.544,69
200.029,68
200.907,67
202.127,67
203.027,67
203.885,66
205.099,65
205.981,65
206.854,65
208.073,65
209.199,65
209.852,65
211.094,68
211.925,66
212.803,66
214.020,66
214.898,66
215.834,66
217.338,74
217.928,78
218.798,74
220.017,73
220.943,73
221.772,74
223.039,73
223.868,73
224.794,73
225.915,73
226.884,73
227.719,63
228.954,66
229.815,67
230.942,67
231.912,66
232.789,66
233.719,66
234.837,66
235.763,66
236.667,71
237.811,74
238.737,71
239.615,70
240.833,70
241.711,66
242.588,67
243.813,67
244.684,67
245.562,66
246.781,66
247.658,59
248.536,57
249.755,55
250.732,57
251.509,57
252.728,68
253.611,73
254.483,74
255.751,74
256.583,73
257.535,72
258.684,72
259.553,72
260.480,72
261.649,72
262.527,72
263.453,72
264.721,74
265.501,76
266.476,76
267.607,75
268.474,73
269.401,72
270.591,73
271.497,74
272.374,75
273.544,76
274.471,75
275.348,75
276.518,75
277.493,75
278.372,75
279.640,75
280.419,75
281.296,75
282.539,75
283.392,75
284.270,79
285.488,80
286.366,79
287.243,78
288.463,77
289.340,76
290.217,76
291.437,78
292.314,78
293.220,78
294.410,76
295.321,75
296.165,73
297.383,73
298.261,73
299.187,75
300.358,74
301.383,73
302.192,73
303.331,73
304.209,73
305.135,73
306.305,73
307.234,77
308.306,80
309.279,83
310.205,83
311.087,84
312.275,83
313.203,83
314.351,83
315.227,83
316.152,83
317.030,83
318.249,83
319.179,83
320.032,83
321.222,83
322.130,83
323.053,83
324.204,82
325.074,83
325.956,83
327.170,83
328.047,82
328.928,82
330.144,82
331.024,82
331.899,82
333.121,82
333.998,84
334.872,84
336.143,84
336.969,84
337.938,83
339.163,82
339.946,80
340.918,79
342.039,80
342.919,79
343.844,79
345.012,79
345.890,79
346.816,79
348.060,79
348.864,79
349.799,81
350.960,83
351.950,82
352.764,82
353.937,82
354.814,82
355.737,82
356.913,82
357.846,82
358.711,82
359.881,82
360.808,82
361.834,78
362.855,82
363.781,82
364.659,82
365.878,84
366.759,82
367.633,82
368.809,82
369.735,82
370.704,82
371.826,82
372.703,84
373.585,83
374.800,83
375.676,82
376.721,82
377.773,82
378.679,82
379.528,82
380.747,82
381.624,82
382.696,82
383.720,74
384.621,78
385.524,77
386.846,75
387.572,75
388.498,65
389.825,59
390.547,55
391.471,59
392.641,59
393.519,58
394.445,57
395.641,57
396.542,57
397.419,63
398.589,65
399.516,66
400.393,67
401.563,66
402.489,63
403.384,60
404.683,62
405.463,56
406.366,58
407.510,58
408.437,58
409.314,62
410.484,65
411.410,67
412.296,65
413.458,64
414.471,64
415.262,64
416.435,64
417.361,65
418.239,67
419.405,67
420.332,67
421.209,66
422.428,66
423.312,66
424.183,67
425.477,68
426.279,69
427.182,70
428.375,69
429.302,69
