df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.990,186237,170,286419
5.995,186240,169,286418
6.000,186246,168,286420
6.005,186240,171,286399
6.010,186232,169,286410
6.015,186255,168,286413
6.020,186253,172,286436
6.025,186262,169,286420
6.030,186262,168,286434
6.035,186262,168,286416
6.040,186258,168,286424
6.045,186258,172,286445
6.050,186264,169,286436
6.055,186269,168,286411
6.060,186261,172,286439
6.065,186286,169,286428
6.070,186279,168,286429
6.075,186295,171,286440
6.080,186293,169,286450
6.085,186267,172,286461
6.089,186296,171,286473
6.094,186281,170,286443
6.099,186305,168,286473
6.104,186309,172,286457
6.109,186326,170,286460
6.114,186316,168,286478
6.119,186324,172,286484
6.124,186337,170,286480
6.129,186329,168,286495
6.134,186363,170,286513
6.139,186342,170,286520
6.144,186339,168,286500
6.149,186356,172,286491
6.154,186360,170,286480
6.159,186357,168,286504
6.164,186373,168,286514
6.169,186383,171,286522
6.174,186371,169,286518
6.179,186376,169,286523
6.184,186383,168,286517
6.189,186387,172,286515
6.194,186401,171,286515
6.199,186393,170,286535
6.204,186391,169,286538
6.209,186412,169,286529
6.214,186423,168,286545
6.218,186418,168,286535
6.223,186423,168,286546
6.228,186417,172,286544
6.233,186448,171,286549
6.238,186446,168,286568
6.243,186448,168,286560
6.248,186430,173,286564
6.253,186447,172,286561
6.258,186451,171,286561
6.263,186467,170,286558
6.268,186457,169,286569
6.273,186472,169,286540
6.278,186442,168,286542
6.283,186440,169,286517
6.288,186412,168,286511
6.293,186408,168,286495
6.298,186395,168,286450
6.303,186376,172,286473
6.308,186330,171,286447
6.313,186327,170,286407
6.318,186318,169,286404
6.323,186272,168,286354
6.328,186262,168,286351
6.333,186246,168,286314
6.338,186212,168,286312
6.343,186195,171,286292
6.347,186189,171,286269
6.352,186178,170,286247
6.357,186156,169,286234
6.362,186149,168,286226
6.367,186144,168,286230
6.372,186128,168,286225
6.377,186098,169,286236
6.382,186116,169,286212
6.387,186113,169,286229
6.392,186120,169,286211
6.397,186099,168,286217
6.402,186110,168,286234
6.407,186109,168,286225
6.412,186118,168,286200
6.417,186110,168,286228
6.422,186102,168,286219
6.427,186094,169,286200
6.432,186102,169,286216
6.437,186102,169,286217
6.442,186093,168,286208
6.447,186115,168,286206
6.452,186117,168,286190
6.457,186089,168,286211
6.462,186067,173,286208
6.467,186097,172,286203
6.472,186094,171,286206
6.476,186097,170,286214
6.481,186086,169,286190
6.486,186080,169,286180
6.491,186088,169,286164
6.496,186077,168,286186
6.501,186077,168,286189
6.506,186085,168,286190
6.511,186108,171,286191
6.516,186096,170,286201
6.521,186096,170,286203
6.526,186119,172,286208
6.531,186123,171,286196
6.536,186094,170,286203
6.541,186104,169,286221
6.546,186104,169,286209
6.551,186124,168,286202
6.556,186098,168,286207
6.561,186096,172,286196
6.566,186099,170,286221
6.571,186121,172,286206
6.576,186104,172,286195
6.581,186099,171,286165
6.586,186094,171,286177
6.591,186088,170,286167
6.596,186099,170,286192
6.601,186107,169,286170
6.605,186088,169,286171
6.610,186093,168,286168
6.615,186099,168,286165
6.620,186091,168,286162
6.625,186090,168,286163
6.630,186073,168,286143
6.635,186079,168,286144
6.640,186076,172,286162
6.645,186083,171,286155
6.650,186082,170,286142
6.655,186075,169,286143
6.660,186064,169,286147
6.665,186066,168,286136
6.670,186092,169,286174
6.675,186072,169,286148
6.680,186080,168,286157
6.685,186083,168,286142
6.690,186088,172,286151
6.695,186089,171,286138
6.700,186086,170,286137
6.705,186100,169,286149
6.710,186089,169,286164
6.715,186102,168,286162
6.720,186099,169,286158
6.725,186113,169,286174
6.730,186097,168,286152
6.734,186108,168,286191
6.739,186105,172,286184
