df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,quality
15.658,73
16.414,61
17.606,66
18.486,73
19.364,64
20.580,60
21.460,67
22.581,76
23.507,77
24.435,79
25.311,52
26.481,53
27.407,57
28.530,55
29.455,54
30.722,50
31.309,61
32.624,50
33.550,65
34.233,80
35.451,82
36.378,76
37.303,65
38.438,56
39.349,59
40.225,63
41.585,67
42.322,79
43.296,80
44.422,79
45.396,76
46.276,77
47.346,78
48.224,79
49.393,81
50.564,82
51.496,81
52.124,79
53.441,80
54.221,80
55.241,82
56.411,83
57.145,82
58.166,84
59.290,80
60.510,82
61.050,81
62.215,80
63.187,80
64.068,75
65.197,78
66.116,71
66.993,70
68.555,58
69.289,44
70.000,51
71.162,54
72.063,49
72.941,58
74.111,70
75.134,75
75.972,77
77.327,74
78.013,74
78.889,64
80.058,65
81.326,75
81.862,71
83.126,74
83.960,78
84.932,74
86.005,79
87.104,69
87.810,65
89.028,54
89.954,47
90.783,51
92.002,50
93.171,46
93.757,46
95.000,44
95.853,55
96.827,42
97.950,35
98.970,32
99.747,34
100.947,29
101.801,33
102.723,40
103.897,69
104.777,63
105.652,40
106.873,34
107.944,35
108.869,41
109.879,28
110.771,39
111.648,53
112.818,65
113.991,78
114.622,68
115.938,70
116.812,73
117.741,73
118.814,67
119.835,70
120.664,76
121.787,78
122.663,79
123.543,78
124.955,78
125.640,79
126.517,79
127.733,74
128.617,60
129.491,49
131.001,50
131.587,47
132.759,50
133.644,49
134.853,59
135.630,74
136.657,72
137.535,77
138.655,80
139.633,78
140.511,77
141.386,77
142.605,75
143.774,75
144.360,74
145.578,78
146.456,78
147.333,74
148.600,71
149.430,75
150.404,74
151.871,79
152.598,74
153.334,72
154.843,73
155.429,72
156.552,60
157.815,47
158.351,39
159.230,39
160.461,36
161.422,50
162.205,56
163.470,54
164.302,30
165.226,25
166.395,30
167.357,29
168.199,31
169.369,41
170.392,46
171.218,67
172.373,62
173.269,31
174.146,0
175.316,0
176.245,25
177.165,28
178.330,23
179.265,25
180.094,22
181.264,33
182.284,40
183.068,41
184.237,48
185.553,46
186.430,25
187.503,0
188.138,33
189.120,34
190.201,27
191.114,55
191.997,53
193.159,67
194.134,71
195.158,61
196.226,41
197.107,47
198.138,49
199.550,47
200.078,54
200.913,77
202.518,80
203.152,81
203.978,83
205.104,80
206.223,75
206.903,71
208.080,73
209.202,46
209.857,44
211.109,46
211.931,37
212.851,26
214.027,27
214.901,29
215.971,30
217.341,32
217.939,39
218.801,25
220.066,0
220.949,0
221.777,30
223.043,0
223.873,0
224.800,24
225.926,28
226.939,40
227.725,46
228.958,14
229.819,17
230.949,0
231.915,0
232.792,0
233.813,0
234.840,20
235.861,20
236.670,30
237.814,28
238.740,23
239.810,22
240.838,23
241.719,29
242.591,27
243.869,0
244.688,0
245.566,0
246.784,0
247.661,38
248.539,39
249.758,33
251.219,25
251.515,44
252.732,65
253.849,53
254.486,45
255.754,49
256.782,56
257.539,54
258.725,45
259.557,35
260.490,23
261.653,23
262.530,22
263.459,34
264.724,37
265.508,50
266.481,56
267.746,44
268.478,46
269.404,46
270.620,42
271.501,46
272.378,70
273.550,77
274.569,30
275.351,0
276.521,0
277.499,0
278.380,0
279.688,1
280.422,0
281.299,0
282.542,0
283.396,4
284.276,32
285.494,30
286.415,34
287.293,49
288.469,51
289.348,61
290.223,55
291.441,64
292.317,62
293.535,60
294.416,63
295.324,65
296.168,57
297.386,51
298.264,49
299.191,59
300.363,41
301.394,43
302.356,34
303.334,0
304.212,0
305.184,6
306.308,0
307.378,45
308.310,45
309.282,60
310.208,63
311.134,62
312.280,34
313.325,0
314.354,0
315.238,0
316.155,0
317.046,0
318.260,0
319.224,0
320.035,0
321.226,0
322.133,0
323.057,24
324.296,44
325.077,58
326.100,64
327.175,56
328.050,25
328.932,18
330.147,0
331.268,20
331.902,22
333.266,29
334.293,37
334.875,58
336.289,71
336.975,73
337.949,66
339.166,60
340.142,49
340.921,51
342.051,38
343.062,34
343.945,37
345.024,35
345.893,0
346.820,0
348.525,0
348.869,28
349.888,27
350.964,35
351.984,61
352.767,45
354.034,28
354.861,23
355.741,0
356.961,0
357.932,0
358.717,0
359.886,0
360.815,0
361.839,29
362.860,29
363.787,28
364.664,33
365.890,34
366.902,0
367.638,2
368.900,3
369.878,6
370.708,0
371.830,25
372.706,35
373.876,59
374.818,54
375.679,49
376.724,0
377.776,0
378.681,14
379.577,11
380.750,8
381.627,16
382.700,55
383.723,51
384.624,28
385.527,35
386.849,29
387.577,25
388.513,36
389.912,31
390.889,43
391.476,2
392.645,15
393.568,2
394.449,0
395.645,0
396.545,0
397.423,41
398.592,50
399.519,47
400.396,55
401.566,31
402.588,41
403.513,51
404.686,33
405.470,38
406.370,31
407.516,37
408.443,35
409.318,48
410.497,55
411.416,50
412.385,27
413.464,0
414.628,0
415.265,0
416.646,0
417.653,45
418.387,70
419.409,74
420.335,75
421.213,82
422.431,81
423.553,78
424.186,77
425.746,68
426.283,69
427.190,71
428.382,49
429.305,46
430.134,47
