df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,rr_int
9.417,3910
9.466,10
9.513,170
9.516,10
11.174,665
11.902,950
12.779,840
13.561,805
13.852,795
14.488,245
15.363,580
15.405,825
15.509,205
15.512,10
15.527,10
15.948,10
16.631,495
17.459,770
18.386,805
19.263,875
19.410,880
20.092,210
20.974,630
22.093,835
22.585,860
23.407,835
24.674,825
24.677,1270
24.723,15
24.772,10
24.775,10
24.823,10
25.000,245
26.039,875
26.043,205
26.238,10
26.624,10
27.502,595
28.135,800
29.016,750
29.988,870
30.994,935
31.745,960
32.767,910
33.697,925
34.619,965
35.501,930
36.423,950
37.155,815
38.043,825
38.861,845
39.739,890
40.616,865
41.788,880
42.328,895
43.154,865
43.979,800
44.808,845
45.783,885
45.929,860
46.589,240
47.441,585
48.367,870
49.098,870
49.929,815
50.804,845
51.633,870
52.490,860
53.291,835
54.119,850
54.948,860
55.248,825
55.826,215
56.606,620
57.434,855
58.263,850
59.141,795
59.972,825
60.798,860
61.481,845
62.309,765
63.193,795
63.974,830
64.698,825
65.527,730
66.210,770
66.895,785
67.575,685
68.208,650
68.845,645
69.720,690
70.353,755
71.183,795
71.969,745
72.742,740
73.450,785
73.717,815
74.257,220
75.082,550
75.765,715
76.593,795
77.422,815
78.329,880
78.543,880
78.592,205
78.595,10
79.128,15
79.957,550
80.639,810
81.515,820
82.298,825
83.131,830
84.013,815
84.832,845
85.127,845
85.181,255
85.661,20
86.346,500
87.855,780
88.732,1540
88.976,810
88.979,255
89.415,10
89.658,430
89.663,225
90.098,30
90.975,475
91.950,830
92.613,880
92.880,850
93.575,250
94.388,605
95.216,920
96.191,810
96.630,955
96.923,465
97.848,335
97.998,860
98.287,255
98.582,170
99.410,330
100.091,795
100.238,755
100.383,200
100.432,15
100.980,10
101.749,555
102.480,830
102.728,815
103.260,195
104.137,585
104.382,845
104.485,340
104.820,10
105.502,345
106.185,665
106.916,690
107.748,725
108.281,795
108.287,625
108.428,10
108.433,185
110.085,880
111.060,820
111.891,845
112.620,840
113.474,820
114.179,800
115.210,735
115.697,760
116.471,780
116.817,815
117.335,220
118.129,630
119.007,875
119.842,805
120.669,830
121.492,850
121.795,870
122.370,235
123.296,605
124.174,865
125.003,880
125.831,855
126.613,840
126.904,830
127.441,315
128.269,520
129.829,810
130.658,1625
131.487,765
132.316,840
133.144,835
133.974,865
134.859,825
135.097,855
135.638,215
136.508,655
137.336,860
138.313,840
139.142,890
139.822,850
140.687,800
140.986,850
141.004,200
141.239,15
141.243,15
141.480,10
142.336,595
143.138,775
143.966,800
144.697,820
144.800,765
145.556,160
146.355,635
147.184,815
148.012,865
148.696,830
149.670,820
150.422,845
151.190,785
152.059,775
152.887,820
153.619,845
154.399,830
155.374,840
155.666,885
155.688,310
156.102,10
156.886,425
157.037,765
157.324,235
157.330,10
158.299,455
159.079,750
159.274,710
159.328,260
159.664,10
160.396,405
161.224,735
162.053,820
162.735,835
163.174,775
163.568,355
164.006,490
164.393,320
165.421,460
165.809,860
165.812,195
165.953,70
166.782,470
167.467,770
168.147,750
168.878,685
169.560,685
170.408,745
171.223,820
171.901,850
171.949,605
172.339,15
173.704,500
174.046,1285
174.050,290
174.289,335
175.508,600
175.995,655
176.191,270
176.775,335
177.068,640
177.071,340
177.116,10
177.170,15
177.218,15
177.263,10
177.266,10
177.320,65
177.347,10
177.653,10
178.286,315
178.582,790
179.164,270
179.948,535
180.676,850
180.971,930
182.625,890
182.869,905
182.873,190
182.918,35
183.456,10
183.467,585
183.552,15
183.601,15
183.703,80
183.760,15
183.782,15
183.785,20
183.789,30
183.795,20
183.799,10
183.802,10
183.806,10
184.283,10
185.674,525
186.626,1405
187.208,745
188.184,875
189.113,850
190.084,970
191.059,1000
191.355,965
191.937,305
192.863,645
193.842,945
194.525,930
195.398,750
196.232,795
197.203,945
198.177,970
199.006,905
199.981,895
200.956,925
201.784,945
202.760,945
203.686,890
203.832,950
203.835,255
203.881,10
205.539,700
206.465,940
207.344,900
207.394,830
207.440,10
208.025,210
208.317,500
208.707,370
209.536,435
210.657,855
212.076,1090
212.363,1410
212.462,330
213.582,450
213.875,715
214.264,280
215.093,475
215.385,765
215.389,325
215.776,10
216.507,360
217.534,775
218.847,780
219.434,1610
219.751,265
220.504,500
220.797,870
220.802,240
220.845,10
222.117,10
222.210,1305
222.280,10
222.320,140
222.335,10
222.895,10
222.942,605
223.048,10
223.091,185
223.094,15
223.722,20
224.112,580
224.407,470
225.233,310
225.528,865
226.501,285
226.648,945
226.793,225
226.799,10
226.842,50
226.947,145
229.913,1330
231.230,1645
231.572,1295
232.207,285
233.108,485
233.472,1030
233.818,520
233.821,240
233.824,10
234.301,10
234.983,485
234.990,710
235.132,10
235.188,170
235.196,10
235.209,10
235.223,10
235.281,10
235.312,10
235.373,260
237.328,495
237.762,1410
238.054,395
239.566,385
239.571,1505
239.815,10
240.687,265
242.345,850
243.466,1715
244.148,1035
244.154,780
244.294,10
244.299,10
244.441,95
244.538,280
244.542,10
245.306,335
245.660,360
