df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,acc_mag
15.176,1.013
15.206,1.015
15.236,1.013
15.266,1.016
15.296,1.008
15.326,1.015
15.356,1.024
15.386,1.009
15.416,1.011
15.446,1.013
15.476,1.004
15.506,1.024
15.536,1.020
15.566,1.013
15.596,1.009
15.626,1.012
15.656,1.020
15.686,1.020
15.716,1.013
15.746,1.021
15.776,1.006
15.806,1.009
15.836,1.019
15.866,1.019
15.896,1.016
15.926,1.009
15.956,1.020
15.986,1.013
16.016,1.012
16.046,1.009
16.076,1.003
16.106,1.021
16.136,1.018
16.166,1.024
16.196,1.006
16.226,1.002
16.256,1.022
16.286,1.016
16.316,1.008
16.346,1.016
16.376,1.017
16.406,1.018
16.436,1.014
16.466,1.012
16.496,1.015
16.526,1.016
16.556,1.016
16.586,1.012
16.616,1.014
16.646,1.015
16.676,1.008
16.706,1.008
16.736,1.021
16.766,1.015
16.796,1.008
16.826,1.009
16.856,1.019
16.886,1.012
16.916,1.019
16.946,1.008
16.976,1.019
17.006,1.017
17.036,1.008
17.066,1.015
17.096,1.015
17.126,1.016
17.156,1.018
17.186,1.013
17.216,1.016
17.246,1.013
17.276,1.007
17.306,1.016
17.336,1.018
17.366,1.013
17.396,1.010
17.426,1.012
17.456,1.018
17.486,1.021
17.516,1.011
17.546,1.021
17.576,1.015
17.606,1.008
17.636,1.015
17.666,1.010
17.696,1.018
17.726,1.020
17.756,1.015
17.786,1.014
17.816,1.010
17.846,1.005
17.876,1.021
17.906,1.018
17.936,1.007
17.966,1.017
17.996,1.010
18.026,1.012
18.056,1.020
18.086,1.007
18.116,1.020
18.146,1.013
18.176,1.007
18.206,1.016
18.236,1.007
18.266,1.022
18.296,1.013
18.326,1.015
18.356,1.015
18.386,1.008
18.416,1.014
18.446,1.018
18.476,1.026
18.506,1.006
18.536,1.014
18.566,1.018
18.596,1.012
18.626,1.015
18.656,1.010
18.686,1.014
18.716,1.018
18.746,1.011
18.776,1.010
18.806,1.011
18.836,1.019
18.866,1.013
18.896,1.017
18.926,1.016
18.956,1.016
18.986,1.012
19.016,1.013
19.046,1.013
19.076,1.018
19.106,1.017
19.136,1.010
19.166,1.012
19.196,1.016
19.226,1.015
19.256,1.015
19.286,1.013
19.316,1.021
19.346,1.008
19.376,1.012
19.406,1.019
19.436,1.004
19.466,1.009
19.496,1.022
19.526,1.017
19.556,1.015
19.586,1.012
19.616,1.014
19.646,1.020
19.676,1.015
19.706,1.006
19.736,1.006
19.766,1.016
19.796,1.024
19.826,1.013
19.856,1.011
19.886,1.008
19.916,1.016
19.946,1.016
19.976,1.014
20.006,1.016
20.036,1.015
20.066,1.019
20.096,1.019
20.126,1.013
20.156,1.015
20.186,1.011
20.216,1.013
20.246,1.027
20.276,1.014
20.306,1.010
20.336,1.008
20.366,1.023
20.396,1.013
20.426,1.013
20.456,1.018
20.486,1.020
20.516,1.019
20.546,1.011
20.576,1.016
20.606,1.017
20.636,1.012
20.666,1.021
20.696,1.015
20.726,1.011
20.756,1.013
20.786,1.015
20.816,1.021
20.846,1.008
20.876,1.017
20.906,1.011
20.936,1.011
20.966,1.023
20.996,1.010
21.026,1.012
21.056,1.020
21.086,1.012
21.116,1.018
21.146,1.011
21.176,1.021
21.206,1.019
21.236,1.013
21.266,1.012
21.296,1.018
21.326,1.012
21.356,1.013
21.386,1.021
21.416,1.016
21.446,1.014
21.476,1.009
21.506,1.016
21.536,1.015
21.566,1.017
21.596,1.009
21.626,1.017
21.656,1.019
21.686,1.012
21.716,1.019
21.746,1.009
21.776,1.015
21.806,1.022
21.836,1.017
21.866,1.012
21.896,1.008
21.926,1.021
21.956,1.008
21.986,1.021
22.016,1.019
22.046,1.011
22.076,1.015
22.106,1.010
22.136,1.013
22.166,1.014
22.196,1.011
22.226,1.022
22.256,1.014
22.286,1.012
22.316,1.013
22.346,1.020
22.376,1.014
22.406,1.014
22.436,1.021
22.466,1.020
22.496,1.008
22.526,1.013
22.556,1.020
22.586,1.018
22.616,1.016
22.646,1.008
22.676,1.015
22.706,1.015
22.736,1.018
22.766,1.024
22.796,1.005
22.826,1.019
22.856,1.014
22.886,1.010
22.916,1.017
22.946,1.014
22.976,1.015
23.006,1.015
23.036,1.019
23.066,1.011
23.096,1.013
23.126,1.014
23.156,1.023
23.186,1.018
23.216,1.017
23.246,1.009
23.276,1.010
23.306,1.021
23.336,1.023
23.366,1.017
23.396,1.015
23.426,1.014
23.456,1.020
23.486,1.014
23.516,1.015
23.546,1.015
23.576,1.013
23.606,1.023
23.636,1.016
23.666,1.010
23.696,1.014
23.726,1.008
23.756,1.017
23.786,1.021
23.816,1.021
23.846,1.012
23.876,1.019
23.906,1.017
23.936,1.010
23.966,1.012
23.996,1.019
24.026,1.019
24.056,1.012
24.086,1.010
24.116,1.017
24.146,1.022
24.176,1.014
24.206,1.021
24.236,1.019
24.266,1.016
24.296,1.012
24.326,1.019
24.356,1.023
24.386,1.011
24.416,1.020
24.446,1.025
24.476,1.013
24.506,1.010
24.536,1.018
24.566,1.020
