df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
16.115,75,75,0
16.700,150,75,1
17.581,225,75,2
18.163,300,75,3
19.040,375,75,4
19.674,450,75,5
20.551,525,75,6
21.136,600,75,7
22.063,675,75,8
22.696,750,75,9
23.572,825,75,10
24.110,900,75,11
25.037,975,75,12
25.625,1050,75,13
26.503,1125,75,14
27.084,1200,75,15
28.013,1275,75,16
28.595,1350,75,17
29.475,1425,75,18
30.108,1500,75,19
31.008,1575,75,20
31.585,1650,75,21
32.501,1725,75,22
33.080,1800,75,23
34.103,1875,75,24
34.543,1950,75,25
35.421,2025,75,26
36.295,2100,75,27
37.175,2175,75,28
38.002,2250,75,29
38.443,2325,75,30
39.028,2400,75,31
39.905,2475,75,32
40.884,2550,75,33
41.416,2625,75,34
42.002,2700,75,35
42.928,2775,75,36
43.512,2850,75,37
44.390,2925,75,38
44.975,3000,75,39
45.853,3075,75,40
46.533,3150,75,41
47.364,3225,75,42
47.949,3300,75,43
48.827,3375,75,44
49.512,3450,75,45
50.338,3525,75,46
50.923,3600,75,47
51.803,3675,75,48
52.437,3750,75,49
53.312,3825,75,50
53.945,3900,75,51
55.113,3975,75,52
55.410,4050,75,53
56.341,4125,75,54
56.918,4200,75,55
57.846,4275,75,56
58.382,4350,75,57
59.290,4425,75,58
59.870,4500,75,59
60.770,4575,75,60
61.404,4650,75,61
62.233,4725,75,62
62.818,4800,75,63
63.744,4875,75,64
64.352,4950,75,65
65.496,5025,75,66
65.939,5100,75,67
66.721,5175,75,68
67.449,5250,75,69
68.181,5325,75,70
68.863,5400,75,71
69.745,5475,75,72
70.303,5550,75,73
71.154,5625,75,74
71.837,5700,75,75
72.814,5775,75,76
73.252,5850,75,77
74.280,5925,75,78
74.762,6000,75,79
75.688,6075,75,80
76.224,6150,75,81
77.157,6225,75,82
77.736,6300,75,83
78.616,6375,75,84
79.344,6450,75,85
80.173,6525,75,86
80.709,6600,75,87
81.587,6675,75,88
82.228,6750,75,89
83.098,6825,75,90
83.683,6900,75,91
84.658,6975,75,92
85.202,7050,75,93
86.174,7125,75,94
86.663,7200,75,95
87.609,7275,75,96
88.364,7350,75,97
89.094,7425,75,98
89.631,7500,75,99
90.654,7575,75,100
91.220,7650,75,101
92.137,7725,75,102
92.630,7800,75,103
93.535,7875,75,104
94.157,7950,75,105
95.042,8025,75,106
95.602,8100,75,107
96.651,8175,75,108
97.093,8250,75,109
97.967,8325,75,110
98.651,8400,75,111
99.483,8475,75,112
100.065,8550,75,113
101.003,8625,75,114
101.575,8700,75,115
102.457,8775,75,116
103.039,8850,75,117
103.924,8925,75,118
104.549,9000,75,119
105.716,9075,75,120
106.303,9150,75,121
107.032,9225,75,122
107.522,9300,75,123
108.400,9375,75,124
109.082,9450,75,125
110.249,9525,75,126
110.594,9600,75,127
111.520,9675,75,128
111.967,9750,75,129
113.323,9825,75,130
113.759,9900,75,131
114.406,9975,75,132
114.940,10050,75,133
115.858,10125,75,134
116.507,10200,75,135
117.377,10275,75,136
118.195,10350,75,137
118.978,10425,75,138
119.712,10500,75,139
120.295,10575,75,140
120.977,10650,75,141
121.953,10725,75,142
122.391,10800,75,143
123.276,10875,75,144
123.903,10950,75,145
124.781,11025,75,146
125.462,11100,75,147
126.248,11175,75,148
126.900,11250,75,149
127.821,11325,75,150
128.339,11400,75,151
129.217,11475,75,152
129.907,11550,75,153
130.727,11625,75,154
131.312,11700,75,155
132.480,11775,75,156
132.829,11850,75,157
133.798,11925,75,158
134.291,12000,75,159
135.212,12075,75,160
135.880,12150,75,161
136.844,12225,75,162
137.260,12300,75,163
138.186,12375,75,164
138.783,12450,75,165
139.649,12525,75,166
140.380,12600,75,167
141.160,12675,75,168
141.762,12750,75,169
142.688,12825,75,170
143.231,12900,75,171
144.182,12975,75,172
145.106,13050,75,173
145.596,13125,75,174
146.230,13200,75,175
147.108,13275,75,176
