df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,heart_rate
25.326,102
26.246,103
27.424,103
28.300,104
29.177,105
30.396,104
31.322,103
32.154,102
33.370,102
34.394,103
35.125,104
36.355,103
37.221,103
38.150,103
39.318,103
40.198,103
41.121,103
42.487,103
43.169,98
44.095,100
45.292,99
46.143,99
47.069,102
48.239,103
49.116,104
50.060,105
51.261,106
52.291,108
53.263,109
54.186,110
55.136,109
55.990,108
57.214,106
58.135,105
58.964,106
60.134,105
61.093,105
61.938,105
63.156,105
64.329,105
64.911,105
66.130,102
67.008,101
67.890,100
69.108,99
70.030,98
70.860,97
72.103,97
72.989,96
73.909,96
75.051,96
75.929,97
76.855,97
78.026,97
78.914,97
79.975,97
81.001,97
82.221,97
82.900,97
83.999,97
85.194,97
85.777,97
86.947,97
87.873,98
88.750,98
90.075,98
90.895,97
91.724,97
93.047,96
93.820,96
94.797,97
95.917,98
96.844,98
97.672,97
98.890,95
99.768,93
100.938,94
101.867,93
102.755,95
103.914,95
104.842,96
105.745,96
106.593,96
107.963,96
108.787,97
109.911,98
110.834,98
111.958,97
112.593,96
113.810,96
114.932,96
115.758,96
116.757,97
117.673,98
118.541,98
120.098,98
120.653,97
121.586,97
122.778,97
123.659,97
124.484,97
125.950,97
126.581,97
127.463,97
128.875,98
129.558,98
130.505,98
131.602,97
132.528,97
133.479,97
134.579,98
135.846,98
136.379,97
137.549,97
138.771,96
139.353,97
140.572,97
141.745,97
142.381,97
143.546,97
144.720,97
145.301,97
146.544,97
147.397,97
148.323,98
149.650,98
150.371,97
151.492,95
152.519,94
153.393,92
154.319,92
155.491,91
156.388,92
157.547,92
158.441,93
159.318,94
160.244,95
161.442,96
162.266,98
163.192,99
164.407,100
165.386,101
166.166,101
167.342,101
168.267,101
169.144,101
170.310,101
171.238,101
172.114,101
173.340,101
174.258,100
175.090,99
176.306,99
177.184,99
178.405,99
179.281,99
180.206,97
181.108,96
182.253,95
183.136,95
184.058,96
185.227,96
186.400,97
187.031,97
188.201,97
189.084,97
190.203,97
191.175,97
192.052,97
192.987,97
194.149,97
195.123,96
195.953,95
197.123,95
198.049,94
198.926,95
200.145,95
201.030,96
201.928,97
203.142,97
203.996,97
204.971,97
206.387,97
206.970,97
207.847,97
209.066,99
209.947,100
210.821,101
212.040,103
212.918,104
213.800,105
215.039,104
215.918,104
216.769,103
217.988,102
218.962,102
219.840,102
220.969,102
221.839,102
222.814,102
224.228,102
224.910,102
225.746,104
226.958,105
227.835,107
228.713,107
229.931,108
230.906,107
231.690,107
232.905,111
233.783,113
234.664,115
235.928,115
236.758,116
237.634,115
238.853,116
239.730,116
240.903,116
241.827,116
242.999,118
243.581,119
244.800,120
245.678,120
246.607,119
247.774,119
248.653,119
249.578,119
251.139,119
251.629,119
252.552,118
253.722,117
254.599,115
255.525,114
256.695,113
257.627,113
258.499,113
259.677,113
260.595,114
261.479,114
262.643,114
263.570,113
264.450,112
265.638,111
266.546,111
267.422,112
268.643,112
269.663,113
270.396,113
271.640,113
272.543,113
273.368,113
274.587,114
275.468,114
276.342,116
277.560,118
278.441,120
279.382,121
280.534,122
281.412,121
282.485,120
283.531,119
284.386,118
285.312,118
286.534,118
287.359,119
288.286,119
289.456,120
290.431,120
291.268,120
292.455,120
293.310,119
294.251,119
295.452,118
296.329,118
297.207,118
298.383,118
299.352,118
300.229,118
301.449,117
302.280,117
303.154,117
304.324,117
305.318,117
306.128,118
307.326,119
308.224,120
309.151,120
310.321,121
311.221,121
312.076,121
313.295,121
314.319,121
315.050,121
316.268,121
317.153,121
318.027,121
319.248,121
320.137,120
321.046,119
322.380,117
323.093,115
324.120,114
325.239,113
326.165,113
327.042,112
328.192,112
329.041,112
330.065,112
331.137,112
332.063,112
332.941,112
334.111,113
335.043,114
335.915,115
337.085,116
338.011,116
338.911,116
340.058,116
340.985,116
341.878,116
343.032,117
344.025,117
344.836,117
346.027,117
346.932,116
347.810,115
349.030,115
349.906,115
350.855,115
352.011,116
352.977,116
353.757,116
355.028,116
355.902,116
356.877,116
357.999,116
358.827,116
359.851,116
360.924,116
361.801,116
362.710,116
363.897,116
364.775,116
365.848,115
367.166,115
367.777,115
368.873,115
369.894,115
370.771,114
371.701,114
372.819,114
373.843,114
374.623,113
375.845,112
376.963,111
377.794,111
378.843,112
379.718,113
380.570,114
381.748,114
382.617,114
383.544,114
396.709,116
397.587,116
398.469,116
399.683,116
400.560,116
401.438,116
402.667,116
403.536,115
404.411,115
405.728,114
406.531,114
407.385,114
408.701,114
409.482,115
410.359,115
411.627,116
412.602,117
413.434,118
414.605,119
415.429,120
416.355,120
417.526,121
418.403,121
419.476,122
420.514,122
421.428,121
422.449,121
423.570,121
424.497,116
425.289,114
426.495,116
427.471,115
428.275,115
429.469,108
430.445,106
431.419,105
432.394,105
433.468,104
434.198,103
435.515,102
436.392,102
437.220,101
438.413,101
439.271,101
440.441,101
441.315,102
442.266,102
443.119,102
444.289,101
445.216,99
446.121,97
447.263,96
448.213,95
449.067,95
450.237,97
451.212,98
