df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,respiration_rate
77.811,13
82.091,13
86.351,13
90.781,13
94.961,14
99.051,16
103.311,16
107.551,16
137.801,17
142.071,16
150.941,14
155.541,13
159.861,12
163.901,13
168.061,13
172.161,15
176.421,15
181.011,15
193.991,14
215.641,15
219.811,16
223.931,16
228.291,17
232.321,17
236.891,17
448.869,18
452.999,18
457.169,17
461.619,17
465.869,17
469.989,17
474.049,16
