df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,spo2
32.447,99
32.842,99
33.516,99
34.250,99
34.641,99
35.276,99
36.055,99
36.344,99
36.883,99
37.422,99
38.054,99
38.688,99
39.369,99
41.468,99
42.294,99
42.733,99
43.269,99
43.806,99
44.786,99
45.902,99
47.269,99
47.706,98
49.805,99
50.243,99
51.314,99
51.948,99
52.489,98
53.019,98
53.557,99
54.093,99
54.782,99
55.555,99
56.043,99
56.628,99
57.164,99
57.797,99
58.285,99
58.774,99
59.360,99
60.091,99
62.283,99
62.872,99
63.406,99
63.991,99
64.527,98
65.209,98
65.966,98
66.476,98
67.159,98
67.742,98
68.428,98
68.961,98
69.644,98
70.229,98
70.912,98
71.553,98
72.470,98
72.864,98
73.300,98
74.081,98
74.521,98
75.204,98
75.786,98
76.322,98
76.910,98
77.589,98
78.273,98
78.858,98
79.395,98
79.991,98
80.515,98
81.243,98
81.885,98
82.513,98
83.001,98
83.729,98
84.269,98
84.850,98
85.533,98
86.076,98
86.615,98
87.385,98
87.928,98
88.559,98
89.242,98
89.827,98
90.603,98
91.095,98
91.630,98
92.362,98
92.946,98
93.479,98
93.970,98
94.747,98
95.253,98
95.968,98
96.794,98
97.480,98
98.020,98
98.844,98
99.333,98
99.820,98
100.405,98
100.990,98
101.624,99
102.306,99
102.937,99
103.574,99
104.256,99
104.697,99
105.435,99
106.156,99
107.913,99
109.664,99
111.029,99
111.569,99
112.105,99
112.837,99
113.526,99
113.954,99
114.641,99
115.174,99
115.810,99
116.444,100
116.932,100
117.659,100
118.296,100
119.019,100
119.486,100
120.148,100
120.736,100
121.224,100
121.858,100
122.538,100
123.220,100
123.772,100
124.436,100
125.040,100
125.706,100
126.146,100
126.633,100
127.315,100
128.044,100
128.632,100
129.164,100
129.898,100
130.437,100
131.114,100
131.654,100
132.287,100
132.727,100
133.361,100
134.043,100
135.409,100
135.989,100
136.529,100
137.796,100
138.334,100
139.064,100
140.137,100
140.822,100
141.407,100
141.943,100
142.671,100
143.319,100
143.989,100
144.472,100
145.157,100
145.739,100
146.260,100
146.766,100
147.498,100
148.034,100
148.717,100
149.448,100
150.130,100
150.813,100
151.642,100
152.272,100
152.808,100
153.446,100
154.714,100
155.414,100
155.932,100
156.663,100
157.245,100
157.933,100
158.470,100
159.100,100
159.734,100
160.665,100
161.393,100
161.928,100
162.510,100
163.051,100
163.625,100
164.173,100
164.855,100
165.484,100
165.976,100
166.657,100
167.196,100
167.826,100
168.458,100
168.911,100
169.484,100
170.705,100
171.296,100
171.923,100
172.653,100
173.189,100
173.778,100
174.311,100
177.427,100
178.792,100
179.524,100
180.015,100
180.698,100
181.234,100
181.818,100
182.357,100
183.039,99
183.629,99
184.158,99
184.842,99
185.426,99
186.157,98
186.791,98
187.421,98
187.944,98
188.595,98
189.421,98
190.105,98
190.405,98
190.983,98
191.809,98
192.251,98
192.947,98
193.617,98
194.201,98
195.002,98
195.423,98
196.155,98
196.838,98
197.369,98
198.686,98
199.711,98
200.441,98
200.977,98
201.562,98
202.245,98
202.781,98
203.513,98
204.097,98
204.925,98
207.701,98
209.362,98
211.410,98
211.948,98
213.259,98
213.763,98
215.071,98
216.915,98
218.524,98
219.599,98
220.961,98
225.934,98
231.101,98
231.492,98
232.567,98
247.533,98
248.123,98
248.509,99
249.239,99
249.630,99
250.069,99
251.872,99
252.116,98
252.701,98
253.237,98
253.825,98
257.577,98
259.624,98
260.258,98
260.648,98
261.185,98
261.768,98
262.306,98
265.519,98
266.059,98
266.838,98
267.576,98
268.107,98
268.791,98
269.322,98
269.812,98
270.251,98
270.768,98
272.299,98
277.664,98
278.100,98
278.541,98
279.077,98
280.050,98
282.149,98
282.733,98
283.803,98
284.779,98
285.218,99
285.697,99
286.777,99
291.259,99
292.192,99
292.766,99
293.144,99
293.795,99
294.138,99
295.211,99
297.701,99
301.305,99
302.721,99
305.206,99
306.181,99
306.766,99
309.643,99
310.145,99
310.617,99
311.201,99
311.640,99
312.178,99
315.345,99
316.512,98
317.146,98
317.784,98
319.148,98
319.684,98
321.878,98
323.000,98
325.677,98
326.754,98
327.192,98
334.943,98
335.963,98
337.578,98
341.476,98
343.136,98
343.721,98
345.815,98
351.325,98
351.910,99
362.240,99
368.435,99
369.000,99
370.384,99
374.433,99
377.204,99
377.556,99
378.021,99
379.598,99
381.156,99
381.740,98
395.970,98
399.934,98
402.614,98
403.827,98
405.244,98
411.825,97
412.994,97
413.726,97
415.676,97
420.113,97
420.746,97
422.550,98
422.937,98
423.428,98
423.964,98
424.552,98
425.232,98
427.209,99
427.962,99
428.498,99
428.986,99
430.253,99
431.277,99
431.764,99
432.543,99
433.079,99
433.808,99
434.260,99
434.884,99
435.372,99
436.056,99
436.684,99
437.415,99
437.859,99
438.783,99
439.021,99
439.807,99
440.102,99
440.785,99
441.416,99
441.904,99
442.443,99
442.729,99
443.899,99
444.536,99
445.267,99
445.904,99
446.517,99
450.631,99
451.410,99
454.141,99
454.820,99
455.307,99
455.800,99
459.454,99
459.548,99
460.721,99
461.356,99
462.038,99
462.722,99
463.306,99
463.842,99
464.523,99
465.012,99
465.547,99
466.230,99
466.965,99
467.742,99
469.009,99
470.276,99
470.816,99
473.153,99
