df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.848,75,75,0
6.433,150,75,1
7.310,225,75,2
7.895,300,75,3
8.824,375,75,4
9.407,450,75,5
10.286,525,75,6
11.016,600,75,7
11.795,675,75,8
12.429,750,75,9
13.258,825,75,10
13.940,900,75,11
14.769,975,75,12
15.354,1050,75,13
16.232,1125,75,14
16.865,1200,75,15
17.743,1275,75,16
18.328,1350,75,17
19.206,1425,75,18
19.888,1500,75,19
20.717,1575,75,20
21.305,1650,75,21
22.229,1725,75,22
22.911,1800,75,23
23.712,1875,75,24
24.327,1950,75,25
25.202,2025,75,26
25.787,2100,75,27
26.664,2175,75,28
27.298,2250,75,29
28.245,2325,75,30
28.761,2400,75,31
29.639,2475,75,32
30.272,2550,75,33
31.149,2625,75,34
31.735,2700,75,35
32.661,2775,75,36
33.246,2850,75,37
34.124,2925,75,38
34.726,3000,75,39
35.634,3075,75,40
36.239,3150,75,41
37.097,3225,75,42
37.682,3300,75,43
38.704,3375,75,44
39.193,3450,75,45
40.197,3525,75,46
40.713,3600,75,47
41.582,3675,75,48
42.167,3750,75,49
43.100,3825,75,50
43.678,3900,75,51
44.559,3975,75,52
45.238,4050,75,53
46.067,4125,75,54
46.652,4200,75,55
47.529,4275,75,56
48.163,4350,75,57
49.041,4425,75,58
49.626,4500,75,59
50.503,4575,75,60
51.140,4650,75,61
52.015,4725,75,62
52.600,4800,75,63
53.526,4875,75,64
54.111,4950,75,65
55.010,5025,75,66
55.573,5100,75,67
56.517,5175,75,68
57.167,5250,75,69
57.965,5325,75,70
58.597,5400,75,71
59.473,5475,75,72
60.059,5550,75,73
60.936,5625,75,74
61.570,5700,75,75
62.496,5775,75,76
63.050,5850,75,77
63.959,5925,75,78
64.544,6000,75,79
65.421,6075,75,80
66.034,6150,75,81
66.939,6225,75,82
67.517,6300,75,83
68.395,6375,75,84
69.077,6450,75,85
69.906,6525,75,86
70.512,6600,75,87
71.370,6675,75,88
72.004,6750,75,89
72.880,6825,75,90
73.465,6900,75,91
74.391,6975,75,92
74.976,7050,75,93
75.871,7125,75,94
76.439,7200,75,95
77.365,7275,75,96
77.952,7350,75,97
78.827,7425,75,98
79.461,7500,75,99
80.356,7575,75,100
80.924,7650,75,101
81.849,7725,75,102
82.435,7800,75,103
83.312,7875,75,104
83.897,7950,75,105
84.824,8025,75,106
85.410,8100,75,107
86.286,8175,75,108
86.900,8250,75,109
87.797,8325,75,110
88.409,8400,75,111
89.260,8475,75,112
89.991,8550,75,113
90.774,8625,75,114
91.454,8700,75,115
92.282,8775,75,116
92.962,8850,75,117
93.747,8925,75,118
94.349,9000,75,119
95.256,9075,75,120
95.841,9150,75,121
96.767,9225,75,122
97.304,9300,75,123
98.230,9375,75,124
98.815,9450,75,125
99.692,9525,75,126
100.326,9600,75,127
101.204,9675,75,128
101.835,9750,75,129
102.715,9825,75,130
103.300,9900,75,131
104.177,9975,75,132
104.764,10050,75,133
105.689,10125,75,134
106.274,10200,75,135
107.171,10275,75,136
107.796,10350,75,137
108.663,10425,75,138
109.247,10500,75,139
110.126,10575,75,140
110.759,10650,75,141
111.685,10725,75,142
112.270,10800,75,143
113.152,10875,75,144
113.781,10950,75,145
114.610,11025,75,146
115.244,11100,75,147
116.122,11175,75,148
116.707,11250,75,149
117.584,11325,75,150
118.221,11400,75,151
119.095,11475,75,152
119.699,11550,75,153
120.558,11625,75,154
121.194,11700,75,155
122.070,11775,75,156
122.654,11850,75,157
123.581,11925,75,158
124.214,12000,75,159
125.048,12075,75,160
125.628,12150,75,161
126.554,12225,75,162
127.191,12300,75,163
128.125,12375,75,164
128.650,12450,75,165
129.528,12525,75,166
130.113,12600,75,167
131.039,12675,75,168
131.624,12750,75,169
132.523,12825,75,170
133.091,12900,75,171
134.012,12975,75,172
134.646,13050,75,173
135.475,13125,75,174
136.158,13200,75,175
136.986,13275,75,176
137.626,13350,75,177
138.498,13425,75,178
139.083,13500,75,179
139.960,13575,75,180
140.594,13650,75,181
