df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
6.043,215,73,2
6.450,289,74,3
6.725,363,74,4
7.165,437,74,5
7.554,511,74,6
7.847,585,74,7
8.285,659,74,8
8.675,733,74,9
8.972,807,74,10
9.358,881,74,11
9.844,955,74,12
10.089,1029,74,13
10.575,1103,74,14
11.069,1177,74,15
11.212,1251,74,16
11.602,1325,74,17
11.893,1399,74,18
12.283,1473,74,19
12.722,1547,74,20
13.014,1621,74,21
13.404,1695,74,22
13.892,1769,74,23
14.087,1843,74,24
14.525,1917,74,25
14.964,1991,74,26
15.209,2065,74,27
15.647,2139,74,28
16.083,2213,74,29
16.329,2287,74,30
16.815,2361,74,31
17.013,2435,74,32
17.452,2509,74,33
17.844,2583,74,34
18.134,2657,74,35
18.572,2731,74,36
18.962,2805,74,37
19.266,2879,74,38
19.742,2953,74,39
20.083,3027,74,40
20.379,3101,74,41
20.765,3175,74,42
21.205,3249,74,43
21.497,3323,74,44
21.888,3397,74,45
22.179,3471,74,46
22.620,3545,74,47
23.008,3619,74,48
23.349,3693,74,49
23.691,3767,74,50
24.129,3841,74,51
24.423,3915,74,52
24.812,3989,74,53
25.350,4063,74,54
25.495,4137,74,55
25.933,4211,74,56
26.324,4285,74,57
26.617,4359,74,58
27.054,4433,74,59
27.324,4507,74,60
27.737,4581,74,61
28.224,4655,74,62
28.419,4729,74,63
28.859,4803,74,64
29.248,4877,74,65
29.541,4951,74,66
30.033,5025,74,67
30.418,5099,74,68
30.662,5173,74,69
31.052,5247,74,70
31.491,5321,74,71
31.783,5395,74,72
32.173,5469,74,73
32.466,5543,74,74
32.904,5617,74,75
33.343,5691,74,76
33.587,5765,74,77
34.074,5839,74,78
34.416,5913,74,79
34.708,5987,74,80
35.098,6061,74,81
35.539,6135,74,82
35.780,6209,74,83
36.220,6283,74,84
36.707,6357,74,85
36.902,6431,74,86
37.341,6505,74,87
37.633,6579,74,88
38.029,6653,74,89
38.462,6727,74,90
38.723,6801,74,91
39.156,6875,74,92
39.535,6949,74,93
40.168,7023,74,94
40.275,7097,74,95
40.656,7171,74,96
40.948,7245,74,97
41.387,7319,74,98
41.777,7393,74,99
42.070,7467,74,100
42.459,7541,74,101
42.801,7615,74,102
43.196,7689,74,103
43.583,7763,74,104
43.873,7837,74,105
44.263,7911,74,106
44.702,7985,74,107
44.994,8059,74,108
45.387,8133,74,109
45.823,8207,74,110
46.116,8281,74,111
46.506,8355,74,112
46.945,8429,74,113
47.235,8503,74,114
47.627,8577,74,115
47.920,8651,74,116
48.310,8723,72,117
48.748,8797,74,118
48.992,8871,74,119
49.434,8945,74,120
49.869,9019,74,121
50.116,9093,74,122
50.552,9167,74,123
50.950,9241,74,124
51.332,9315,74,125
51.673,9389,74,126
51.917,9463,74,127
52.406,9537,74,128
52.794,9611,74,129
53.038,9685,74,130
53.477,9759,74,131
53.872,9833,74,132
54.162,9907,74,133
54.598,9981,74,134
54.988,10055,74,135
55.281,10129,74,136
55.672,10203,74,137
56.158,10277,74,138
56.406,10351,74,139
56.797,10425,74,140
57.133,10499,74,141
57.624,10573,74,142
57.917,10647,74,143
58.206,10720,73,144
58.650,10794,74,145
59.036,10868,74,146
59.328,10942,74,147
59.717,11016,74,148
60.156,11090,74,149
60.400,11164,74,150
60.841,11238,74,151
61.131,11312,74,152
61.521,11386,74,153
61.960,11460,74,154
62.301,11534,74,155
62.645,11608,74,156
63.081,11682,74,157
63.325,11756,74,158
63.763,11830,74,159
64.202,11904,74,160
64.446,11978,74,161
64.893,12052,74,162
65.282,12126,74,163
65.567,12200,74,164
66.007,12274,74,165
66.252,12348,74,166
66.689,12422,74,167
67.079,12496,74,168
67.371,12570,74,169
67.810,12644,74,170
68.200,12718,74,171
68.492,12792,74,172
68.931,12866,74,173
69.322,12940,74,174
69.613,13014,74,175
70.003,13088,74,176
70.491,13162,74,177
70.785,13236,74,178
71.271,13310,74,179
71.417,13384,74,180
71.856,13458,74,181
72.246,13532,74,182
72.539,13606,74,183
72.929,13680,74,184
73.416,13754,74,185
73.660,13828,74,186
74.050,13902,74,187
74.491,13976,74,188
74.781,14050,74,189
75.171,14124,74,190
75.610,14198,74,191
75.853,14272,74,192
76.341,14346,74,193
76.585,14420,74,194
76.979,14494,74,195
77.425,14568,74,196
77.663,14642,74,197
78.096,14716,74,198
78.535,14790,74,199
78.779,14864,74,200
79.217,14938,74,201
79.607,15012,74,202
79.949,15086,74,203
80.338,15160,74,204
80.729,15234,74,205
81.069,15308,74,206
81.411,15382,74,207
81.704,15456,74,208
82.144,15530,74,209
82.532,15604,74,210
82.874,15678,74,211
83.263,15752,74,212
83.654,15826,74,213
83.946,15900,74,214
84.336,15974,74,215
84.776,16048,74,216
85.067,16122,74,217
85.457,16196,74,218
85.945,16270,74,219
86.140,16344,74,220
86.580,16418,74,221
86.871,16492,74,222
87.261,16566,74,223
87.749,16640,74,224
87.992,16714,74,225
88.383,16788,74,226
88.821,16862,74,227
89.065,16936,74,228
89.508,17010,74,229
90.040,17084,74,230
90.187,17158,74,231
90.672,17232,74,232
91.016,17306,74,233
91.308,17380,74,234
91.746,17454,74,235
91.991,17528,74,236
92.428,17602,74,237
92.872,17676,74,238
93.159,17750,74,239
93.550,17824,74,240
93.940,17898,74,241
94.330,17972,74,242
94.671,18046,74,243
95.062,18120,74,244
95.354,18194,74,245
95.744,18268,74,246
96.184,18342,74,247
96.481,18416,74,248
96.865,18490,74,249
97.157,18564,74,250
97.547,18638,74,251
97.986,18712,74,252
98.279,18786,74,253
98.669,18860,74,254
99.156,18934,74,255
99.400,19008,74,256
99.790,19082,74,257
100.278,19156,74,258
100.472,19230,74,259
100.913,19304,74,260
101.301,19378,74,261
101.594,19452,74,262
102.033,19526,74,263
102.325,19600,74,264
102.734,19674,74,265
103.154,19748,74,266
103.398,19822,74,267
103.836,19896,74,268
104.226,19970,74,269
104.520,20044,74,270
104.957,20118,74,271
105.348,20192,74,272
105.640,20266,74,273
106.079,20340,74,274
106.470,20414,74,275
106.761,20488,74,276
107.151,20562,74,277
107.447,20636,74,278
107.883,20710,74,279
108.275,20784,74,280
108.565,20858,74,281
108.955,20932,74,282
109.396,21006,74,283
109.735,21080,74,284
110.076,21154,74,285
110.516,21228,74,286
110.809,21302,74,287
111.197,21376,74,288
111.636,21450,74,289
111.930,21524,74,290
112.319,21598,74,291
112.615,21672,74,292
113.099,21746,74,293
113.489,21820,74,294
113.684,21894,74,295
114.269,21968,74,296
114.561,22042,74,297
114.854,22116,74,298
115.264,22190,74,299
115.683,22264,74,300
115.975,22338,74,301
116.414,22412,74,302
116.772,22486,74,303
117.145,22560,74,304
117.486,22634,74,305
117.730,22708,74,306
118.169,22782,74,307
118.559,22856,74,308
118.900,22930,74,309
119.290,23004,74,310
119.680,23078,74,311
119.973,23152,74,312
120.363,23226,74,313
120.801,23300,74,314
121.094,23374,74,315
121.492,23448,74,316
122.018,23522,74,317
122.215,23596,74,318
122.606,23670,74,319
122.898,23744,74,320
123.293,23818,74,321
123.726,23892,74,322
124.019,23966,74,323
124.411,24040,74,324
124.848,24114,74,325
125.140,24188,74,326
125.530,24262,74,327
125.969,24336,74,328
126.213,24410,74,329
126.652,24484,74,330
127.139,24558,74,331
127.334,24632,74,332
128.065,24706,74,333
128.087,24780,74,334
128.455,24854,74,335
128.894,24928,74,336
129.137,25002,74,337
129.577,25076,74,338
129.966,25150,74,339
130.259,25224,74,340
130.704,25298,74,341
131.088,25372,74,342
131.384,25446,74,343
131.819,25520,74,344
132.210,25594,74,345
132.501,25668,74,346
132.891,25742,74,347
133.184,25816,74,348
133.679,25890,74,349
134.036,25964,74,350
134.306,26038,74,351
134.744,26112,74,352
135.136,26186,74,353
135.430,26260,74,354
135.865,26334,74,355
136.258,26408,74,356
136.554,26482,74,357
136.938,26556,74,358
137.377,26630,74,359
137.672,26704,74,360
138.060,26778,74,361
138.351,26852,74,362
138.790,26926,74,363
139.372,27000,74,364
139.526,27074,74,365
139.863,27148,74,366
140.306,27222,74,367
140.545,27296,74,368
140.985,27370,74,369
141.423,27444,74,370
141.666,27518,74,371
142.105,27592,74,372
142.499,27664,72,373
142.788,27738,74,374
143.227,27812,74,375
143.470,27886,74,376
143.910,27960,74,377
144.299,28034,74,378
144.592,28108,74,379
145.030,28182,74,380
145.421,28256,74,381
145.713,28330,74,382
146.200,28404,74,383
146.562,28478,74,384
146.834,28552,74,385
147.229,28626,74,386
147.517,28700,74,387
148.004,28774,74,388
148.350,28848,74,389
148.638,28922,74,390
149.076,28996,74,391
149.467,29070,74,392
149.759,29144,74,393
150.212,29218,74,394
150.589,29292,74,395
150.929,29366,74,396
151.271,29440,74,397
151.712,29514,74,398
152.002,29588,74,399
152.392,29662,74,400
152.684,29736,74,401
153.123,29810,74,402
153.515,29884,74,403
153.854,29958,74,404
154.244,30032,74,405
154.634,30106,74,406
154.927,30180,74,407
155.317,30254,74,408
155.756,30328,74,409
156.048,30402,74,410
156.465,30476,74,411
156.828,30550,74,412
157.123,30624,74,413
157.565,30698,74,414
157.803,30772,74,415
158.242,30846,74,416
158.680,30920,74,417
158.973,30994,74,418
159.363,31068,74,419
159.753,31142,74,420
160.045,31216,74,421
160.484,31290,74,422
160.874,31364,74,423
161.176,31438,74,424
161.557,31512,74,425
161.998,31586,74,426
162.288,31660,74,427
162.678,31734,74,428
162.970,31808,74,429
163.410,31882,74,430
163.799,31956,74,431
164.092,32030,74,432
164.482,32104,74,433
164.921,32178,74,434
165.213,32252,74,435
165.603,32326,74,436
166.042,32400,74,437
166.334,32474,74,438
166.724,32548,74,439
167.216,32622,74,440
167.429,32696,74,441
167.846,32770,74,442
168.138,32844,74,443
168.528,32918,74,444
168.968,32992,74,445
169.308,33066,74,446
169.649,33140,74,447
170.088,33214,74,448
170.335,33288,74,449
170.773,33362,74,450
171.161,33436,74,451
171.453,33510,74,452
171.892,33584,74,453
172.282,33658,74,454
172.575,33732,74,455
173.014,33806,74,456
173.257,33880,74,457
173.747,33954,74,458
174.085,34028,74,459
174.386,34102,74,460
174.817,34176,74,461
175.207,34250,74,462
175.499,34324,74,463
175.938,34398,74,464
176.328,34472,74,465
176.624,34546,74,466
177.011,34620,74,467
177.449,34692,72,468
177.742,34766,74,469
178.134,34840,74,470
178.424,34914,74,471
178.814,34988,74,472
179.253,35062,74,473
179.547,35136,74,474
180.128,35210,74,475
180.374,35284,74,476
180.667,35358,74,477
181.057,35432,74,478
181.497,35506,74,479
181.741,35580,74,480
182.182,35654,74,481
182.471,35728,74,482
182.861,35802,74,483
183.348,35876,74,484
183.544,35950,74,485
183.982,36024,74,486
184.518,36098,74,487
184.670,36172,74,488
185.103,36246,74,489
185.493,36320,74,490
185.788,36394,74,491
186.225,36468,74,492
186.663,36542,74,493
186.908,36616,74,494
187.300,36690,74,495
187.592,36764,74,496
188.126,36838,74,497
188.427,36912,74,498
188.759,36986,74,499
189.151,37060,74,500
189.539,37134,74,501
189.841,37208,74,502
190.227,37282,74,503
190.709,37356,74,504
190.953,37430,74,505
191.343,37504,74,506
191.782,37578,74,507
192.129,37652,74,508
192.464,37726,74,509
192.759,37800,74,510
193.196,37874,74,511
193.586,37948,74,512
193.927,38022,74,513
194.268,38093,71,514
194.707,38167,74,515
194.999,38241,74,516
195.389,38315,74,517
195.837,38389,74,518
196.121,38463,74,519
196.514,38537,74,520
196.853,38611,74,521
197.193,38685,74,522
197.632,38759,74,523
197.924,38833,74,524
198.315,38907,74,525
198.753,38981,74,526
199.046,39055,74,527
199.435,39129,74,528
199.874,39203,74,529
200.122,39277,74,530
200.557,39351,74,531
201.047,39425,74,532
201.261,39498,73,533
201.678,39572,74,534
201.922,39646,74,535
202.363,39720,74,536
202.799,39794,74,537
203.048,39868,74,538
203.483,39942,74,539
203.921,40016,74,540
204.164,40088,72,541
204.603,40162,74,542
204.848,40236,74,543
205.286,40310,74,544
205.676,40384,74,545
205.968,40458,74,546
206.407,40532,74,547
206.943,40606,74,548
207.187,40680,74,549
207.626,40754,74,550
207.918,40828,74,551
208.211,40902,74,552
208.648,40976,74,553
209.040,41050,74,554
209.332,41124,74,555
209.771,41198,74,556
210.014,41272,74,557
210.503,41346,74,558
210.846,41420,74,559
211.185,41494,74,560
211.531,41568,74,561
212.013,41642,74,562
212.257,41716,74,563
212.648,41790,74,564
213.116,41864,74,565
213.330,41938,74,566
213.768,42012,74,567
214.158,42086,74,568
214.451,42160,74,569
214.893,42234,74,570
215.154,42308,74,571
215.621,42382,74,572
216.011,42456,74,573
216.254,42530,74,574
216.693,42604,74,575
217.084,42678,74,576
217.472,42752,74,577
