df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,respiration_rate
58.586,20
63.366,19
67.446,18
72.126,16
76.676,16
81.196,16
86.056,16
90.506,15
94.996,15
99.486,15
103.996,15
108.766,16
113.296,16
117.976,16
122.376,16
127.516,17
131.836,15
136.026,15
141.576,15
146.156,12
150.676,9
174.406,13
178.986,16
183.006,16
187.786,16
192.156,16
196.816,16
201.046,16
