df_hash,22ZHK4.PAAYSG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.38QT
person_label,V48
date_time_start,2025-10-30_17-40-51.195000_+03
date_time_start_unix,1761831651.195
date_time_end,2025-10-30_17-49-01.529000_+03
length_difference_noticed,no

time,heart_rate
18.003,80
18.881,78
20.100,80
20.977,77
21.906,78
23.073,78
23.990,78
24.877,81
26.047,80
26.925,80
27.852,80
29.022,79
29.951,78
30.873,78
32.141,78
32.924,78
33.798,78
35.017,78
35.895,78
36.792,78
38.025,78
38.890,78
39.746,78
40.965,78
41.842,77
42.720,77
43.939,77
44.836,78
45.742,78
46.914,78
47.790,79
48.716,78
49.886,78
50.812,78
51.690,77
52.894,77
53.786,77
54.663,76
55.843,77
56.760,77
57.647,77
58.856,77
59.737,77
60.614,77
61.830,78
62.707,78
63.610,79
64.823,79
65.709,78
66.607,78
67.780,78
68.657,78
69.581,78
70.751,78
71.681,78
72.555,78
73.808,78
74.651,77
75.529,77
76.699,77
77.625,77
78.503,77
79.721,77
80.599,77
81.480,76
82.711,75
83.577,75
84.481,75
85.669,75
86.550,75
87.428,75
88.643,75
89.524,75
90.446,75
91.616,75
92.543,75
93.420,76
94.639,76
95.522,76
96.394,76
97.564,76
98.490,75
99.373,75
100.541,75
101.465,75
102.341,76
103.571,76
104.438,75
105.342,75
106.534,75
107.411,75
108.338,73
109.512,72
110.385,72
111.507,73
112.481,74
113.506,76
114.285,74
115.506,74
116.382,74
117.259,74
118.429,74
119.355,74
120.234,74
121.452,75
122.330,74
123.207,75
124.451,76
125.303,77
126.207,77
127.399,77
128.320,76
129.203,76
130.377,75
131.250,75
132.177,75
133.348,76
134.371,76
135.150,77
136.341,77
137.247,77
138.124,76
139.343,75
140.220,75
141.147,75
142.318,77
143.194,78
144.072,79
145.291,78
146.168,78
147.171,78
148.264,78
149.142,78
150.068,78
151.238,78
152.122,78
153.042,78
154.212,79
155.177,79
156.016,80
157.213,81
158.119,83
158.989,84
160.160,85
161.086,84
161.967,84
163.182,83
164.061,82
164.937,81
166.156,81
167.036,81
167.959,82
169.141,82
170.007,82
170.990,82
172.350,81
172.981,80
173.990,80
175.077,80
176.003,80
176.881,80
178.051,80
178.980,80
179.854,80
181.025,80
181.960,80
182.829,81
184.047,81
184.925,80
185.802,80
187.024,80
187.898,80
188.776,80
189.994,80
190.872,80
191.798,80
193.215,81
193.846,80
194.796,81
195.965,81
196.874,81
197.746,82
198.916,82
199.842,82
200.720,82
201.891,82
202.816,82
203.693,82
204.912,82
205.809,81
206.667,81
207.886,80
208.791,79
209.694,78
210.860,78
211.760,78
212.664,78
213.858,79
214.711,79
215.641,79
216.807,79
217.733,80
218.611,80
219.809,80
220.720,80
221.588,80
222.779,80
223.684,80
224.584,80
225.732,80
226.655,80
227.536,80
228.751,83
229.632,82
230.509,83
231.725,82
232.898,82
233.505,82
234.699,82
235.576,82
236.502,82
237.673,82
238.845,82
239.476,82
240.647,82
241.574,82
242.460,82
243.620,82
244.546,82
245.424,82
246.594,82
247.530,82
248.449,82
249.619,82
250.494,82
251.371,82
252.590,73
253.467,78
254.345,76
255.612,77
256.441,76
257.389,76
258.538,76
259.442,76
260.341,76
261.515,67
262.389,34
264.534,56
265.411,43
266.329,40
267.459,39
268.385,69
269.262,58
270.482,54
271.359,79
272.262,72
273.456,68
274.333,68
275.210,66
276.429,67
277.306,67
278.257,67
279.403,66
280.329,66
281.206,66
282.376,66
283.303,66
284.180,66
285.350,66
286.276,66
287.155,66
288.345,81
289.255,88
290.128,81
291.346,88
292.224,88
293.105,91
294.320,88
295.206,89
296.075,88
297.294,88
298.173,88
299.101,88
300.268,88
301.203,88
302.072,88
303.388,92
304.122,94
305.046,96
306.215,94
307.143,94
308.019,96
309.189,97
310.115,98
311.022,99
312.212,98
313.089,98
313.972,97
315.185,96
316.087,96
316.940,96
318.159,96
319.037,100
319.963,97
321.133,98
322.011,97
322.937,96
324.145,96
324.984,96
325.910,96
327.080,96
328.009,96
328.933,96
330.077,96
330.980,97
331.858,97
333.077,96
333.957,96
335.127,96
336.085,96
336.966,96
337.805,96
339.024,96
339.902,96
340.829,96
341.998,96
343.171,96
343.802,96
344.982,96
345.851,94
346.818,95
347.946,97
348.895,98
349.749,97
350.919,97
351.846,97
352.723,97
353.967,96
354.819,96
355.963,94
356.916,93
357.798,92
358.671,90
359.889,91
360.769,90
361.693,90
362.863,90
363.776,90
364.667,90
365.837,90
366.714,90
367.641,90
368.811,90
369.737,90
370.614,92
371.784,90
372.711,90
373.588,90
374.807,90
375.684,81
376.711,86
377.781,84
378.658,89
379.536,86
380.755,87
381.632,82
382.558,82
383.728,82
384.755,82
385.532,82
386.702,82
387.579,82
388.506,82
389.679,82
390.553,82
391.480,82
392.652,75
393.527,79
394.453,77
395.623,78
396.557,77
397.476,77
398.609,77
399.523,77
400.401,77
401.619,77
402.497,77
403.440,77
404.593,76
405.505,73
406.348,74
407.572,66
408.448,62
409.371,58
410.541,56
411.418,54
412.350,55
413.515,55
414.493,55
415.318,54
416.492,52
417.415,53
418.292,53
419.462,53
420.404,52
421.266,52
422.501,52
423.362,52
424.270,52
425.459,52
426.341,52
427.213,57
428.432,59
429.314,59
430.236,60
431.406,59
432.283,58
433.210,58
