df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,acc_mag
4.851,1.032
4.881,1.031
4.911,1.031
4.941,1.034
4.971,1.039
5.001,1.036
5.031,1.031
5.061,1.032
5.091,1.034
5.121,1.032
5.151,1.032
5.181,1.034
5.211,1.031
5.241,1.032
5.271,1.030
5.301,1.030
5.331,1.033
5.361,1.033
5.391,1.033
5.421,1.029
5.451,1.038
5.481,1.037
5.511,1.031
5.541,1.029
5.571,1.035
5.601,1.030
5.631,1.033
5.661,1.039
5.691,1.031
5.721,1.027
5.751,1.034
5.781,1.032
5.811,1.036
5.841,1.037
5.871,1.028
5.901,1.032
5.931,1.035
5.961,1.035
5.991,1.035
6.021,1.033
6.051,1.035
6.081,1.031
6.111,1.031
6.141,1.036
6.171,1.033
6.201,1.036
6.231,1.035
6.261,1.034
6.291,1.034
6.321,1.031
6.351,1.027
6.381,1.038
6.411,1.035
6.441,1.033
6.471,1.026
6.501,1.033
6.531,1.038
6.561,1.036
6.591,1.033
6.621,1.031
6.651,1.027
6.681,1.039
6.711,1.035
6.741,1.027
6.771,1.035
6.801,1.035
6.831,1.033
6.861,1.031
6.891,1.038
6.921,1.028
6.951,1.031
6.981,1.030
7.011,1.036
7.041,1.029
7.071,1.037
7.101,1.039
7.131,1.030
7.161,1.031
7.191,1.040
7.221,1.028
7.251,1.039
7.281,1.033
7.311,1.033
7.341,1.033
7.371,1.035
7.401,1.031
7.431,1.031
7.461,1.035
7.491,1.032
7.521,1.034
7.551,1.035
7.581,1.034
7.611,1.030
7.641,1.030
7.671,1.036
7.701,1.038
7.731,1.034
7.761,1.031
7.791,1.031
7.821,1.030
7.851,1.038
7.881,1.033
7.911,1.034
7.941,1.031
7.971,1.037
8.001,1.038
8.031,1.033
8.061,1.035
8.091,1.036
8.121,1.033
8.151,1.033
8.181,1.034
8.211,1.034
8.241,1.032
8.271,1.039
8.301,1.029
8.331,1.034
8.361,1.041
8.391,1.032
8.421,1.030
8.451,1.032
8.481,1.032
8.511,1.033
8.541,1.035
8.571,1.035
8.601,1.034
8.631,1.032
8.661,1.030
8.691,1.031
8.721,1.041
8.751,1.034
8.781,1.026
8.811,1.031
8.841,1.034
8.871,1.037
8.901,1.035
8.931,1.032
8.961,1.029
8.991,1.038
9.021,1.036
9.051,1.027
9.081,1.030
9.111,1.034
9.141,1.031
9.171,1.038
9.201,1.036
9.231,1.035
9.261,1.036
9.291,1.031
9.321,1.030
9.351,1.036
9.381,1.037
9.411,1.031
9.441,1.031
9.471,1.030
9.501,1.033
9.531,1.036
9.561,1.034
9.591,1.032
9.621,1.029
9.651,1.035
9.681,1.039
9.711,1.029
9.741,1.036
9.771,1.035
9.801,1.027
9.831,1.034
9.861,1.042
9.891,1.035
9.921,1.032
9.951,1.031
9.981,1.026
10.011,1.038
10.041,1.041
10.071,1.033
10.101,1.036
10.131,1.032
10.161,1.036
10.191,1.031
10.221,1.033
10.251,1.036
10.281,1.035
10.311,1.036
10.341,1.031
10.371,1.032
10.401,1.034
10.431,1.036
10.461,1.034
10.491,1.029
10.521,1.037
10.551,1.030
10.581,1.033
10.611,1.038
10.641,1.033
10.671,1.027
10.701,1.038
10.731,1.034
10.761,1.032
10.791,1.029
10.821,1.032
10.851,1.030
10.881,1.037
10.911,1.035
10.941,1.029
10.971,1.028
11.001,1.036
11.031,1.035
11.061,1.040
11.091,1.037
11.121,1.031
11.151,1.031
11.181,1.038
11.211,1.029
11.241,1.036
11.271,1.033
11.301,1.030
11.331,1.031
11.361,1.037
11.391,1.033
11.421,1.036
11.451,1.032
11.481,1.031
11.511,1.036
11.541,1.038
11.571,1.033
11.601,1.030
11.631,1.035
11.661,1.027
11.691,1.037
11.721,1.041
11.751,1.031
11.781,1.029
11.811,1.032
11.841,1.033
11.871,1.033
11.901,1.032
11.931,1.033
11.961,1.029
11.991,1.029
12.021,1.036
12.051,1.036
12.081,1.031
12.111,1.039
12.141,1.029
12.171,1.030
12.201,1.034
12.231,1.030
12.261,1.035
12.291,1.036
12.321,1.029
12.351,1.031
12.381,1.036
12.411,1.034
12.441,1.033
12.471,1.034
12.501,1.030
12.531,1.039
12.561,1.037
12.591,1.034
12.621,1.030
12.651,1.035
12.681,1.036
12.711,1.032
12.741,1.033
12.771,1.036
12.801,1.032
12.831,1.031
12.861,1.032
12.891,1.033
12.921,1.034
12.951,1.036
12.981,1.036
13.011,1.033
13.041,1.037
13.071,1.024
13.101,1.033
13.131,1.035
13.161,1.035
13.191,1.034
13.221,1.033
13.251,1.034
13.281,1.031
13.311,1.031
13.341,1.034
13.371,1.036
13.401,1.040
13.431,1.035
13.461,1.035
13.491,1.030
13.521,1.033
13.551,1.042
13.581,1.042
13.611,1.038
13.641,1.033
13.671,1.033
13.701,1.037
13.731,1.037
13.761,1.036
13.791,1.030
13.821,1.025
13.851,1.032
13.881,1.028
13.911,1.040
13.941,1.029
13.971,1.036
14.001,1.032
14.031,1.034
14.061,1.033
14.091,1.037
14.121,1.033
14.151,1.035
14.181,1.035
14.211,1.026
