df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,battery
6.431,16
16.425,16
26.419,16
36.462,16
46.504,16
56.449,16
66.442,16
76.485,16
86.431,16
96.424,16
106.467,16
116.412,16
126.406,16
136.448,15
146.394,15
156.436,15
166.433,15
176.448,15
186.428,15
196.411,15
206.405,15
216.400,15
226.428,15
236.484,15
246.531,15
256.374,15
266.465,15
276.411,15
286.404,15
296.398,15
306.392,15
316.386,15
326.477,15
336.373,15
346.367,15
356.361,15
366.408,15
376.511,15
386.391,15
396.433,15
406.465,14
416.372,14
426.407,14
436.360,14
446.354,14
456.396,14
466.390,14
476.383,14
486.378,14
