df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,battery
5.181,32
15.138,32
25.168,32
35.210,31
45.109,31
55.100,31
65.094,31
75.092,31
85.082,31
95.175,31
105.072,30
115.161,30
125.057,30
135.156,30
145.093,30
155.185,30
165.178,29
175.096,29
185.069,29
195.065,29
205.056,29
215.050,29
225.093,29
235.044,28
245.080,28
255.075,28
265.067,28
275.061,28
285.104,28
295.049,27
305.043,27
315.036,27
325.152,27
335.078,27
345.067,27
355.060,27
365.054,26
375.047,26
385.139,26
395.133,26
405.053,26
415.072,26
425.115,26
435.260,25
445.053,25
455.216,25
465.138,26
475.034,26
485.076,25
