df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,temperature
5.192,34.906
6.205,34.875
7.425,34.875
8.203,34.906
9.178,34.938
10.250,34.969
11.274,34.969
12.249,34.969
13.207,35.000
14.201,35.000
15.174,35.000
16.490,35.000
17.370,35.031
18.196,35.094
19.172,35.094
20.195,35.125
21.194,35.188
22.243,35.188
23.610,35.219
24.216,35.219
25.171,35.281
26.192,35.312
27.654,35.344
28.191,35.375
29.166,35.406
30.189,35.438
31.169,35.438
32.237,35.438
33.457,35.469
34.191,35.469
35.213,35.469
36.204,35.500
37.455,35.500
38.184,35.469
39.208,35.469
40.232,35.469
41.210,35.500
42.183,35.500
43.207,35.531
44.180,35.531
45.253,35.594
46.181,35.594
47.203,35.625
48.571,35.625
49.204,35.656
50.177,35.688
51.200,35.688
52.184,35.719
53.199,35.719
54.174,35.750
55.198,35.750
56.177,35.750
57.196,35.781
58.172,35.812
59.198,35.781
60.171,35.781
61.194,35.781
62.169,35.781
63.291,35.781
64.168,35.781
65.192,35.781
66.168,35.781
67.193,35.781
68.166,35.812
69.435,35.812
70.164,35.844
71.189,35.875
72.212,35.875
73.186,35.906
74.163,35.906
75.186,35.969
76.161,36.000
77.233,36.000
78.160,36.031
79.183,36.031
80.469,36.031
81.182,36.031
82.357,36.062
83.231,36.062
84.204,36.062
85.228,36.062
86.203,36.031
87.178,36.031
88.201,36.000
89.177,35.969
90.205,35.938
91.180,35.969
92.199,35.969
93.174,36.000
94.198,36.094
95.368,36.062
96.299,36.062
97.172,36.125
98.196,36.156
99.219,36.188
100.202,36.250
101.170,36.219
102.243,36.188
103.168,36.188
104.192,36.094
105.191,36.125
106.191,36.125
107.166,36.094
108.243,36.094
109.164,36.062
110.236,36.062
111.170,36.062
112.333,36.062
113.210,36.062
114.186,36.062
115.166,36.031
116.528,36.031
117.161,36.062
118.192,36.062
119.158,36.094
120.187,36.125
121.206,36.156
122.427,36.188
123.156,36.188
124.180,36.219
125.300,36.281
126.287,36.250
127.300,36.281
128.177,36.281
129.157,36.250
130.224,36.281
131.220,36.219
132.175,36.250
133.198,36.219
134.224,36.219
135.197,36.156
136.318,36.156
137.196,36.125
138.171,36.125
139.195,36.156
140.170,36.156
141.263,36.188
142.168,36.156
143.196,36.188
144.167,36.219
145.195,36.281
146.166,36.250
147.242,36.312
148.408,36.312
149.188,36.312
150.364,36.312
151.187,36.281
152.262,36.281
153.207,36.312
154.165,36.344
155.189,36.281
156.307,36.312
157.183,36.312
158.211,36.312
159.182,36.312
160.164,36.312
161.181,36.344
162.156,36.344
163.223,36.312
164.167,36.281
165.184,36.281
166.153,36.312
167.324,36.281
168.171,36.250
169.177,36.250
170.495,36.281
171.177,36.281
172.347,36.312
173.272,36.312
174.538,36.281
175.172,36.312
176.393,36.344
177.170,36.375
178.202,36.406
179.170,36.375
180.145,36.406
181.174,36.406
182.192,36.375
183.167,36.344
184.162,36.344
185.166,36.344
186.190,36.312
187.213,36.312
188.578,36.312
189.212,36.344
190.187,36.344
191.183,36.344
192.200,36.375
193.161,36.406
194.234,36.438
195.455,36.438
196.184,36.500
197.159,36.469
198.185,36.438
199.306,36.406
200.181,36.406
201.160,36.438
202.180,36.438
203.155,36.438
204.179,36.469
205.305,36.469
206.229,36.438
207.152,36.469
208.177,36.500
209.348,36.469
210.372,36.469
211.150,36.438
212.174,36.469
213.206,36.469
214.172,36.469
215.201,36.500
216.171,36.469
217.194,36.469
218.170,36.469
219.194,36.500
220.196,36.531
221.148,36.531
222.167,36.500
223.191,36.625
224.172,36.594
225.141,36.594
226.191,36.625
227.141,36.625
228.164,36.656
229.382,36.656
230.163,36.625
231.186,36.625
232.192,36.625
233.188,36.469
234.160,36.500
235.378,36.438
236.159,36.469
237.182,36.438
238.209,36.438
239.230,36.469
240.305,36.500
241.180,36.531
242.157,36.531
243.179,36.562
244.154,36.562
245.177,36.594
246.396,36.594
247.232,36.594
248.200,36.594
249.175,36.531
250.150,36.531
251.222,36.531
252.149,36.531
253.178,36.500
254.342,36.531
255.171,36.562
256.243,36.531
257.275,36.562
258.145,36.531
259.169,36.531
260.150,36.531
261.172,36.531
262.142,36.562
263.412,36.531
264.141,36.531
265.169,36.500
266.140,36.531
267.261,36.562
268.192,36.531
269.163,36.531
270.194,36.562
271.161,36.562
272.136,36.562
273.160,36.625
274.184,36.625
275.159,36.625
276.136,36.625
277.211,36.625
278.152,36.656
279.156,36.656
280.187,36.594
281.203,36.594
282.210,36.562
283.154,36.531
284.178,36.500
285.208,36.469
286.185,36.500
287.151,36.500
288.273,36.500
289.150,36.500
290.173,36.500
291.149,36.500
292.172,36.531
293.159,36.562
294.171,36.594
295.146,36.625
296.219,36.562
297.145,36.594
298.179,36.625
299.387,36.625
300.173,36.656
301.150,36.656
302.176,36.625
303.535,36.625
304.167,36.625
305.147,36.594
306.164,36.594
307.140,36.562
308.163,36.562
309.138,36.531
310.502,36.531
311.137,36.531
312.160,36.562
313.428,36.594
314.551,36.594
315.134,36.625
316.158,36.625
317.206,36.625
318.402,36.625
