df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,temperature
15.294,32.438
16.563,32.438
17.292,32.469
18.268,32.500
19.296,32.531
20.314,32.562
21.290,32.562
22.265,32.562
23.289,32.562
24.312,32.594
25.287,32.625
26.311,32.688
27.432,32.719
28.313,32.750
29.334,32.750
30.357,32.719
31.288,32.750
32.356,32.781
33.300,32.812
34.306,32.938
35.281,32.969
36.305,32.969
37.280,33.031
38.304,33.031
39.327,33.031
40.302,33.031
41.277,33.062
42.301,33.094
43.276,33.062
44.300,32.969
45.279,32.969
46.299,33.000
47.323,33.000
48.446,33.031
49.341,33.062
50.296,33.094
51.271,33.125
52.295,33.094
53.270,33.156
54.295,33.188
55.564,33.188
56.292,33.219
57.316,33.188
58.294,33.188
59.463,33.188
60.300,33.219
61.270,33.219
62.289,33.250
63.268,33.250
64.288,33.219
65.263,33.219
66.287,33.281
67.283,33.312
68.285,33.344
69.260,33.406
70.527,33.438
71.259,33.500
72.331,33.469
73.306,33.500
74.281,33.531
75.305,33.406
76.280,33.438
77.304,33.469
78.279,33.469
79.304,33.438
80.331,33.406
81.327,33.406
82.325,33.469
83.301,33.469
84.275,33.562
85.298,33.688
86.273,33.719
87.302,33.688
88.273,33.688
89.321,33.719
90.289,33.750
91.393,33.750
92.465,33.719
93.294,33.750
94.269,33.719
95.292,33.750
96.268,33.688
97.291,33.719
98.310,33.688
99.290,33.656
100.313,33.688
101.342,33.688
102.410,33.688
103.287,33.688
104.263,33.656
105.286,33.656
106.316,33.656
107.285,33.656
108.260,33.719
109.335,33.719
110.307,33.688
111.283,33.750
112.504,33.750
113.308,33.781
114.256,33.781
115.289,33.781
116.255,33.812
117.299,33.781
118.254,33.781
119.278,33.812
120.350,33.844
121.325,33.844
122.300,33.844
123.570,33.844
124.302,33.875
125.274,33.875
126.298,33.875
127.297,33.906
128.296,33.906
129.271,33.938
130.322,34.062
131.270,34.031
132.294,34.062
133.269,34.062
134.498,34.062
135.283,34.094
136.291,34.094
137.415,34.125
138.314,34.125
139.273,34.125
140.295,34.062
141.264,34.062
142.287,34.125
143.319,34.125
144.286,34.188
145.310,34.188
146.285,34.219
147.260,34.219
148.530,34.219
149.699,34.219
150.283,34.250
151.452,34.250
152.281,34.188
153.257,34.188
154.280,34.188
155.258,34.188
156.280,34.188
157.254,34.188
158.280,34.250
159.301,34.219
160.569,34.250
161.262,34.281
162.275,34.344
163.251,34.344
164.520,34.344
165.346,34.344
166.273,34.375
167.248,34.375
168.271,34.375
169.348,34.344
170.520,34.344
171.316,34.312
172.269,34.281
173.292,34.281
174.563,34.250
175.296,34.281
176.267,34.281
177.292,34.312
178.265,34.344
179.393,34.406
180.291,34.438
181.288,34.531
182.272,34.625
183.287,34.625
184.262,34.656
185.583,34.625
186.260,34.625
187.284,34.625
188.259,34.656
189.283,34.625
190.311,34.625
191.282,34.562
192.257,34.500
193.317,34.500
194.256,34.500
195.332,34.562
196.597,34.531
197.280,34.531
198.304,34.469
199.276,34.500
200.274,34.469
201.275,34.469
202.251,34.469
203.274,34.500
204.249,34.469
205.273,34.500
206.348,34.500
207.274,34.562
208.247,34.594
209.270,34.562
210.297,34.594
211.367,34.562
212.246,34.594
213.268,34.594
214.340,34.625
215.315,34.625
216.244,34.625
217.265,34.594
218.240,34.531
219.281,34.562
220.288,34.562
221.558,34.562
222.432,34.500
223.262,34.500
224.309,34.500
225.260,34.500
226.335,34.469
227.359,34.469
228.283,34.500
229.258,34.500
230.281,34.531
231.280,34.562
232.280,34.625
233.404,34.656
234.284,34.625
235.302,34.688
236.278,34.719
237.253,34.750
238.522,34.719
239.252,34.719
240.276,34.750
241.250,34.750
242.274,34.719
243.252,34.688
244.274,34.688
245.248,34.656
246.320,34.656
247.393,34.625
248.270,34.656
249.245,34.688
250.341,34.656
251.244,34.656
252.420,34.656
253.296,34.625
254.267,34.625
255.377,34.625
256.266,34.594
257.241,34.625
258.560,34.594
259.392,34.625
260.263,34.625
261.291,34.594
262.261,34.625
263.237,34.656
264.266,34.688
265.236,34.719
266.314,34.719
267.234,34.719
268.315,34.719
269.476,34.688
270.257,34.656
271.281,34.688
272.256,34.719
273.285,34.688
274.254,34.688
275.278,34.719
276.253,34.719
277.276,34.781
278.252,34.719
279.276,34.844
280.351,34.875
281.274,34.844
282.250,34.844
283.324,34.812
284.254,34.812
285.272,34.812
286.247,34.844
287.270,34.781
288.246,34.844
289.280,34.781
290.244,34.750
291.268,34.844
292.243,34.812
293.267,34.844
294.314,34.812
295.266,34.812
296.241,34.812
297.313,34.812
298.240,34.844
299.323,34.781
300.251,34.844
301.264,34.750
302.237,34.781
303.261,34.812
304.244,34.844
305.283,34.875
306.235,34.844
307.356,34.844
308.233,34.844
309.257,34.875
310.289,34.875
311.503,34.875
312.231,34.875
313.263,34.875
314.427,34.875
315.548,34.844
316.228,34.844
317.498,34.844
318.276,34.844
319.251,34.844
320.275,34.875
321.496,34.875
322.273,34.781
323.248,34.781
324.272,34.781
325.248,34.812
326.271,34.906
327.246,34.938
328.270,34.906
