df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.713,-0.498,0.893,0.238
4.723,-0.492,0.891,0.242
4.733,-0.488,0.893,0.242
4.743,-0.480,0.891,0.246
4.753,-0.479,0.893,0.248
4.763,-0.480,0.895,0.252
4.773,-0.475,0.895,0.252
4.783,-0.475,0.893,0.250
4.793,-0.471,0.895,0.256
4.803,-0.467,0.893,0.258
4.813,-0.465,0.896,0.260
4.823,-0.465,0.900,0.262
4.833,-0.459,0.896,0.262
4.842,-0.463,0.896,0.262
4.852,-0.459,0.895,0.268
4.862,-0.457,0.896,0.266
4.872,-0.461,0.893,0.266
4.882,-0.463,0.896,0.270
4.892,-0.459,0.898,0.271
4.902,-0.453,0.896,0.273
4.912,-0.443,0.898,0.271
4.922,-0.443,0.898,0.275
4.932,-0.441,0.900,0.273
4.942,-0.436,0.900,0.277
4.952,-0.432,0.902,0.281
4.962,-0.426,0.904,0.281
4.972,-0.424,0.904,0.283
4.982,-0.420,0.906,0.279
4.992,-0.418,0.902,0.283
5.001,-0.418,0.902,0.283
5.011,-0.418,0.904,0.283
5.021,-0.414,0.904,0.287
5.031,-0.414,0.908,0.285
5.041,-0.416,0.914,0.287
5.051,-0.414,0.914,0.287
5.061,-0.418,0.910,0.285
5.071,-0.416,0.910,0.285
5.081,-0.420,0.916,0.285
5.091,-0.418,0.916,0.287
5.101,-0.416,0.908,0.289
5.111,-0.420,0.908,0.281
5.121,-0.426,0.908,0.283
5.131,-0.428,0.908,0.277
5.141,-0.430,0.910,0.281
5.150,-0.432,0.908,0.281
5.160,-0.432,0.908,0.283
5.170,-0.436,0.908,0.277
5.180,-0.438,0.908,0.283
5.190,-0.438,0.910,0.279
5.200,-0.439,0.910,0.283
5.210,-0.438,0.906,0.279
5.220,-0.441,0.908,0.277
5.230,-0.441,0.908,0.277
5.240,-0.441,0.908,0.279
5.250,-0.441,0.908,0.275
5.260,-0.439,0.910,0.277
5.270,-0.438,0.908,0.277
5.280,-0.441,0.906,0.279
5.290,-0.439,0.908,0.277
5.300,-0.438,0.912,0.277
5.309,-0.436,0.910,0.275
5.319,-0.438,0.908,0.279
5.329,-0.439,0.908,0.275
5.339,-0.441,0.908,0.275
5.349,-0.439,0.908,0.275
5.359,-0.441,0.910,0.277
5.369,-0.439,0.908,0.275
5.379,-0.441,0.910,0.277
5.389,-0.439,0.908,0.271
5.399,-0.439,0.906,0.275
5.409,-0.439,0.906,0.277
5.419,-0.441,0.910,0.277
5.429,-0.443,0.906,0.275
5.439,-0.443,0.902,0.277
5.449,-0.445,0.904,0.275
5.459,-0.443,0.900,0.273
5.468,-0.449,0.900,0.275
5.478,-0.447,0.898,0.275
5.488,-0.451,0.902,0.275
