df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.812,215,74,2
6.221,289,74,3
6.494,363,74,4
6.933,437,74,5
7.372,509,72,6
7.616,583,74,7
8.102,657,74,8
8.444,731,74,9
8.740,805,74,10
9.176,879,74,11
9.665,953,74,12
9.858,1027,74,13
10.248,1101,74,14
10.541,1175,74,15
10.982,1249,74,16
11.370,1321,72,17
11.716,1395,74,18
12.052,1469,74,19
12.491,1543,74,20
12.932,1617,74,21
13.466,1689,72,22
13.495,1763,74,23
13.856,1837,74,24
14.294,1911,74,25
14.876,1985,74,26
14.981,2059,74,27
15.416,2133,74,28
15.708,2207,74,29
16.169,2281,74,30
16.537,2355,74,31
16.785,2429,74,32
17.220,2501,72,33
17.513,2575,74,34
17.951,2649,74,35
18.342,2723,74,36
18.633,2797,74,37
19.063,2871,74,38
19.462,2945,74,39
19.709,3019,74,40
20.145,3093,74,41
20.541,3167,74,42
20.828,3241,74,43
21.461,3315,74,44
21.512,3380,65,45
22.103,3454,74,46
22.281,3524,70,47
22.679,3597,73,48
23.118,3669,72,49
23.362,3743,74,50
23.752,3816,73,51
24.094,3890,74,52
24.436,3964,74,53
24.922,4038,74,54
25.556,4112,74,55
25.582,4186,74,56
25.995,4260,74,57
26.242,4334,74,58
26.678,4408,74,59
27.120,4482,74,60
27.360,4556,74,61
27.798,4630,74,62
28.094,4702,72,63
28.481,4776,74,64
28.920,4850,74,65
29.261,4924,74,66
29.605,4998,74,67
30.046,5072,74,68
30.285,5146,74,69
30.772,5220,74,70
31.117,5294,74,71
31.409,5368,74,72
31.893,5442,74,73
32.090,5514,72,74
32.576,5588,74,75
32.917,5662,74,76
33.211,5736,74,77
33.746,5810,74,78
34.040,5884,74,79
34.331,5958,74,80
34.721,6032,74,81
35.257,6105,73,82
35.647,6179,74,83
35.895,6253,74,84
36.135,6327,74,85
36.573,6401,74,86
36.963,6475,74,87
37.451,6549,74,88
37.743,6623,74,89
38.085,6697,74,90
38.377,6771,74,91
38.767,6845,74,92
39.302,6918,73,93
39.498,6992,74,94
39.937,7066,74,95
40.181,7140,74,96
40.668,7214,74,97
41.107,7288,74,98
41.399,7362,74,99
41.694,7436,74,100
42.131,7508,72,101
42.423,7582,74,102
42.813,7656,74,103
43.252,7730,74,104
43.497,7804,74,105
43.983,7878,74,106
44.228,7952,74,107
44.623,8026,74,108
45.277,8100,74,109
45.299,8172,72,110
45.738,8246,74,111
46.030,8314,68,112
46.421,8388,74,113
46.860,8462,74,114
47.103,8536,74,115
47.542,8610,74,116
48.127,8684,74,117
48.326,8758,74,118
48.663,8832,74,119
49.102,8904,72,120
49.395,8978,74,121
49.785,9052,74,122
50.127,9126,74,123
50.469,9200,74,124
50.906,9274,74,125
51.150,9348,74,126
51.637,9422,74,127
52.029,9496,74,128
52.271,9570,74,129
52.709,9644,74,130
53.100,9718,74,131
53.442,9775,57,132
53.686,9849,74,133
54.075,9921,72,134
54.367,9995,74,135
54.757,10069,74,136
55.197,10143,74,137
55.488,10217,74,138
55.882,10291,74,139
56.367,10363,72,140
56.608,10437,74,141
57.097,10511,74,142
57.489,10585,74,143
57.704,10659,74,144
58.121,10733,74,145
58.471,10807,74,146
58.857,10881,74,147
59.242,10953,72,148
59.486,11027,74,149
59.926,11101,74,150
60.509,11175,74,151
60.995,11249,74,152
61.143,11323,74,153
61.484,11397,74,154
61.732,11471,74,155
62.167,11545,74,156
62.411,11619,74,157
62.851,11693,74,158
63.242,11767,74,159
63.535,11841,74,160
64.023,11915,74,161
64.385,11989,74,162
64.751,12063,74,163
65.092,12137,74,164
65.579,12211,74,165
65.824,12285,74,166
66.165,12359,74,167
66.750,12433,74,168
66.896,12507,74,169
67.337,12581,74,170
67.619,12655,74,171
67.980,12729,74,172
68.456,12801,72,173
68.703,12875,74,174
69.089,12949,74,175
69.528,13023,74,176
69.772,13097,74,177
70.259,13171,74,178
70.601,13245,74,179
70.894,13319,74,180
71.475,13391,72,181
71.581,13465,74,182
72.015,13539,74,183
72.551,13613,74,184
72.697,13687,74,185
73.190,13761,74,186
73.526,13835,74,187
73.818,13909,74,188
74.257,13983,74,189
74.648,14057,74,190
74.945,14131,74,191
75.384,14205,74,192
75.671,14279,74,193
76.207,14353,74,194
76.451,14427,74,195
76.744,14501,74,196
77.258,14575,74,197
77.670,14649,74,198
77.865,14723,74,199
78.303,14797,74,200
78.693,14871,74,201
79.035,14945,74,202
79.376,15019,74,203
79.820,15093,74,204
80.060,15167,74,205
80.497,15241,74,206
80.838,15315,74,207
81.228,15389,74,208
81.641,15463,74,209
81.911,15537,74,210
82.301,15608,71,211
82.788,15682,74,212
82.984,15756,74,213
83.422,15830,74,214
83.715,15904,74,215
84.155,15978,74,216
84.543,16052,74,217
84.836,16126,74,218
85.226,16200,74,219
85.665,16274,74,220
86.006,16348,74,221
86.448,16422,74,222
86.756,16496,74,223
87.127,16570,74,224
87.371,16632,62,225
87.713,16697,65,226
88.053,16771,74,227
88.444,16845,74,228
88.835,16919,74,229
89.126,16993,74,230
89.613,17065,72,231
90.062,17139,74,232
90.359,17213,74,233
90.781,17276,63,234
90.931,17350,74,235
91.466,17421,71,236
91.613,17495,74,237
92.100,17569,74,238
92.448,17643,74,239
92.733,17717,74,240
93.224,17788,71,241
93.513,17862,74,242
93.952,17936,74,243
94.246,18010,74,244
94.538,18084,74,245
94.976,18158,74,246
95.512,18232,74,247
95.658,18306,74,248
96.097,18380,74,249
96.495,18454,74,250
97.021,18528,74,251
97.170,18602,74,252
97.560,18676,74,253
97.901,18750,74,254
98.303,18822,72,255
98.583,18896,74,256
99.023,18970,74,257
99.413,19044,74,258
99.704,19118,74,259
100.143,19191,73,260
100.583,19265,74,261
100.875,19339,74,262
101.219,19413,74,263
101.521,19487,74,264
101.899,19561,74,265
102.342,19635,74,266
102.679,19709,74,267
103.021,19783,74,268
103.458,19857,74,269
103.702,19931,74,270
104.190,20005,74,271
104.580,20079,74,272
104.825,20153,74,273
105.363,20227,74,274
105.653,20301,74,275
105.945,20375,74,276
106.399,20448,73,277
106.627,20522,74,278
107.067,20596,74,279
107.554,20670,74,280
107.846,20744,74,281
108.382,20818,74,282
108.578,20892,74,283
108.870,20966,74,284
109.504,21040,74,285
109.699,21114,74,286
110.015,21188,74,287
110.527,21262,74,288
111.016,21336,74,289
111.210,21408,72,290
111.551,21482,74,291
112.038,21556,74,292
112.233,21630,74,293
112.623,21704,74,294
113.014,21778,74,295
113.360,21850,72,296
113.598,21924,74,297
114.135,21996,72,298
114.720,22070,74,299
114.865,22144,74,300
115.332,22218,74,301
115.553,22292,74,302
115.841,22366,74,303
116.231,22440,74,304
116.670,22514,74,305
116.967,22588,74,306
117.450,22662,74,307
117.645,22736,74,308
118.084,22808,72,309
118.474,22879,71,310
118.770,22953,74,311
119.284,23027,74,312
119.595,23101,74,313
119.936,23175,74,314
120.326,23248,73,315
120.571,23322,74,316
121.008,23396,74,317
121.399,23470,74,318
121.691,23544,74,319
122.083,23618,74,320
122.666,23692,74,321
122.861,23766,74,322
123.203,23840,74,323
123.641,23914,74,324
123.891,23988,74,325
124.522,24062,74,326
124.617,24136,74,327
125.008,24210,74,328
125.469,24283,73,329
125.790,24357,74,330
126.230,24431,74,331
126.566,24505,74,332
126.810,24579,74,333
127.250,24653,74,334
127.688,24727,74,335
128.029,24801,74,336
128.375,24875,74,337
128.760,24949,74,338
129.055,25023,74,339
129.492,25097,74,340
129.881,25171,74,341
130.174,25245,74,342
130.612,25319,74,343
130.856,25393,74,344
131.295,25467,74,345
131.685,25541,74,346
131.980,25615,74,347
132.416,25689,74,348
132.806,25763,74,349
133.099,25836,73,350
133.537,25910,74,351
133.811,25984,74,352
134.220,26058,74,353
134.610,26132,74,354
134.918,26206,74,355
135.364,26280,74,356
