df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,ppg_quality
57.808,51
58.818,58
59.828,66
61.848,75
63.868,75
64.878,69
66.898,38
68.908,29
69.918,27
71.938,20
72.948,33
73.958,41
74.968,39
75.978,32
77.998,51
80.018,62
82.038,73
84.058,57
85.068,58
87.088,65
89.108,63
91.128,49
93.148,40
95.168,37
97.188,22
100.218,20
102.238,27
104.258,48
105.268,58
106.278,66
108.298,74
109.308,87
111.328,94
113.348,87
114.358,85
115.368,77
117.388,73
119.408,50
121.428,28
122.438,22
124.458,17
126.478,15
128.498,22
130.518,55
132.538,61
135.568,55
137.588,63
139.608,66
141.628,49
142.638,51
144.658,57
146.678,62
148.698,59
149.708,53
150.718,62
152.738,80
153.748,88
154.758,89
155.768,87
157.788,83
159.808,91
161.828,90
162.838,90
164.858,89
166.878,89
167.888,84
168.898,80
170.918,80
172.938,80
175.968,83
177.988,91
180.008,95
181.018,95
183.038,94
185.058,89
187.078,48
189.098,39
191.118,28
197.178,5
198.188,7
202.228,20
204.248,44
205.258,48
206.268,45
208.288,27
209.298,37
210.308,40
211.318,42
213.338,24
217.378,19
219.398,36
222.428,44
224.448,81
226.468,64
227.478,68
229.498,43
230.508,44
231.518,52
233.538,47
235.558,41
237.578,45
238.588,51
239.598,55
240.608,49
241.618,45
243.638,33
244.648,40
246.668,47
248.688,28
250.708,4
252.728,4
253.738,9
254.748,5
255.758,1
257.778,7
259.798,12
261.818,7
262.828,17
263.838,23
265.858,39
267.878,47
268.888,58
270.908,70
272.928,56
274.948,18
276.968,17
284.038,7
286.058,25
287.068,25
288.078,12
290.098,10
292.118,7
293.128,3
302.218,8
303.228,16
305.248,25
307.268,43
308.278,48
310.298,51
312.318,51
314.338,55
316.358,53
319.388,64
320.398,62
321.408,53
323.428,41
325.448,44
327.468,28
329.488,35
330.498,33
332.518,52
334.538,58
336.558,59
338.578,40
340.598,16
349.688,19
351.708,67
354.738,97
355.748,100
356.758,102
357.768,100
358.778,99
359.788,99
360.798,88
361.808,78
362.818,80
365.848,82
367.868,70
369.888,45
371.908,36
373.928,24
376.958,4
377.968,8
378.978,11
380.998,19
383.018,12
385.038,16
387.048,19
388.058,19
390.078,35
392.098,30
393.108,31
394.118,33
396.138,36
397.148,44
399.168,48
401.188,68
402.198,65
403.208,57
405.228,44
407.248,35
409.268,28
410.278,25
412.298,39
413.308,43
415.328,55
416.338,62
418.358,52
420.378,34
424.418,1
433.508,28
434.518,31
435.528,33
436.538,40
437.548,48
438.558,61
439.568,57
440.578,58
441.588,64
442.598,55
444.618,56
