Time (s),Resistance (Ω),Stage
1,11195.65,Calibration
2,11075.66,Calibration
3,10871.56,Calibration
4,11162.79,Calibration
5,11328.12,Calibration
6,10755.2,Calibration
7,11339.24,Calibration
8,10914.2,Calibration
9,11261.68,Calibration
10,10882.2,Calibration
11,11151.86,Calibration
12,11317.02,Calibration
13,11361.5,Calibration
14,11394.98,Calibration
15,11151.86,Calibration
16,11339.24,Calibration
17,11228.62,Calibration
18,11173.73,Calibration
19,10935.58,Calibration
20,11383.81,Normal
21,11317.02,Normal
22,11086.51,Normal
23,11075.66,Normal
24,11140.94,Normal
25,10914.2,Normal
26,11294.85,Normal
27,10935.58,Normal
28,11361.5,Normal
29,11317.02,Normal
30,10882.2,Normal
31,11086.51,Normal
32,11339.24,Normal
33,11317.02,Normal
34,11317.02,Normal
35,10839.69,Normal
36,10924.89,Normal
42,11010.78,Normal
42,11361.5,Normal
42,11043.17,Normal
42,11021.56,Normal
42,11317.02,Normal
42,11383.81,Normal
43,11151.86,Normal
44,11162.79,Normal
45,11394.98,Normal
46,11130.03,Normal
47,11151.86,Normal
48,11339.24,Normal
49,11328.12,Normal
50,11140.94,Normal
51,10924.89,Normal
52,11075.66,Normal
53,10839.69,Normal
54,11406.17,Normal
55,10860.93,Normal
56,10839.69,Normal
57,11064.82,Normal
58,10924.89,Normal
59,10935.58,Normal
60,11328.12,Normal
61,11130.03,Normal
62,11406.17,Normal
63,11328.12,Normal
64,11394.98,Normal
65,11151.86,Normal
66,11000,Normal
72,11086.51,Normal
72,11328.12,Normal
72,11151.86,Normal
73,10818.5,Normal
73,11206.63,Normal
73,11317.02,Normal
73,10967.74,Normal
74,11119.13,Normal
77,11000,Normal
86,11272.73,Normal
87,11394.98,Normal
87,11383.81,Normal
88,10989.24,Normal
88,11000,Normal
91,10957.01,Normal
92,10860.93,Normal
93,11097.37,Normal
94,10807.93,Normal
94,10660.95,Normal
94,11075.66,Normal
94,10485.24,Normal
94,10786.8,Normal
94,10935.58,Normal
94,10903.52,Normal
95,10526.32,Normal
95,10671.38,Normal
95,10807.93,Normal
98,10776.25,Normal
99,10797.36,Normal
99,10671.38,Normal
99,10629.72,Normal
99,10475,Normal
99,10839.69,Normal
100,10797.36,Normal
101,10485.24,Normal
102,10860.93,Normal
103,10829.09,Normal
104,10818.5,Normal
105,10526.32,Normal
106,10755.2,Normal
107,10734.18,Normal
108,10860.93,Normal
109,10629.72,Normal
110,10850.31,Normal
111,10588.24,Normal
112,10485.24,Normal
113,10546.91,Normal
114,10567.55,Normal
115,10702.73,Normal
116,10681.82,Normal
117,10505.76,Normal
118,10567.55,Normal
119,10882.2,Normal
120,10681.82,Normal
121,10692.27,Normal
122,10807.93,Normal
123,10526.32,Normal
124,10818.5,Normal
125,10640.12,Normal
126,10619.33,Normal
127,10839.69,Normal
128,10807.93,Normal
129,10829.09,Normal
130,10671.38,Normal
131,10860.93,Normal
132,10818.5,Normal
133,10629.72,Normal
134,10765.72,Normal
135,10454.54,Normal
136,10786.8,Normal
137,10734.18,Normal
139,11328.12,Normal
139,11140.94,Normal
140,10914.2,Normal
141,11372.65,Normal
142,11043.17,Normal
143,11294.85,Normal
144,11032.36,Normal
145,11328.12,Normal
146,11439.79,Normal
147,11328.12,Normal
148,11328.12,Normal
149,11372.65,Normal
150,11383.81,Normal
151,10967.74,Normal
152,11383.81,Normal
153,11151.86,Normal
154,11250.65,Normal
155,11294.85,Normal
156,10871.56,Normal
157,11010.78,Normal
158,11043.17,Normal
159,10807.93,Normal
160,10989.24,Normal
161,10797.36,Normal
162,10924.89,Normal
163,11021.56,Normal
164,11140.94,Normal
165,11140.94,Normal
166,11086.51,Normal
167,10702.73,Normal
168,10829.09,Normal
169,10807.93,Normal
170,11317.02,Normal
171,11010.78,Normal
172,10957.01,Normal
173,10829.09,Normal
174,10702.73,Normal
175,10629.72,Normal
177,10619.33,Normal
177,11130.03,Normal
178,10588.24,Normal
179,10608.96,Normal
180,10776.25,Normal
181,10526.32,Normal
182,10619.33,Normal
183,10650.53,Normal
184,10734.18,Normal
185,10807.93,Normal
186,10989.24,Normal
187,11119.13,Normal
188,10807.93,Normal
189,10660.95,Normal
190,10546.91,Normal
191,11053.98,Normal
192,10660.95,Normal
193,10526.32,Normal
194,10444.33,Normal
195,10946.29,Normal
196,10640.12,Normal
197,10829.09,Normal
198,10935.58,Normal
199,10967.74,Normal
200,10924.89,Normal
201,10546.91,Normal
202,10434.13,Normal
203,10786.8,Normal
204,10475,Normal
205,10713.2,Normal
206,11184.69,Normal
207,11328.12,Normal
208,11010.78,Normal
209,10807.93,Normal
210,11361.5,Normal
211,11184.69,Normal
212,11075.66,Normal
213,11064.82,Normal
214,11162.79,Normal
215,11000,Normal
216,11339.24,Normal
217,11339.24,Normal
218,10839.69,Normal
219,10640.12,Normal
220,10967.74,Normal
221,11108.25,Normal
222,10818.5,Normal
223,11361.5,Normal
224,11010.78,Normal
225,11305.93,Normal
226,11032.36,Normal
227,11328.12,Normal
228,10914.2,Normal
229,11406.17,Normal
230,11294.85,Normal
231,11151.86,Normal
232,11328.12,Normal
233,11328.12,Normal
234,11372.65,Normal
235,11350.36,Normal
236,11350.36,Normal
237,10978.48,Normal
238,11339.24,Normal
239,11383.81,Normal
240,11383.81,Normal
241,11043.17,Normal
242,11162.79,Normal
243,11406.17,Normal
244,10807.93,Normal
245,11010.78,Normal
246,11217.62,Normal
247,10978.48,Normal
248,11000,Normal
249,10464.77,Normal
250,10744.68,Normal
251,10903.52,Normal
252,10839.69,Normal
253,10829.09,Normal
254,10935.58,Normal
255,10967.74,Normal
256,11184.69,Normal
257,10619.33,Normal
258,11328.12,Normal
259,10860.93,Normal
260,11294.85,Stress
261,10871.56,Stress
262,11250.65,Stress
263,11140.94,Stress
264,11496.06,Stress
265,11541.29,Stress
266,11529.97,Stress
267,11462.26,Stress
268,11394.98,Stress
269,10946.29,Stress
270,11151.86,Stress
271,10924.89,Stress
272,10924.89,Stress
273,11130.03,Stress
274,11339.24,Stress
275,11217.62,Stress
276,11086.51,Stress
277,11317.02,Stress
278,11228.62,Stress
279,11507.35,Stress
280,11361.5,Stress
281,11075.66,Stress
282,11010.78,Stress
283,11162.79,Stress
284,11496.06,Stress
285,11173.73,Stress
286,11507.35,Stress
287,10978.48,Stress
288,11496.06,Stress
289,11507.35,Stress
