df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,heart_rate
21.649,67
22.864,64
23.764,65
24.717,65
25.853,65
26.715,64
27.888,64
28.812,64
29.812,64
30.813,64
31.883,64
32.714,64
33.590,64
34.759,64
35.783,66
36.563,65
37.782,64
38.659,64
39.537,70
40.756,67
41.633,66
42.806,66
43.730,65
44.902,63
45.486,62
46.703,62
47.581,62
48.508,63
49.726,64
50.614,66
51.530,64
52.697,66
53.577,65
54.455,66
55.648,64
56.551,63
57.478,62
58.648,62
59.525,64
60.454,66
61.673,67
62.499,68
63.377,68
64.595,66
65.724,66
66.353,66
67.595,68
68.495,67
69.863,66
70.592,66
71.421,66
72.642,64
73.566,64
74.443,64
75.321,64
76.494,64
77.521,64
78.295,64
79.464,64
80.439,64
81.268,64
82.587,60
83.413,61
84.340,62
85.462,65
86.342,67
87.216,68
88.435,68
89.316,68
90.291,68
91.409,68
92.339,68
93.212,68
94.413,68
95.309,68
96.186,65
97.506,64
98.283,65
99.160,67
100.379,69
101.256,70
102.135,69
103.353,67
104.267,65
105.112,64
106.342,65
107.204,68
108.130,71
109.325,69
110.178,68
111.300,68
112.370,68
113.201,76
114.127,73
115.312,73
116.174,70
117.053,68
118.323,66
119.148,63
120.026,62
121.249,63
122.122,63
123.000,62
124.218,62
125.096,62
126.217,62
127.192,62
128.224,62
128.996,62
130.172,62
131.047,62
131.970,60
133.190,60
134.108,60
134.944,63
136.211,65
137.040,63
137.917,62
139.192,62
140.015,62
140.891,62
142.110,62
142.988,62
143.865,62
145.088,63
145.961,62
146.888,60
148.058,60
148.984,60
149.861,60
151.326,65
151.958,68
153.057,68
154.031,66
155.081,64
155.809,65
157.028,65
157.906,65
158.807,67
160.008,67
160.879,65
161.809,65
162.976,66
163.858,66
164.779,67
166.194,68
166.827,69
167.797,68
168.923,68
169.850,68
170.727,68
171.897,68
172.828,71
173.702,69
174.920,69
176.141,67
176.675,64
177.943,62
178.771,63
179.697,58
180.891,56
181.794,55
182.681,53
183.841,54
184.719,54
185.648,54
186.815,53
187.741,53
188.619,53
189.789,53
190.739,53
191.594,53
192.763,55
193.691,57
194.568,55
195.787,55
196.663,54
197.540,53
198.759,53
199.637,56
200.514,58
201.734,59
202.610,60
203.538,59
204.755,60
205.927,59
206.514,59
207.680,62
208.607,61
209.485,60
210.654,60
211.581,60
212.458,60
213.677,56
214.580,57
215.438,57
216.651,57
217.675,56
218.406,56
219.670,56
220.537,56
221.428,56
222.624,56
223.476,58
224.451,57
225.572,56
226.503,56
227.377,56
228.644,56
229.472,56
230.350,56
231.569,60
232.586,61
233.421,64
234.542,66
235.433,67
236.395,65
237.516,65
238.498,65
239.320,65
240.511,65
241.368,64
242.317,64
243.464,65
244.390,64
245.317,64
246.486,66
247.368,65
248.242,64
249.412,64
250.343,62
251.219,62
252.452,62
253.315,62
254.189,62
255.417,62
256.285,59
257.212,55
258.385,59
259.300,58
260.186,57
261.356,57
262.233,59
263.159,58
264.428,57
265.259,57
266.133,57
267.336,57
268.369,57
269.130,57
270.329,57
271.301,57
272.276,57
273.300,58
274.222,59
275.055,60
276.273,59
277.151,57
278.077,57
279.247,57
280.323,57
281.054,57
282.391,57
283.098,61
284.027,59
285.195,58
286.135,58
286.999,58
288.169,67
289.098,63
289.972,61
291.191,58
292.069,60
293.044,60
294.165,59
295.140,61
295.969,64
297.144,68
298.016,66
298.982,65
300.113,65
300.990,65
301.965,65
303.087,60
303.968,57
304.890,54
306.062,54
306.987,54
307.876,53
309.056,53
309.966,53
310.846,53
312.106,53
312.934,53
313.997,53
315.079,53
316.008,53
316.786,53
318.053,53
318.882,53
319.759,53
320.978,53
321.890,53
322.733,53
323.988,53
324.886,53
325.756,49
326.926,50
327.803,50
328.758,53
329.948,54
330.875,62
331.703,58
332.873,55
333.803,56
334.677,56
335.847,56
336.799,55
337.651,55
338.870,55
339.748,55
340.625,55
341.844,55
342.870,55
343.599,53
344.817,53
345.695,53
346.621,58
347.791,56
348.689,65
349.845,61
350.765,60
351.666,60
352.569,65
353.739,58
354.665,59
355.543,59
356.713,67
357.639,63
358.516,69
359.686,66
360.613,66
361.637,66
362.709,66
363.831,66
364.467,66
365.687,66
366.560,66
367.438,58
368.657,54
369.536,57
370.412,57
371.634,56
372.508,56
373.434,56
374.637,56
375.482,56
376.425,59
377.578,57
378.483,63
379.386,60
380.552,59
381.478,59
382.356,59
383.526,59
384.452,59
385.329,59
386.549,59
387.474,56
388.307,57
389.522,56
390.400,65
391.529,70
392.496,66
393.373,65
394.251,65
395.470,65
396.347,65
397.273,65
398.492,65
399.321,73
400.253,77
401.443,73
402.393,76
403.251,75
404.392,75
405.323,74
406.198,74
407.365,74
408.291,74
409.169,65
410.339,62
411.265,62
412.142,63
413.364,62
414.239,62
415.116,62
416.338,62
417.213,62
418.121,62
419.504,62
420.190,57
421.113,63
422.283,67
423.160,67
424.109,65
425.256,71
426.197,69
427.060,68
428.271,68
429.157,66
430.034,66
431.204,66
432.130,66
433.106,66
434.227,66
435.104,66
435.982,61
