df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.849,209,74,2
6.256,281,72,3
6.532,355,74,4
6.971,429,74,5
7.218,501,72,6
7.653,575,74,7
8.092,648,73,8
8.336,721,73,9
8.822,795,74,10
9.067,865,70,11
9.506,939,74,12
9.896,1013,74,13
10.140,1085,72,14
10.578,1159,74,15
10.972,1233,74,16
11.261,1305,72,17
11.701,1379,74,18
11.992,1452,73,19
12.431,1524,72,20
12.824,1598,74,21
13.113,1670,72,22
13.503,1744,74,23
13.796,1818,74,24
14.191,1890,72,25
14.722,1964,74,26
14.963,2038,74,27
15.308,2109,71,28
15.649,2183,74,29
15.991,2255,72,30
16.428,2328,73,31
16.721,2402,74,32
17.408,2474,72,33
17.439,2548,74,34
17.793,2622,74,35
18.288,2693,71,36
18.574,2767,74,37
19.064,2841,74,38
19.402,2913,72,39
19.597,2987,74,40
20.037,3060,73,41
20.328,3132,72,42
20.718,3206,74,43
21.206,3278,72,44
21.455,3352,74,45
21.840,3426,74,46
22.181,3498,72,47
22.527,3572,74,48
23.009,3646,74,49
23.254,3718,72,50
23.644,3792,74,51
24.082,3865,73,52
24.326,3938,73,53
24.812,4012,74,54
25.061,4083,71,55
25.496,4157,74,56
25.932,4231,74,57
26.477,4303,72,58
26.617,4377,74,59
26.863,4451,74,60
27.251,4523,72,61
27.694,4597,74,62
27.982,4670,73,63
28.516,4743,73,64
28.819,4817,74,65
29.055,4889,72,66
29.495,4963,74,67
29.884,5037,74,68
30.618,5109,72,69
30.650,5183,74,70
30.914,5257,74,71
31.309,5329,72,72
31.590,5403,74,73
32.029,5476,73,74
32.420,5548,72,75
32.715,5622,74,76
33.124,5694,72,77
33.393,5768,74,78
33.788,5842,74,79
34.271,5914,72,80
34.515,5988,74,81
34.910,6062,74,82
35.344,6133,71,83
35.587,6207,74,84
36.026,6280,73,85
36.319,6352,72,86
36.709,6426,74,87
37.154,6498,72,88
37.440,6572,74,89
37.876,6646,74,90
38.135,6718,72,91
38.656,6792,74,92
38.951,6866,74,93
39.247,6938,72,94
39.877,7012,74,95
39.980,7084,72,96
40.321,7157,73,97
40.759,7231,74,98
41.105,7303,72,99
41.438,7377,74,100
41.876,7451,74,101
