df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,heart_rate
5.736,77
7.784,46
8.710,46
9.588,46
10.758,46
11.688,46
12.561,46
13.802,46
14.661,63
15.541,62
16.776,62
17.631,62
18.509,62
19.739,63
20.605,64
21.483,65
22.702,65
23.584,64
24.505,63
25.675,62
26.553,62
27.490,62
28.649,63
29.586,65
30.453,64
31.685,63
32.549,63
33.427,63
34.597,63
35.528,63
36.449,62
37.570,63
38.497,63
39.374,63
40.593,64
41.470,66
42.352,66
43.567,66
44.480,65
45.370,66
46.589,66
47.430,66
48.447,66
49.526,67
50.462,67
51.321,67
52.488,66
53.414,65
54.292,64
55.466,63
56.388,63
57.265,63
58.485,65
59.362,66
60.239,67
61.472,68
62.433,68
63.240,67
64.432,67
65.309,67
66.207,67
67.405,67
68.283,72
69.261,76
70.383,77
71.306,75
72.183,72
73.356,70
74.279,68
75.157,68
76.327,68
77.253,68
78.429,69
79.301,70
80.265,70
81.104,70
82.323,69
83.201,68
84.078,67
85.297,67
86.203,68
87.052,69
88.298,70
89.149,72
90.075,73
91.244,72
92.171,70
93.146,69
94.267,68
95.144,68
96.022,69
97.241,70
98.118,72
98.996,73
100.166,72
101.141,71
101.970,69
103.432,68
104.115,69
104.967,70
106.162,71
107.040,71
107.925,71
109.159,71
110.014,70
110.989,70
112.144,69
113.282,68
113.865,68
115.083,69
115.961,70
116.887,72
118.112,73
118.935,72
119.861,71
121.031,71
121.908,71
122.842,75
124.005,77
124.933,75
125.811,74
126.978,72
127.905,71
128.782,72
129.982,74
130.878,76
131.760,78
132.967,79
133.852,79
134.730,79
135.948,79
136.826,78
137.703,78
138.922,77
139.851,77
140.677,77
141.945,77
142.774,77
143.656,77
144.870,77
145.747,76
146.677,75
147.844,75
148.721,75
149.647,75
150.817,75
151.695,76
152.621,77
153.791,77
154.727,77
155.595,76
156.765,76
157.691,76
158.574,77
159.787,79
160.665,79
161.545,80
162.761,80
163.639,80
164.538,79
165.735,78
166.612,77
167.539,77
168.709,77
169.638,77
170.517,78
171.683,78
172.560,78
173.486,78
174.656,78
175.582,78
176.460,78
177.631,81
178.654,83
179.443,84
180.652,85
181.538,84
182.407,83
183.626,81
184.504,79
185.381,78
186.649,77
187.478,76
188.358,75
189.574,72
190.456,70
191.378,70
192.570,71
193.437,72
194.353,74
195.522,76
196.399,77
197.333,77
198.495,76
199.421,74
200.299,71
201.469,70
202.395,70
203.273,70
204.448,70
205.369,70
206.246,73
207.474,71
208.344,71
209.252,71
210.439,71
211.316,71
212.194,71
213.461,70
214.294,71
215.168,72
216.387,74
217.264,78
218.190,81
219.365,84
220.238,81
221.213,82
222.432,81
223.211,77
224.431,75
225.356,73
226.234,70
227.111,69
228.285,69
229.211,69
230.091,70
231.255,70
232.181,69
233.059,68
234.278,66
235.156,65
236.033,65
237.252,66
238.130,67
239.007,68
240.225,69
241.103,70
241.980,71
243.199,70
244.084,69
245.008,69
246.173,69
247.076,70
247.977,71
249.440,71
250.077,71
250.974,72
252.120,71
252.998,71
253.924,76
255.098,78
256.020,79
256.947,78
258.068,77
258.994,77
259.872,77
261.042,77
261.969,78
262.846,77
264.017,77
264.942,77
265.843,76
266.990,75
267.917,74
268.793,74
270.015,74
270.889,74
271.913,74
272.985,74
273.888,74
274.741,74
275.959,74
276.837,74
277.714,74
278.935,74
279.811,74
280.740,73
281.907,73
282.784,72
283.729,72
284.904,73
285.758,73
286.684,72
287.904,71
288.762,70
289.658,69
290.829,68
291.754,68
292.632,66
293.802,66
294.728,66
295.607,67
297.071,68
297.702,68
298.579,67
299.821,67
300.676,67
301.622,68
302.773,69
303.649,69
304.527,69
305.746,69
306.623,69
307.505,69
308.720,70
309.597,71
310.575,72
311.724,73
312.573,73
313.521,72
314.667,71
315.594,70
316.523,70
317.697,70
318.567,70
319.446,69
320.685,69
321.541,68
322.422,68
323.637,68
324.515,68
325.392,68
326.660,68
327.488,68
328.368,69
329.585,70
330.706,71
331.388,71
332.558,71
333.436,71
334.362,71
335.532,71
336.417,71
337.336,71
338.580,71
339.383,72
340.310,73
341.553,73
342.406,73
343.284,73
344.461,73
345.380,73
346.257,72
347.432,72
348.358,72
349.231,73
350.450,73
351.328,74
352.254,75
353.450,76
354.301,76
355.179,75
356.397,73
357.278,71
358.152,70
359.421,70
360.250,70
361.175,71
362.351,71
363.225,72
364.149,73
365.367,73
366.198,72
367.221,72
368.318,72
369.219,72
370.397,72
371.416,72
372.192,72
373.070,70
374.289,70
375.166,72
376.044,72
377.360,72
378.163,72
379.115,71
380.239,70
381.200,69
382.040,69
383.210,68
384.088,68
385.014,68
386.184,68
387.061,68
387.988,69
389.159,69
390.084,69
390.977,68
392.132,68
393.058,68
393.935,68
395.112,68
396.031,68
396.909,67
398.128,67
399.349,68
399.883,68
401.150,68
401.992,68
402.860,68
404.075,68
404.953,69
405.830,71
407.049,73
407.926,75
408.853,76
410.023,76
410.900,76
411.826,76
412.996,77
413.897,79
414.830,79
416.215,80
416.896,79
417.916,79
418.944,79
419.873,79
420.749,79
