df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,omega
60.441,0.582
62.255,0.579
66.973,0.582
67.712,0.579
68.439,0.580
69.460,0.579
70.383,0.572
73.161,0.566
75.991,0.565
76.480,0.563
77.451,0.565
78.138,0.565
79.941,0.561
80.729,0.561
81.751,0.557
82.573,0.554
83.497,0.551
84.378,0.551
92.954,0.551
93.786,0.545
94.617,0.541
95.493,0.545
96.906,0.541
97.752,0.541
98.808,0.541
100.514,0.538
101.391,0.541
103.146,0.541
103.977,0.545
104.752,0.549
105.827,0.545
106.503,0.549
107.340,0.550
108.269,0.551
110.989,0.551
111.825,0.553
111.886,0.557
118.499,0.561
119.279,0.561
120.160,0.566
120.258,0.567
124.931,0.566
125.130,0.567
144.435,0.566
147.457,0.566
149.078,0.566
149.260,0.566
151.457,0.566
152.089,0.561
153.995,0.561
156.138,0.561
156.914,0.548
157.657,0.532
158.572,0.524
164.479,0.524
165.302,0.519
167.717,0.515
170.470,0.512
186.267,0.510
187.191,0.510
188.069,0.506
188.947,0.503
189.870,0.500
189.924,0.503
196.164,0.503
198.645,0.506
199.379,0.500
199.674,0.496
211.077,0.500
218.473,0.500
219.364,0.506
222.048,0.499
224.144,0.499
228.191,0.499
229.995,0.499
230.971,0.508
231.799,0.517
232.871,0.521
233.601,0.522
234.428,0.522
235.457,0.524
236.332,0.531
237.160,0.537
237.892,0.539
238.964,0.540
239.702,0.548
242.283,0.561
243.066,0.571
244.080,0.571
244.867,0.561
245.006,0.561
249.153,0.561
253.347,0.578
253.638,0.578
263.779,0.594
270.411,0.594
280.120,0.594
298.204,0.598
299.320,0.600
300.003,0.602
317.697,0.603
321.395,0.603
328.275,0.600
329.982,0.594
339.928,0.597
340.765,0.605
341.480,0.597
343.975,0.597
344.804,0.584
345.679,0.602
347.336,0.586
349.094,0.586
349.917,0.586
349.982,0.602
354.654,0.602
355.526,0.605
359.086,0.613
359.771,0.613
360.888,0.619
366.739,0.619
371.662,0.619
378.534,0.629
400.423,0.643
403.886,0.650
404.620,0.657
413.100,0.657
415.246,0.673
415.978,0.673
424.258,0.673
443.182,0.673
443.816,0.673
444.931,0.673
445.714,0.673
447.564,0.673
448.503,0.673
449.564,0.657
450.538,0.639
452.490,0.625
453.270,0.615
454.292,0.599
455.221,0.599
456.296,0.584
459.360,0.580
460.047,0.573
461.173,0.572
461.991,0.572
463.216,0.571
463.997,0.570
465.605,0.570
467.695,0.571
470.187,0.571
472.140,0.571
473.062,0.571
474.032,0.571
474.920,0.570
475.795,0.570
476.720,0.571
477.612,0.571
478.767,0.570
479.840,0.566
480.961,0.560
482.617,0.555
483.596,0.553
484.520,0.552
485.634,0.551
