df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.185,158045,1168,195110
5.190,158037,1163,195099
5.195,158045,1165,195092
5.200,158054,1166,195101
5.205,158040,1167,195105
5.210,158056,1162,195114
5.215,158049,1164,195114
5.220,158063,1161,195130
5.225,158063,1162,195121
5.230,158077,1155,195129
5.234,158069,1160,195131
5.239,158079,1155,195130
5.244,158077,1156,195136
5.249,158084,1150,195130
5.254,158083,1152,195151
5.259,158086,1149,195145
5.264,158097,1151,195162
5.269,158100,1145,195162
5.274,158101,1151,195151
5.279,158113,1147,195184
5.284,158120,1148,195185
5.289,158107,1144,195177
5.294,158109,1147,195196
5.299,158116,1142,195187
5.304,158130,1144,195192
5.309,158139,1138,195203
5.314,158138,1142,195180
5.319,158138,1138,195208
5.324,158147,1144,195208
5.329,158141,1137,195215
5.334,158155,1138,195193
5.339,158157,1135,195227
5.344,158166,1142,195220
5.349,158123,344,195196
5.354,158127,447,195173
5.359,158151,507,195225
5.364,158157,546,195227
5.369,158162,579,195225
5.374,158160,612,195214
5.378,158168,639,195215
5.383,158168,663,195226
5.388,158177,678,195243
5.393,158181,698,195242
5.398,158186,711,195257
5.403,158172,727,195253
5.408,158153,735,195239
5.413,158141,753,195214
5.418,158114,757,195197
5.423,158100,770,195198
5.428,158065,777,195161
5.433,158036,790,195139
5.438,158025,793,195121
5.443,158003,805,195094
5.448,157977,807,195090
5.453,157982,1861,195106
5.458,157975,1644,195082
5.463,157962,1547,195078
5.468,157930,1477,195066
5.473,157931,1438,195086
5.478,157916,1394,195079
5.483,157918,1367,195058
5.488,157932,1339,195073
5.493,157904,1321,195063
5.498,157910,1302,195081
5.503,157897,1293,195074
5.508,157905,1276,195064
5.513,157901,1264,195069
5.518,157905,1252,195065
5.522,157882,1241,195064
5.527,157887,1235,195067
5.532,157880,1229,195059
5.537,157889,1219,195047
5.542,157892,1214,195066
5.547,157878,1206,195059
5.552,157872,1201,195075
5.557,157854,1194,195072
5.562,157854,1190,195058
5.567,157853,1182,195065
5.572,157841,1180,195051
5.577,157848,1177,195053
5.582,157838,1174,195050
5.587,157828,1166,195024
5.592,157801,1164,195034
5.597,157800,1167,195031
5.602,157814,1165,195015
5.607,157812,1158,195036
5.612,157807,1157,195022
5.617,157792,1152,195035
5.622,157805,1153,195037
5.627,157784,1150,195026
5.632,157813,1147,195032
5.637,157803,1145,195035
5.642,157809,1143,195054
5.647,157790,1138,195050
5.652,157810,1137,195053
5.657,157801,1135,195046
5.662,157792,1132,195039
5.667,157797,1134,195044
5.671,157786,1132,195017
5.676,157791,1133,195021
5.681,157766,1129,195035
5.686,157773,1126,195020
5.691,157761,1124,195005
5.696,157761,1126,195001
5.701,157761,1121,195001
5.706,157747,1120,195016
5.711,157767,1119,195011
5.716,157755,1126,195014
