df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,ppg_quality
58.005,67
60.025,86
62.045,91
64.065,89
65.075,91
67.095,92
69.115,92
70.125,95
71.135,97
73.155,101
75.175,98
77.195,100
78.205,96
79.215,91
80.225,83
82.245,78
84.265,82
86.285,84
88.305,87
90.325,100
91.335,107
92.345,106
93.355,106
95.375,96
96.385,86
97.395,78
99.415,77
101.435,72
103.455,55
104.465,58
106.485,70
108.505,77
110.525,74
111.535,81
113.555,98
114.565,100
117.595,105
118.605,104
119.615,104
121.635,108
123.655,109
125.675,113
126.685,112
128.705,117
130.725,121
132.745,120
134.765,113
136.785,109
138.805,105
140.825,105
141.835,101
143.855,98
145.875,100
147.895,100
149.915,98
151.935,97
153.955,98
154.965,97
155.975,98
156.985,98
159.005,99
161.025,99
163.045,101
165.065,102
166.075,100
167.085,102
168.095,99
170.115,100
172.135,100
174.155,97
175.165,96
177.185,96
178.195,96
179.205,93
181.225,92
183.245,97
185.265,101
187.285,101
189.305,106
191.325,107
192.335,106
193.345,104
194.355,103
196.375,99
198.395,97
199.405,95
201.425,94
202.435,91
203.445,88
204.455,89
205.465,90
207.485,81
209.505,73
210.515,76
212.535,72
213.545,63
216.575,28
218.595,47
220.615,39
221.625,35
222.635,34
224.655,60
226.675,88
227.685,81
228.695,67
229.705,58
231.725,64
233.745,61
235.765,55
237.785,49
240.815,25
242.835,27
244.855,28
246.875,14
248.895,13
249.905,33
251.925,38
252.935,46
253.945,49
254.955,50
255.965,44
257.985,73
260.005,77
263.025,77
265.045,55
267.065,54
269.085,42
270.095,48
272.115,47
274.135,58
276.155,56
278.175,54
280.195,47
281.205,46
283.225,43
284.235,37
285.245,36
286.255,36
287.265,37
289.285,22
290.295,14
291.305,10
292.315,13
294.335,26
295.345,21
296.355,22
298.375,28
300.395,48
301.405,43
302.415,32
304.435,29
306.455,27
307.465,27
309.485,31
311.505,29
313.525,36
315.545,26
316.555,26
317.565,30
320.595,28
321.605,29
322.615,26
324.635,17
326.655,35
328.675,37
329.685,44
331.705,54
333.725,69
334.735,83
335.745,90
337.765,92
339.785,79
341.805,51
342.815,45
344.835,19
346.855,5
349.885,2
350.895,10
353.925,32
354.935,37
355.945,38
357.965,45
359.985,35
362.005,34
364.025,48
367.055,43
369.075,45
371.095,56
372.105,65
373.115,55
374.125,48
375.135,46
378.165,78
380.185,90
382.205,86
383.215,91
384.225,85
385.235,77
387.255,58
389.275,40
391.295,35
392.305,41
393.315,40
395.335,54
397.355,69
398.365,83
400.385,94
401.395,98
402.405,98
404.425,94
406.445,73
407.455,68
408.465,69
409.475,73
410.485,68
411.495,63
412.505,55
413.515,52
415.535,58
416.545,65
417.555,65
418.565,60
419.575,50
421.595,48
422.605,44
424.625,45
425.635,48
426.645,51
428.665,33
430.685,36
431.695,32
433.715,30
435.735,11
436.745,6
437.755,14
439.775,24
440.785,32
442.805,49
443.815,56
444.825,65
446.845,88
448.865,96
450.885,96
452.905,97
454.925,98
457.955,85
458.965,84
459.975,82
460.985,80
461.995,78
464.015,76
466.035,78
467.045,80
469.065,81
471.085,75
472.095,69
473.105,59
475.125,34
477.145,11
478.155,1
485.225,2
486.235,1
488.255,31
490.275,42
491.285,49
