df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,quality
15.138,69
16.016,59
17.233,36
18.135,43
19.034,40
20.208,61
21.084,46
22.011,51
23.180,52
24.350,70
24.984,72
26.253,61
27.081,54
28.251,48
29.129,47
30.153,47
31.175,58
32.153,59
33.031,69
33.953,70
35.127,71
36.004,71
36.879,71
38.436,59
38.976,62
39.898,63
41.072,56
41.949,57
43.123,73
44.094,62
45.104,65
45.801,72
47.119,69
47.897,52
48.917,67
50.090,60
51.163,55
51.845,60
53.363,48
53.844,64
54.772,52
55.950,45
56.874,42
58.039,65
58.960,40
59.841,50
60.764,61
61.896,65
62.863,45
63.692,42
64.960,62
65.886,74
66.666,72
67.885,75
68.811,73
69.677,74
71.199,72
71.736,72
72.662,71
74.124,62
74.710,37
75.936,32
76.806,33
77.684,34
78.853,38
79.782,43
80.723,67
81.678,67
82.799,67
83.679,64
84.557,60
85.729,47
86.655,43
87.533,69
88.701,76
89.627,65
90.801,63
91.674,74
92.624,80
93.478,69
94.794,50
95.574,56
96.453,62
97.722,58
98.938,55
99.426,57
100.695,51
101.522,37
102.450,37
103.713,40
104.544,44
105.422,45
106.592,66
107.520,61
108.590,71
109.712,71
110.543,68
111.564,72
112.542,69
113.762,59
114.489,61
115.809,67
116.440,74
117.318,67
118.582,48
119.462,51
120.391,60
121.512,40
122.484,29
123.314,27
124.578,27
125.362,26
126.288,24
127.457,37
128.724,27
129.310,24
130.506,38
131.552,57
132.329,75
133.470,58
134.477,36
135.303,32
136.427,58
137.351,60
138.182,54
139.402,60
140.279,80
141.302,68
142.376,58
143.253,52
144.179,61
145.401,72
146.320,72
147.181,74
148.660,79
149.343,75
150.323,81
151.347,76
152.223,78
153.341,77
154.319,79
155.391,80
156.217,80
157.413,79
158.171,79
159.098,75
160.267,76
161.155,67
162.071,63
163.241,63
164.263,78
165.089,85
166.235,84
167.185,82
168.018,79
169.188,77
170.160,79
170.992,76
172.307,75
173.088,77
173.965,76
175.186,78
176.207,77
176.939,67
178.158,62
179.081,63
180.253,73
181.323,49
182.070,59
182.935,68
184.154,68
185.043,67
185.968,65
187.176,75
188.297,75
188.883,56
190.053,49
190.979,63
191.856,70
193.057,66
193.955,74
194.856,76
196.241,76
197.072,62
197.807,58
199.025,46
199.902,53
201.070,68
201.997,56
203.020,58
203.756,66
205.016,43
205.848,37
206.774,42
207.944,38
209.016,43
209.750,45
210.920,41
211.844,46
212.731,48
213.940,28
214.818,27
215.718,25
217.106,34
217.794,31
218.719,23
220.031,24
220.815,22
221.644,30
222.956,32
223.740,25
224.665,44
225.836,47
226.716,46
227.640,2
229.210,33
229.687,44
230.613,24
231.784,43
232.709,51
233.635,47
234.797,52
235.684,66
236.620,51
237.975,50
238.658,49
239.535,54
240.899,47
241.728,47
242.509,45
243.776,35
244.653,21
245.544,0
246.749,0
247.822,0
248.506,0
249.674,0
250.552,0
251.478,33
252.649,0
253.574,0
254.497,27
255.706,27
256.548,29
257.451,0
258.934,23
259.668,30
260.448,40
261.621,32
262.496,42
263.373,31
264.592,0
265.762,31
266.355,31
267.566,0
268.537,0
269.515,44
270.634,3
271.425,38
272.346,42
273.513,53
274.391,35
275.317,27
276.877,31
277.606,32
278.339,31
279.802,42
280.459,43
281.311,28
282.482,0
283.361,0
284.239,38
285.409,10
286.339,1
287.213,37
288.577,0
289.309,0
290.186,43
291.453,0
292.285,0
293.161,39
294.378,36
295.309,0
296.184,0
297.449,1
298.230,17
299.157,14
300.377,17
301.252,0
302.179,24
303.325,28
304.226,25
305.106,28
306.320,26
307.295,28
308.172,32
309.297,24
310.175,27
311.097,28
312.315,29
313.193,37
314.266,33
315.243,35
316.219,29
316.999,25
318.220,31
319.096,0
319.973,0
321.192,0
322.072,0
323.047,0
324.214,28
325.092,29
325.969,38
327.181,35
328.016,35
328.991,35
330.116,43
331.039,31
331.916,26
333.330,21
334.015,25
334.915,29
336.060,30
336.986,22
337.902,23
339.091,32
339.960,24
340.886,23
342.056,33
342.934,33
343.811,27
345.030,26
346.002,35
347.079,28
348.101,0
348.979,15
349.808,18
350.979,21
351.906,28
352.831,28
354.074,22
354.972,0
355.999,0
356.971,0
357.855,0
358.729,29
359.948,0
360.825,0
361.703,0
362.921,0
363.844,0
364.677,0
365.944,0
367.063,33
367.650,36
369.207,23
369.747,32
370.680,31
371.845,29
372.817,32
373.650,43
374.831,45
375.896,64
376.669,55
377.792,34
378.811,28
379.644,31
380.764,28
381.691,20
382.568,26
383.788,47
384.666,28
385.542,32
386.806,45
387.930,41
388.564,37
389.734,26
390.612,22
391.637,23
392.753,69
393.634,70
394.703,52
395.731,51
396.855,28
397.580,29
398.701,34
399.679,32
400.700,41
401.683,39
402.561,45
403.433,28
404.846,29
405.822,31
406.410,0
407.626,33
408.652,0
409.673,0
410.648,30
411.526,32
412.598,39
413.719,31
414.451,40
415.523,28
416.641,37
417.716,39
418.445,30
419.569,29
420.398,40
421.421,33
422.537,31
423.615,26
424.347,21
425.907,0
426.345,0
427.284,2
428.783,20
429.368,18
