df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,acc_mag
4.937,1.025
4.967,1.024
4.997,1.023
5.027,1.029
5.057,1.027
5.087,1.026
5.117,1.021
5.147,1.030
5.177,1.024
5.207,1.026
5.237,1.025
5.267,1.025
5.297,1.026
5.327,1.023
5.357,1.026
5.387,1.021
5.417,1.024
5.447,1.026
5.477,1.034
5.507,1.029
5.537,1.025
5.567,1.024
5.597,1.024
5.627,1.024
5.657,1.022
5.687,1.022
5.717,1.025
5.747,1.027
5.777,1.027
5.807,1.030
5.837,1.027
5.867,1.028
5.897,1.028
5.927,1.024
5.957,1.028
5.987,1.022
6.017,1.022
6.047,1.021
6.077,1.026
6.107,1.027
6.137,1.027
6.167,1.025
6.197,1.025
6.227,1.022
6.257,1.022
6.287,1.021
6.317,1.026
6.347,1.027
6.377,1.027
6.407,1.024
6.437,1.026
6.467,1.022
6.497,1.021
6.527,1.024
6.557,1.038
6.587,1.036
6.617,1.026
6.647,1.024
6.677,1.021
6.707,1.021
6.737,1.019
6.767,1.025
6.797,1.022
6.827,1.022
6.857,1.019
6.887,1.023
6.917,1.021
6.947,1.028
6.977,1.023
7.007,1.023
7.037,1.025
7.067,1.023
7.097,1.024
7.127,1.021
7.157,1.021
7.187,1.022
7.217,1.027
7.247,1.024
7.277,1.022
7.307,1.019
7.337,1.019
7.367,1.028
7.397,1.027
7.427,1.027
7.457,1.025
7.487,1.030
7.517,1.025
7.547,1.022
7.577,1.021
7.607,1.016
7.637,1.011
7.667,1.020
7.697,1.026
7.727,1.031
7.757,1.030
7.787,1.025
7.817,1.025
7.847,1.026
7.877,1.030
7.907,1.024
7.937,1.020
7.967,1.021
7.997,1.023
8.027,1.022
8.057,1.027
8.087,1.028
8.117,1.028
8.147,1.032
8.177,1.027
8.207,1.023
8.237,1.023
8.267,1.023
8.297,1.018
8.327,1.025
8.357,1.023
8.387,1.026
8.417,1.026
8.447,1.026
8.477,1.025
8.507,1.023
8.537,1.027
8.567,1.026
8.597,1.025
8.627,1.028
8.657,1.024
8.687,1.022
8.717,1.025
8.747,1.027
8.777,1.024
8.807,1.026
8.837,1.023
8.867,1.024
8.897,1.022
8.927,1.022
8.957,1.026
8.987,1.027
9.017,1.025
9.047,1.025
9.077,1.026
9.107,1.026
9.137,1.025
9.167,1.027
9.197,1.030
9.227,1.024
9.257,1.026
9.287,1.021
9.317,1.025
9.347,1.028
9.377,1.030
9.407,1.030
9.437,1.029
9.467,1.022
9.497,1.024
9.527,1.019
9.557,1.022
9.587,1.026
9.617,1.024
9.647,1.029
9.677,1.025
9.707,1.022
9.737,1.022
9.767,1.022
9.797,1.029
9.827,1.024
9.857,1.029
9.887,1.025
9.917,1.022
9.947,1.026
9.977,1.027
10.007,1.027
10.037,1.028
10.067,1.026
10.097,1.024
10.127,1.025
10.157,1.025
10.187,1.024
10.217,1.028
10.247,1.025
10.277,1.027
10.307,1.023
10.337,1.026
10.367,1.025
10.397,1.022
10.427,1.021
10.457,1.027
10.487,1.028
10.517,1.030
10.547,1.027
10.577,1.022
10.607,1.022
10.637,1.023
10.667,1.027
10.697,1.029
10.727,1.024
10.757,1.023
10.787,1.027
10.817,1.027
10.847,1.028
10.877,1.028
10.907,1.025
10.937,1.022
10.967,1.028
10.997,1.027
11.027,1.017
11.057,1.029
11.087,1.031
11.117,1.031
11.147,1.032
11.177,1.028
11.207,1.023
11.237,1.020
11.267,1.024
11.297,1.027
11.327,1.031
11.357,1.029
11.387,1.029
11.417,1.028
11.447,1.026
11.477,1.022
11.507,1.024
11.537,1.022
11.567,1.023
11.597,1.025
11.627,1.026
11.657,1.025
11.687,1.028
11.717,1.029
11.747,1.026
11.777,1.026
11.807,1.024
11.837,1.022
11.867,1.022
11.897,1.028
11.927,1.031
11.957,1.027
11.987,1.029
12.017,1.025
12.047,1.027
12.077,1.028
12.107,1.022
12.137,1.021
12.167,1.025
12.197,1.026
12.227,1.028
12.257,1.023
12.287,1.023
12.317,1.022
12.347,1.024
12.377,1.025
12.407,1.026
12.437,1.025
12.467,1.024
12.497,1.027
12.527,1.026
12.557,1.019
12.587,1.022
12.617,1.022
12.647,1.031
12.677,1.033
12.707,1.026
12.737,1.026
12.767,1.024
12.797,1.025
12.827,1.025
12.857,1.021
12.887,1.021
12.917,1.027
12.947,1.027
12.977,1.025
13.007,1.028
13.037,1.025
13.067,1.024
13.097,1.028
13.127,1.025
13.157,1.025
13.187,1.030
13.217,1.023
13.247,1.031
13.277,1.022
13.307,1.026
13.337,1.022
13.367,1.031
13.397,1.028
13.427,1.021
13.457,1.025
13.487,1.024
13.517,1.025
13.547,1.031
13.577,1.026
13.607,1.022
13.637,1.022
13.667,1.026
13.697,1.025
13.727,1.023
13.757,1.021
13.787,1.024
13.817,1.020
13.847,1.023
13.877,1.030
13.907,1.028
13.937,1.026
13.967,1.031
13.997,1.023
14.027,1.023
14.057,1.028
14.087,1.025
14.117,1.027
14.147,1.027
14.177,1.024
14.207,1.025
14.237,1.025
14.267,1.024
14.297,1.022
14.327,1.028
